Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,100805600.0,,,
2020-01-02,,,,,,,,,,236286000.0,,,
2020-01-03,,,,,,,,,,89963200.0,,,
2020-01-06,,,,,,,,,,208350400.0,,,
2020-01-07,74.48,74.48,,,,,,,,99478400.0,,,
2020-01-08,74.96,74.92,,,,77.55,,,,231557600.0,,,
2020-01-09,75.42,75.75,,,,86.71,,,,401666000.0,,,
2020-01-10,76.07,76.36,,,,87.41,,,,542310800.0,,,
2020-01-13,76.92,77.32,,,,92.23,,,,663842800.0,,,
2020-01-14,77.64,77.6,,,,70.44,,,,501888400.0,,,
2020-01-15,78.05,77.68,,,,64.48,,,,379964800.0,,,
2020-01-16,78.33,78.06,,,,72.84,,,,488794000.0,,,
2020-01-17,78.75,78.6,,,,78.5,,,,626610400.0,,,
2020-01-21,78.73,78.78,,,,67.6,,,,515767200.0,,,
2020-01-22,78.98,79.0,,,,70.3,,,,617599600.0,,37.23,8.03
2020-01-23,79.37,79.27,,,,73.97,,,,722071600.0,,34.04,10.98
2020-01-24,79.53,79.37,,,,67.68,,,,575534000.0,,37.76,9.65
2020-01-27,79.04,78.66,,,,32.54,,,,413594000.0,,29.04,29.15
2020-01-28,79.09,78.91,,,,58.0,,,,575828000.0,,35.16,24.81
2020-01-29,79.43,79.64,,,,69.09,81.94,73.33,77.63,792057200.0,,43.67,21.16
2020-01-30,79.66,80.08,,,,67.51,82.09,73.93,78.01,665314000.0,,40.17,23.24
2020-01-31,79.22,79.18,,,,36.09,81.99,74.26,78.12,465725600.0,,32.38,31.75
2020-02-03,79.2,78.51,,,,34.89,81.76,74.77,78.26,291937200.0,,28.13,34.65
2020-02-04,79.26,78.91,,,,56.56,81.7,75.31,78.5,428553600.0,,31.51,30.46
2020-02-05,79.12,79.39,,,,60.73,81.53,76.05,78.79,547380400.0,,35.12,28.46
2020-02-06,79.18,80.03,1.27,,,66.53,81.65,76.48,79.07,652806000.0,,33.67,26.87
2020-02-07,79.71,80.02,1.23,,,53.03,81.69,76.7,79.2,535122000.0,,30.96,27.23
2020-02-10,80.35,80.14,1.22,,,56.29,81.77,76.9,79.34,644470800.0,16.71,28.34,29.49
2020-02-11,80.39,80.06,1.15,,,50.68,81.82,76.92,79.37,550147600.0,15.21,29.32,27.78
2020-02-12,80.68,80.64,1.24,,,66.83,82.15,76.95,79.55,663878000.0,14.58,30.52,25.45
2020-02-13,80.66,80.83,1.25,,,59.37,82.29,77.15,79.72,569130400.0,14.03,29.19,24.34
2020-02-14,80.91,80.97,1.24,,,59.56,82.46,77.23,79.84,649244000.0,13.43,28.11,24.03
2020-02-18,80.78,80.56,1.1,,,41.27,82.46,77.23,79.84,496712800.0,13.12,24.85,30.48
2020-02-19,80.98,80.68,1.08,1.2,-0.12,54.76,82.57,77.3,79.93,590696800.0,11.94,28.74,28.56
2020-02-20,80.64,80.48,0.97,1.15,-0.18,45.39,82.59,77.34,79.97,490130800.0,11.16,26.65,28.51
2020-02-21,80.05,79.74,0.74,1.07,-0.33,30.95,82.61,77.16,79.89,360576800.0,11.71,23.77,33.79
2020-02-24,78.71,78.01,0.25,0.91,-0.66,17.04,83.22,76.05,79.64,138381600.0,14.39,18.6,45.88
2020-02-25,77.16,76.01,-0.34,0.66,-0.99,12.34,84.18,74.57,79.38,-92292000.0,17.01,16.01,42.13
2020-02-26,75.61,75.06,-0.7,0.39,-1.09,24.18,84.57,73.55,79.06,105762800.0,19.37,14.51,38.16
2020-02-27,73.27,72.83,-1.36,0.04,-1.4,14.17,85.55,71.3,78.43,-214842800.0,22.37,12.34,42.73
2020-02-28,71.29,71.34,-1.86,-0.34,-1.52,14.11,86.06,69.54,77.8,-641352800.0,25.81,10.46,47.69
2020-03-02,71.32,72.46,-1.73,-0.62,-1.11,53.75,86.03,69.29,77.66,-299955600.0,25.88,22.84,39.44
2020-03-03,71.38,72.42,-1.8,-0.86,-0.94,44.23,86.11,68.73,77.42,-619431200.0,25.67,21.89,35.19
2020-03-04,71.89,73.51,-1.56,-1.0,-0.56,57.52,85.87,68.57,77.22,-400252800.0,25.48,20.09,32.29
2020-03-05,72.86,73.41,-1.55,-1.11,-0.44,47.23,85.55,68.17,76.86,-587825600.0,25.43,18.75,31.15
2020-03-06,73.64,73.03,-1.6,-1.21,-0.4,43.38,85.07,67.75,76.41,-814002400.0,26.06,17.46,35.01
2020-03-09,72.01,70.87,-2.08,-1.38,-0.7,27.15,85.23,66.25,75.74,-1100747200.0,27.58,14.98,39.98
2020-03-10,71.81,71.02,-2.05,-1.52,-0.54,47.67,84.71,65.86,75.28,-815457200.0,28.04,17.77,35.73
2020-03-11,70.44,70.3,-2.2,-1.65,-0.55,40.33,84.3,65.16,74.73,-1071056000.0,28.47,16.51,33.2
2020-03-12,68.21,67.55,-2.84,-1.89,-0.95,26.39,84.22,63.27,73.74,-1489530000.0,29.95,14.3,40.42
2020-03-13,67.66,68.2,-2.71,-2.06,-0.66,50.01,83.2,63.11,73.16,-1118798000.0,30.33,16.73,34.63
2020-03-16,66.46,65.65,-3.29,-2.3,-0.99,33.74,82.86,61.38,72.12,-1441221600.0,31.21,14.12,34.55
2020-03-17,64.83,64.84,-3.5,-2.54,-0.96,40.9,82.11,60.49,71.3,-1117165600.0,32.09,13.02,32.5
2020-03-18,63.4,63.78,-3.75,-2.78,-0.96,37.92,80.98,59.69,70.34,-1417399200.0,32.95,12.18,30.93
2020-03-19,63.22,62.92,-3.93,-3.01,-0.92,36.9,79.75,59.03,69.39,-1689256400.0,33.43,12.85,29.59
2020-03-20,60.79,61.05,-4.34,-3.28,-1.06,28.87,79.14,57.55,68.34,-2090949600.0,34.5,11.59,32.69
2020-03-23,59.9,59.4,-4.71,-3.57,-1.15,26.61,79.06,55.79,67.42,-2427702400.0,36.0,10.8,36.8
2020-03-24,59.6,60.17,-4.5,-3.75,-0.75,49.5,78.59,55.22,66.91,-2140171200.0,35.64,17.5,33.34
2020-03-25,59.54,60.57,-4.31,-3.87,-0.45,48.36,77.87,54.76,66.32,-2443773200.0,34.5,20.82,31.44
2020-03-26,60.22,61.92,-3.85,-3.86,0.01,59.45,77.66,54.59,66.13,-2191686000.0,33.42,19.86,29.72
2020-03-27,61.15,61.92,-3.67,-3.82,0.16,48.64,77.44,54.18,65.81,-2395902800.0,32.43,18.89,28.28
2020-03-30,62.67,62.52,-3.34,-3.73,0.39,55.35,76.17,54.35,65.26,-2227926400.0,31.51,18.24,27.31
2020-03-31,63.04,62.87,-3.05,-3.59,0.54,54.69,75.25,54.39,64.82,-2424928400.0,30.06,20.54,26.01
