Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,4702100.0,,,
2020-01-02,,,,,,,,,,10341300.0,,,
2020-01-03,,,,,,,,,,4352800.0,,,
2020-01-06,,,,,,,,,,11139400.0,,,
2020-01-07,89.02,89.02,,,,,,,,3896900.0,,,
2020-01-08,89.21,89.18,,,,63.89,,,,11593700.0,,,
2020-01-09,89.34,89.53,,,,73.63,,,,19111700.0,,,
2020-01-10,89.42,89.37,,,,47.14,,,,10530300.0,,,
2020-01-13,89.24,89.09,,,,38.92,,,,1238100.0,,,
2020-01-14,89.1,88.79,,,,34.47,,,,-7638800.0,,,
2020-01-15,89.05,88.95,,,,55.53,,,,851300.0,,,
2020-01-16,88.86,89.05,,,,55.53,,,,851300.0,,,
2020-01-17,88.65,88.7,,,,34.77,,,,-9271000.0,,,
2020-01-21,88.54,88.46,,,,34.64,,,,-22823000.0,,,
2020-01-22,88.34,88.05,,,,25.47,,,,-29261900.0,,15.96,28.15
2020-01-23,87.55,87.12,,,,13.97,,,,-41528700.0,,13.29,39.7
2020-01-24,86.4,85.93,,,,9.29,,,,-54744100.0,,10.89,47.33
2020-01-27,85.61,85.29,,,,18.73,,,,-40912100.0,,12.05,40.42
2020-01-28,84.76,84.78,,,,17.54,,,,-49526500.0,,11.07,39.3
2020-01-29,83.96,84.26,,,,14.86,92.06,83.15,87.61,-55229700.0,,10.48,40.34
2020-01-30,83.26,83.43,,,,10.06,92.37,82.17,87.27,-66099700.0,,9.24,46.97
2020-01-31,82.76,82.63,,,,8.27,92.5,81.18,86.84,-79969800.0,,8.51,47.71
2020-02-03,82.41,82.52,,,,33.24,92.44,80.6,86.52,-69826100.0,,12.67,43.18
2020-02-04,82.53,83.13,,,,56.86,92.11,80.43,86.27,-61574600.0,,22.24,37.66
2020-02-05,83.22,84.3,,,,71.0,91.88,80.44,86.16,-51554000.0,,31.18,32.5
2020-02-06,84.3,85.26,-1.73,,,73.61,91.57,80.51,86.04,-43784300.0,,32.53,29.75
2020-02-07,86.55,87.6,-1.02,,,87.12,92.05,80.24,86.14,-24694000.0,,45.11,22.82
2020-02-10,89.04,89.98,-0.26,,,90.15,93.33,79.52,86.43,-10695700.0,40.42,48.85,19.9
2020-02-11,91.37,91.99,0.44,,,91.43,94.84,78.77,86.8,-12900.0,41.12,50.49,18.18
2020-02-12,93.6,93.92,1.13,,,93.05,96.63,77.93,87.28,10578100.0,41.97,49.36,16.74
2020-02-13,95.24,94.4,1.46,,,70.39,97.55,77.62,87.59,-34900.0,42.29,44.81,16.93
2020-02-14,95.59,94.28,1.6,,,60.57,98.16,77.49,87.82,-11210700.0,41.38,42.23,21.28
2020-02-18,95.36,94.06,1.65,,,57.2,98.75,77.46,88.11,-20617000.0,40.2,40.27,22.2
2020-02-19,94.99,94.09,1.72,0.56,1.16,60.51,99.37,77.45,88.41,-14267900.0,39.28,38.67,20.72
2020-02-20,94.28,94.13,1.76,0.8,0.96,61.15,99.99,77.53,88.76,-8821700.0,38.13,36.04,20.94
2020-02-21,94.2,94.41,1.83,1.0,0.83,66.62,100.67,77.83,89.25,-2145700.0,37.58,37.38,19.26
2020-02-24,94.02,93.99,1.72,1.15,0.57,46.3,100.95,78.5,89.73,-12850800.0,36.17,33.58,21.76
2020-02-25,93.13,92.38,1.29,1.18,0.12,25.3,100.91,79.07,89.99,-24217200.0,33.53,27.78,31.04
2020-02-26,91.98,91.06,0.89,1.12,-0.23,22.79,100.79,79.64,90.22,-34004100.0,31.16,25.16,28.12
2020-02-27,90.22,89.18,0.32,0.96,-0.64,15.38,100.65,80.01,90.33,-48188200.0,30.62,21.36,35.36
2020-02-28,88.37,88.02,-0.11,0.74,-0.85,18.59,100.33,80.73,90.53,-29738200.0,30.91,18.93,38.54
2020-03-02,87.48,88.25,-0.2,0.56,-0.76,45.26,99.74,82.08,90.91,-17567100.0,29.68,24.27,33.38
2020-03-03,87.16,88.02,-0.36,0.37,-0.73,39.22,99.25,83.1,91.17,-30228000.0,27.69,26.31,29.16
2020-03-04,87.83,89.26,-0.15,0.27,-0.42,62.53,98.99,84.1,91.54,-13637600.0,25.52,25.92,26.24
2020-03-05,88.87,89.71,-0.07,0.2,-0.27,55.3,98.85,84.63,91.74,-23326000.0,23.54,24.49,24.79
2020-03-06,89.49,89.41,-0.16,0.13,-0.28,45.07,98.76,84.89,91.82,-35990600.0,22.53,22.55,27.95
2020-03-09,88.8,88.03,-0.5,0.0,-0.5,30.9,98.97,83.98,91.47,-51796800.0,22.97,19.4,34.6
2020-03-10,88.8,87.87,-0.59,-0.12,-0.47,44.73,98.64,83.59,91.11,-38831000.0,23.0,19.44,31.31
2020-03-11,87.42,86.86,-0.86,-0.26,-0.6,34.5,98.2,82.91,90.55,-49213200.0,23.08,17.82,29.11
2020-03-12,85.02,84.11,-1.56,-0.52,-1.04,20.71,98.13,81.06,89.6,-69148900.0,24.55,15.15,37.27
2020-03-13,84.33,84.53,-1.56,-0.73,-0.83,48.55,97.39,80.8,89.1,-47281200.0,24.1,22.05,32.14
2020-03-16,82.13,81.11,-2.42,-1.07,-1.35,28.22,98.3,77.91,88.11,-68197200.0,24.93,17.97,37.35
2020-03-17,79.22,78.41,-3.17,-1.49,-1.68,26.64,98.87,75.28,87.08,-91402200.0,26.18,15.9,38.4
2020-03-18,76.46,75.95,-3.87,-1.97,-1.91,23.99,99.16,72.68,85.92,-115115000.0,27.93,14.02,41.38
2020-03-19,74.95,74.32,-4.38,-2.45,-1.93,24.13,98.92,70.61,84.76,-95375100.0,28.56,16.85,36.13
2020-03-20,71.64,72.49,-4.91,-2.94,-1.97,20.53,98.41,68.51,83.46,-114219600.0,29.15,15.48,33.18
2020-03-23,69.69,69.83,-5.61,-3.48,-2.14,15.11,98.41,65.64,82.02,-133438600.0,30.21,14.21,36.02
2020-03-24,68.58,69.05,-5.86,-3.95,-1.91,30.91,98.14,63.74,80.94,-115062300.0,30.1,18.07,32.66
2020-03-25,67.96,68.67,-5.95,-4.35,-1.6,33.09,97.64,62.19,79.91,-95045000.0,30.21,16.88,32.49
2020-03-26,68.51,70.39,-5.49,-4.58,-0.91,57.04,97.07,61.61,79.34,-79065600.0,29.42,20.12,29.85
2020-03-27,69.28,71.15,-5.15,-4.69,-0.46,52.44,96.39,60.98,78.68,-91358900.0,28.51,19.96,28.18
2020-03-30,71.43,72.51,-4.62,-4.68,0.06,61.12,95.16,60.87,78.01,-80687300.0,27.39,20.57,26.85
2020-03-31,73.17,73.74,-4.08,-4.56,0.48,64.15,94.03,60.86,77.44,-60212900.0,25.95,21.88,25.58
2020-04-01,74.27,73.63,-3.83,-4.41,0.58,49.98,91.82,61.23,76.53,-73160900.0,25.19,20.46,28.03
2020-04-02,74.53,74.13,-3.46,-4.22,0.77,57.26,89.62,61.89,75.75,-65083100.0,24.12,21.41,26.45
2020-04-03,74.67,73.88,-3.26,-4.03,0.77,48.23,87.5,62.45,74.98,-73145800.0,23.13,20.52,25.36
2020-04-06,74.77,74.5,-2.89,-3.8,0.92,59.06,86.12,62.89,74.5,-62879300.0,21.75,22.01,23.92
2020-04-07,74.61,74.79,-2.59,-3.56,0.97,56.91,83.88,63.91,73.89,-74471000.0,20.19,22.88,22.73
2020-04-08,75.64,76.05,-2.07,-3.26,1.19,69.72,82.5,64.66,73.58,-62252500.0,18.82,21.44,22.0
2020-04-09,76.56,77.28,-1.54,-2.92,1.37,73.43,82.7,64.58,73.64,-52826600.0,17.65,22.66,21.47
2020-04-13,77.95,78.29,-1.07,-2.55,1.48,75.18,81.33,65.43,73.38,-43533100.0,16.89,23.71,20.54
