Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1366900.0,,,
2020-01-02,,,,,,,,,,-412800.0,,,
2020-01-03,,,,,,,,,,-2352200.0,,,
2020-01-06,,,,,,,,,,-1099000.0,,,
2020-01-07,93.74,93.74,,,,,,,,1509100.0,,,
2020-01-08,93.52,93.63,,,,21.97,,,,-736300.0,,,
2020-01-09,93.6,93.71,,,,51.3,,,,1405600.0,,,
2020-01-10,93.8,93.92,,,,66.64,,,,2858400.0,,,
2020-01-13,93.99,94.16,,,,73.27,,,,5242200.0,,,
2020-01-14,94.25,94.43,,,,79.44,,,,7959700.0,,,
2020-01-15,94.89,95.15,,,,91.2,,,,12074100.0,,,
2020-01-16,95.57,95.87,,,,93.3,,,,14250000.0,,,
2020-01-17,96.42,96.77,,,,95.6,,,,18804800.0,,,
2020-01-21,97.36,97.63,,,,96.53,,,,23536200.0,,,
2020-01-22,98.36,98.42,,,,97.17,,,,26521300.0,,53.68,7.45
2020-01-23,99.24,99.27,,,,97.88,,,,28923500.0,,54.44,6.7
2020-01-24,100.21,100.23,,,,98.47,,,,32112500.0,,58.72,5.75
2020-01-27,100.85,100.75,,,,88.62,,,,29817600.0,,56.18,5.17
2020-01-28,101.42,101.23,,,,89.98,,,,31390000.0,,52.07,4.79
2020-01-29,101.98,101.76,,,,91.81,103.96,90.21,97.08,33033600.0,,51.43,4.28
2020-01-30,102.61,102.54,,,,94.46,104.97,90.15,97.56,34986500.0,,52.25,3.7
2020-01-31,103.02,103.1,,,,94.66,105.8,90.4,98.1,37444300.0,,51.24,3.46
2020-02-03,103.51,103.47,,,,94.66,106.46,90.83,98.64,37444300.0,,49.97,3.23
2020-02-04,103.64,103.27,,,,57.85,106.77,91.43,99.1,34241100.0,,42.33,10.03
2020-02-05,103.51,102.89,,,,45.55,106.88,92.17,99.52,30176500.0,,38.91,15.5
2020-02-06,103.14,102.68,3.29,,,47.95,106.84,93.09,99.97,32929200.0,,36.82,14.67
2020-02-07,102.56,102.23,3.01,,,34.61,106.64,94.04,100.34,30668500.0,,34.11,18.97
2020-02-10,102.1,102.13,2.8,,,46.47,106.41,95.02,100.72,32209500.0,62.68,32.18,18.11
2020-02-11,101.97,102.16,2.63,,,52.09,106.09,96.11,101.1,33707500.0,59.48,33.9,17.21
2020-02-12,101.9,102.04,2.43,,,43.85,105.57,97.31,101.44,32204000.0,55.89,31.35,19.0
2020-02-13,102.02,102.31,2.33,,,62.26,105.27,98.23,101.75,34759100.0,53.65,33.9,16.91
2020-02-14,102.51,102.79,2.3,,,72.08,105.04,99.1,102.07,36136100.0,52.31,36.42,15.66
2020-02-18,102.99,103.3,2.3,,,76.81,105.01,99.71,102.36,38258000.0,51.7,39.56,14.67
2020-02-19,103.25,103.37,2.2,2.59,-0.39,58.71,104.87,100.27,102.57,36348000.0,50.43,36.83,16.57
2020-02-20,103.36,103.04,2.01,2.47,-0.46,42.02,104.67,100.71,102.69,33003500.0,47.17,31.95,23.89
2020-02-21,103.14,102.6,1.78,2.33,-0.55,34.65,104.6,100.85,102.73,29642200.0,43.72,28.73,24.31
2020-02-24,102.39,101.74,1.45,2.16,-0.7,22.41,104.82,100.42,102.62,26362600.0,40.83,24.75,30.59
