Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1199100.0,,,
2020-01-02,,,,,,,,,,-226900.0,,,
2020-01-03,,,,,,,,,,1372000.0,,,
2020-01-06,,,,,,,,,,-154800.0,,,
2020-01-07,227.83,227.83,,,,,,,,-1618600.0,,,
2020-01-08,226.99,227.09,,,,30.85,,,,-184700.0,,,
2020-01-09,226.59,226.89,,,,40.6,,,,1192000.0,,,
2020-01-10,227.02,228.19,,,,68.7,,,,2770900.0,,,
2020-01-13,228.4,230.6,,,,80.8,,,,4611500.0,,,
2020-01-14,230.45,231.71,,,,70.08,,,,3394400.0,,,
2020-01-15,232.4,232.94,,,,74.26,,,,4546500.0,,,
2020-01-16,233.56,232.7,,,,53.67,,,,2763600.0,,,
2020-01-17,234.08,232.94,,,,59.01,,,,5116500.0,,,
2020-01-21,234.34,234.21,,,,70.81,,,,6943600.0,,,
2020-01-22,234.59,234.52,,,,60.49,,,,5649600.0,,32.26,16.72
2020-01-23,235.08,235.63,,,,69.83,,,,7135000.0,,29.88,15.0
2020-01-24,236.13,236.26,,,,67.51,,,,5850200.0,,31.39,13.58
2020-01-27,236.94,236.66,,,,67.07,,,,4653000.0,,29.15,15.61
2020-01-28,237.03,236.83,,,,63.98,,,,3601200.0,,27.98,14.99
2020-01-29,236.69,235.7,,,,36.75,240.92,223.86,232.39,2166800.0,,24.1,22.52
2020-01-30,236.16,235.54,,,,49.41,241.19,224.13,232.66,3438200.0,,21.56,24.29
2020-01-31,235.01,234.27,,,,33.12,241.15,224.49,232.82,1737300.0,,19.17,22.76
2020-02-03,234.33,234.2,,,,47.65,241.21,224.98,233.09,3297500.0,,17.82,20.87
2020-02-04,234.38,235.29,,,,62.45,241.58,225.49,233.54,4403200.0,,23.19,18.29
2020-02-05,234.97,235.65,,,,56.16,240.9,227.44,234.17,3064500.0,,21.64,17.07
2020-02-06,235.49,236.37,2.26,,,62.47,240.42,229.14,234.78,4321600.0,,21.91,16.15
2020-02-07,236.89,237.16,2.37,,,66.44,239.83,230.97,235.4,5559100.0,,23.36,15.45
2020-02-10,238.82,239.34,2.81,,,80.19,241.28,230.8,236.04,7135900.0,19.77,30.87,13.57
2020-02-11,242.18,244.32,3.98,,,90.56,246.49,227.48,236.98,10367800.0,24.79,49.62,9.82
2020-02-12,246.14,248.27,5.0,,,91.55,250.63,225.56,238.1,11993200.0,29.13,45.47,9.0
2020-02-13,249.96,251.15,5.79,,,91.95,254.07,224.28,239.17,13139800.0,32.99,44.37,8.5
2020-02-14,253.46,252.85,6.3,,,87.29,256.64,224.1,240.37,11539100.0,36.47,43.49,8.01
2020-02-18,255.31,252.88,6.36,,,65.92,258.17,224.53,241.35,9540600.0,38.07,40.55,12.35
2020-02-19,254.07,251.28,5.95,4.54,1.42,45.61,258.84,224.99,241.92,6922100.0,37.25,36.74,20.11
2020-02-20,252.34,250.04,5.52,4.73,0.79,43.66,259.33,225.74,242.53,4771800.0,35.37,34.15,24.48
2020-02-21,250.37,249.03,5.07,4.8,0.27,41.56,259.75,226.24,242.99,2201600.0,33.72,33.16,23.62
2020-02-24,248.14,247.72,4.51,4.74,-0.23,34.19,259.96,226.79,243.37,-128200.0,31.18,29.96,27.3
2020-02-25,246.78,247.19,4.11,4.62,-0.51,41.25,260.21,227.41,243.81,2140400.0,30.17,33.78,22.79
2020-02-26,245.69,245.69,3.47,4.39,-0.92,28.41,260.21,227.95,244.08,115800.0,28.07,29.34,26.34
2020-02-27,242.77,241.43,2.15,3.94,-1.79,13.58,260.25,227.86,244.06,-3052900.0,26.84,24.39,31.88
2020-02-28,238.73,236.56,0.6,3.27,-2.67,9.63,261.12,226.16,243.64,-8241000.0,27.77,19.9,44.4
2020-03-02,237.86,237.95,0.49,2.72,-2.22,50.56,260.76,227.41,244.09,-5522500.0,26.34,30.4,37.39
2020-03-03,237.16,239.52,0.56,2.28,-1.73,54.1,260.57,228.46,244.52,-2019900.0,24.24,34.29,34.09
2020-03-04,238.96,243.57,1.32,2.09,-0.77,67.78,261.22,229.23,245.23,330500.0,22.97,36.35,30.7
2020-03-05,241.76,244.69,1.52,1.98,-0.45,56.71,261.24,230.27,245.75,-1638900.0,21.56,33.24,29.96
2020-03-06,245.66,245.23,1.62,1.9,-0.29,55.23,261.23,231.13,246.18,-4332500.0,20.21,29.96,32.74
2020-03-09,243.89,240.78,0.52,1.63,-1.11,31.36,261.83,229.84,245.83,-7541700.0,20.36,24.27,38.01
2020-03-10,244.13,241.81,0.61,1.42,-0.81,52.62,261.84,229.85,245.84,-4883400.0,19.86,25.21,33.41
2020-03-11,240.38,238.84,-0.2,1.1,-1.3,38.87,261.22,228.33,244.78,-8244000.0,19.53,22.16,30.3
