Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,50130000.0,,,
2020-01-02,,,,,,,,,,130710000.0,,,
2020-01-03,,,,,,,,,,55422000.0,,,
2020-01-06,,,,,,,,,,136658000.0,,,
2020-01-07,94.31,94.31,,,,,,,,217556000.0,,,
2020-01-08,94.75,94.4,,,,60.92,,,,147396000.0,,,
2020-01-09,94.78,94.62,,,,66.49,,,,210742000.0,,,
2020-01-10,94.86,94.47,,,,49.21,,,,153668000.0,,,
2020-01-13,94.74,94.5,,,,55.75,,,,209284000.0,,,
2020-01-14,94.37,94.16,,,,38.93,,,,140466000.0,,,
2020-01-15,94.07,93.8,,,,34.51,,,,82534000.0,,,
2020-01-16,93.84,93.84,,,,49.79,,,,135724000.0,,,
2020-01-17,93.65,93.64,,,,40.08,,,,55778000.0,,,
2020-01-21,93.66,93.96,,,,60.13,,,,129934000.0,,,
2020-01-22,93.84,94.1,,,,56.22,,,,65608000.0,,21.48,14.98
2020-01-23,94.07,94.14,,,,53.46,,,,15916000.0,,20.01,18.17
2020-01-24,93.9,93.79,,,,35.91,,,,-59408000.0,,16.62,24.11
2020-01-27,93.54,93.0,,,,22.51,,,,-129978000.0,,14.12,30.92
2020-01-28,93.15,92.89,,,,42.56,,,,-73818000.0,,18.21,28.0
2020-01-29,92.86,92.89,,,,45.89,95.88,91.81,93.84,-32058000.0,,22.27,26.08
2020-01-30,92.72,93.1,,,,54.68,95.83,91.97,93.9,94490000.0,,20.69,25.64
2020-01-31,94.19,95.55,,,,85.88,97.61,90.75,94.18,405836000.0,,51.03,15.68
2020-02-03,95.95,97.1,,,,83.53,98.81,90.19,94.5,288002000.0,,46.01,14.55
2020-02-04,97.91,98.9,,,,87.75,100.41,89.33,94.87,393788000.0,,43.22,12.97
2020-02-05,99.73,99.93,,,,82.08,101.55,88.85,95.2,306264000.0,,42.12,11.98
2020-02-06,101.53,100.79,2.8,,,83.49,102.69,88.5,95.6,369924000.0,,39.51,12.66
2020-02-07,102.23,101.85,3.06,,,87.06,104.01,88.07,96.04,471830000.0,,42.96,11.22
2020-02-10,103.53,103.46,3.45,,,91.42,105.83,87.51,96.67,572954000.0,41.28,45.29,10.07
2020-02-11,104.54,104.82,3.78,,,92.41,107.56,87.07,97.32,687874000.0,44.24,50.05,9.14
2020-02-12,105.74,105.88,4.03,,,92.96,109.12,86.96,98.04,754560000.0,46.8,47.38,8.66
2020-02-13,106.74,106.42,4.14,,,84.5,110.32,87.2,98.76,693924000.0,48.28,44.91,10.66
2020-02-14,107.29,106.53,4.12,,,72.32,111.24,87.57,99.41,641800000.0,48.72,42.13,13.0
2020-02-18,107.51,106.95,4.14,,,77.85,112.15,88.12,100.13,700712000.0,49.22,40.16,11.99
2020-02-19,107.71,107.47,4.17,3.74,0.43,81.15,113.09,88.57,100.83,751936000.0,49.95,41.51,11.33
2020-02-20,107.64,107.53,4.08,3.81,0.27,66.58,113.72,89.26,101.49,689310000.0,48.97,37.74,16.51
2020-02-21,107.1,106.62,3.73,3.79,-0.07,38.07,113.86,90.19,102.02,596384000.0,46.54,33.41,21.56
2020-02-24,105.84,104.57,3.07,3.65,-0.58,21.01,113.53,91.25,102.39,465444000.0,43.31,27.74,33.63
