Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,527100.0,,,
2020-01-02,,,,,,,,,,-793400.0,,,
2020-01-03,,,,,,,,,,-2503800.0,,,
2020-01-06,,,,,,,,,,-4241200.0,,,
2020-01-07,228.98,228.98,,,,,,,,-2722300.0,,,
2020-01-08,227.6,228.68,,,,31.86,,,,-1756600.0,,,
2020-01-09,228.07,230.29,,,,67.22,,,,-435700.0,,,
2020-01-10,229.27,230.86,,,,56.97,,,,-1384700.0,,,
2020-01-13,231.46,232.86,,,,73.4,,,,-7900.0,,,
2020-01-14,232.99,233.41,,,,59.68,,,,-952100.0,,,
2020-01-15,234.47,234.1,,,,63.14,,,,-172600.0,,,
2020-01-16,234.92,234.65,,,,64.4,,,,584000.0,,,
2020-01-17,235.92,235.44,,,,69.56,,,,2441000.0,,,
2020-01-21,235.99,236.02,,,,70.34,,,,4140900.0,,,
2020-01-22,236.69,236.69,,,,74.3,,,,5068700.0,,23.11,12.08
2020-01-23,237.06,236.89,,,,64.86,,,,3996400.0,,20.09,20.24
2020-01-24,238.69,239.24,,,,85.42,,,,5759900.0,,34.13,16.4
2020-01-27,237.99,237.32,,,,39.71,,,,4391000.0,,26.35,21.66
2020-01-28,237.84,237.03,,,,49.35,,,,5729500.0,,24.13,19.84
2020-01-29,237.69,237.11,,,,51.99,243.08,225.09,234.09,6438500.0,,24.0,18.82
2020-01-30,238.51,238.54,,,,63.87,243.95,224.86,234.41,7512600.0,,29.1,16.64
2020-01-31,237.46,238.6,,,,53.15,244.38,225.19,234.79,5916200.0,,26.94,15.41
2020-02-03,239.37,240.07,,,,64.88,244.98,226.29,235.64,7555800.0,,30.1,13.79
2020-02-04,241.5,242.41,,,,72.92,246.19,227.21,236.7,9003100.0,,35.56,12.46
2020-02-05,244.1,245.03,,,,77.88,247.97,227.76,237.87,10593900.0,,35.46,10.79
2020-02-06,246.03,247.04,5.94,,,79.05,249.62,228.41,239.02,12111500.0,,35.52,10.23
2020-02-07,248.27,248.0,6.09,,,72.08,251.13,228.54,239.84,11380700.0,,34.02,9.8
2020-02-10,250.01,249.24,6.27,,,76.2,252.64,229.01,240.82,12242300.0,37.32,33.86,9.4
2020-02-11,251.08,250.3,6.4,,,77.8,254.28,228.92,241.6,13207700.0,39.84,36.72,8.91
2020-02-12,251.84,251.56,6.56,,,81.55,255.93,229.23,242.58,13897700.0,42.08,35.81,8.49
2020-02-13,252.6,252.67,6.68,,,83.18,257.5,229.6,243.55,14563900.0,44.32,36.88,7.95
2020-02-14,253.82,253.78,6.78,,,85.51,259.03,230.09,244.56,15214700.0,46.28,35.76,7.71
2020-02-18,254.63,254.44,6.77,,,82.12,260.31,230.68,245.5,14356800.0,48.1,35.67,7.43
2020-02-19,255.31,254.9,6.68,6.46,0.22,82.37,261.38,231.48,246.43,15287800.0,49.79,34.99,7.09
2020-02-20,255.57,255.06,6.51,6.47,0.03,75.22,262.21,232.38,247.3,14364900.0,49.08,31.9,13.02
2020-02-21,255.59,255.03,6.26,6.43,-0.17,67.7,262.71,233.65,248.18,12777900.0,48.46,30.5,12.45
2020-02-24,253.49,251.87,5.25,6.19,-0.95,18.08,262.71,233.81,248.26,11447200.0,44.84,24.24,27.89
2020-02-25,249.44,246.41,3.59,5.67,-2.09,9.16,262.42,234.3,248.36,10023500.0,43.89,19.41,39.3
2020-02-26,245.38,242.78,2.25,4.99,-2.74,9.32,262.54,234.09,248.32,11333700.0,43.04,17.75,35.93
2020-02-27,239.12,236.55,0.27,4.04,-3.78,4.97,264.79,230.52,247.66,9923400.0,43.79,14.67,46.45
2020-02-28,232.05,230.9,-1.65,2.9,-4.56,4.04,267.5,225.63,246.57,7569800.0,45.32,12.57,53.97
2020-03-02,229.07,230.82,-2.25,1.87,-4.13,39.02,267.98,224.35,246.16,9195200.0,44.66,21.09,46.2
2020-03-03,227.45,229.67,-2.96,0.91,-3.87,34.36,268.67,222.1,245.38,7587400.0,42.78,25.45,39.32
2020-03-04,227.78,232.18,-2.7,0.19,-2.88,54.63,268.43,221.35,244.89,8801300.0,41.03,22.82,34.87
2020-03-05,229.76,232.78,-2.71,-0.39,-2.32,48.54,267.93,220.21,244.07,7253100.0,39.51,20.8,32.47
2020-03-06,231.78,231.76,-3.04,-0.92,-2.12,40.89,267.42,218.59,243.01,5078100.0,38.59,18.88,33.49
2020-03-09,226.68,222.89,-5.22,-1.78,-3.44,19.22,269.98,211.56,240.77,2684400.0,39.53,14.64,44.58
2020-03-10,224.13,220.12,-6.11,-2.65,-3.47,35.6,269.78,208.04,238.91,4646900.0,40.4,13.35,40.77
2020-03-11,218.25,216.01,-7.29,-3.58,-3.71,30.11,269.69,203.67,236.68,3176300.0,41.26,12.07,37.87
2020-03-12,208.99,206.59,-9.72,-4.81,-4.92,19.18,271.63,195.09,233.36,887600.0,43.24,9.49,47.97
2020-03-13,204.32,206.51,-10.04,-5.85,-4.18,43.14,269.59,192.28,230.94,3068000.0,44.99,8.51,41.81
2020-03-16,199.36,197.79,-12.24,-7.13,-5.11,28.43,269.85,184.46,227.15,1259000.0,47.21,6.62,44.65
2020-03-17,197.47,200.23,-11.86,-8.07,-3.78,49.08,266.23,183.01,224.62,3543700.0,47.28,13.48,38.6
2020-03-18,196.22,200.67,-11.7,-8.8,-2.9,46.68,262.07,181.74,221.91,961500.0,46.69,14.42,33.14
2020-03-19,196.88,197.46,-12.28,-9.5,-2.79,39.48,257.91,179.47,218.69,-856700.0,46.14,13.27,30.51
2020-03-20,193.44,194.69,-12.75,-10.15,-2.6,38.16,252.9,177.9,215.4,-3012300.0,45.95,12.51,31.88
2020-03-23,192.72,188.7,-13.96,-10.91,-3.05,29.93,250.38,173.54,211.96,-5175100.0,46.16,11.26,32.74
2020-03-24,190.58,190.61,-13.34,-11.4,-1.95,49.37,247.46,172.35,209.91,-3013500.0,45.62,12.83,29.12
2020-03-25,188.5,190.79,-12.97,-11.71,-1.26,46.39,244.15,171.22,207.69,-5178800.0,44.66,13.75,27.11
2020-03-26,190.56,194.31,-11.71,-11.71,0.0,56.58,242.31,170.79,206.55,-3666000.0,43.78,12.93,25.49
