Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1248700.0,,,
2020-01-02,,,,,,,,,,3281600.0,,,
2020-01-03,,,,,,,,,,994600.0,,,
2020-01-06,,,,,,,,,,-1084300.0,,,
2020-01-07,315.79,315.79,,,,,,,,-2940800.0,,,
2020-01-08,314.34,313.44,,,,21.98,,,,-6138700.0,,,
2020-01-09,311.11,311.05,,,,17.43,,,,-10378400.0,,,
2020-01-10,308.12,307.11,,,,10.05,,,,-14448900.0,,,
2020-01-13,305.61,305.13,,,,21.6,,,,-12243500.0,,,
2020-01-14,304.72,306.15,,,,50.17,,,,-9352400.0,,,
2020-01-15,303.6,305.14,,,,37.78,,,,-11625700.0,,,
2020-01-16,303.75,305.78,,,,49.8,,,,-9474900.0,,,
2020-01-17,305.67,306.78,,,,54.68,,,,-6785300.0,,,
2020-01-21,307.05,307.21,,,,52.06,,,,-8982000.0,,,
2020-01-22,308.0,309.13,,,,65.92,,,,-6055600.0,,29.98,19.94
2020-01-23,311.31,312.64,,,,77.17,,,,-3029000.0,,28.67,17.06
2020-01-24,314.7,316.43,,,,82.0,,,,2549200.0,,40.67,14.14
2020-01-27,314.74,313.96,,,,42.91,,,,-1335100.0,,32.87,26.58
2020-01-28,316.79,315.41,,,,58.31,,,,981500.0,,28.9,23.37
2020-01-29,317.7,316.11,,,,56.66,324.8,298.3,311.55,-1385300.0,,33.28,21.14
2020-01-30,316.81,315.81,,,,51.42,324.71,298.31,311.51,-3498100.0,,29.97,28.59
2020-01-31,313.04,312.26,,,,34.22,323.13,298.17,310.65,-5710400.0,,26.3,30.34
2020-02-03,312.28,309.92,,,,34.41,322.78,297.62,310.2,-3581600.0,,25.45,29.35
2020-02-04,310.94,310.48,,,,50.71,322.59,297.6,310.1,-1325700.0,,31.41,26.43
2020-02-05,310.91,312.78,,,,61.55,323.19,297.48,310.33,1156800.0,,34.21,24.15
2020-02-06,311.81,315.08,1.9,,,65.35,324.34,297.43,310.88,3425100.0,,32.15,24.43
2020-02-07,313.83,315.13,1.88,,,52.75,324.74,297.92,311.33,1836800.0,,30.47,23.15
