Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,6773600.0,,,
2020-01-02,,,,,,,,,,22647100.0,,,
2020-01-03,,,,,,,,,,14042600.0,,,
2020-01-06,,,,,,,,,,2157100.0,,,
2020-01-07,216.63,216.63,,,,,,,,11545100.0,,,
2020-01-08,217.81,217.09,,,,72.3,,,,23504200.0,,,
2020-01-09,218.21,218.65,,,,84.56,,,,36626700.0,,,
2020-01-10,219.58,220.38,,,,88.12,,,,48922700.0,,,
2020-01-13,222.34,223.74,,,,93.86,,,,66467500.0,,,
2020-01-14,224.12,224.66,,,,68.89,,,,49200600.0,,,
2020-01-15,225.53,224.79,,,,61.55,,,,38457200.0,,,
2020-01-16,225.96,224.51,,,,55.74,,,,24756700.0,,,
2020-01-17,226.68,225.48,,,,67.64,,,,37712900.0,,,
2020-01-21,225.04,224.41,,,,45.16,,,,21881800.0,,,
2020-01-22,224.21,223.73,,,,45.64,,,,31941400.0,,35.74,20.43
2020-01-23,223.03,222.2,,,,34.5,,,,13421500.0,,31.23,29.63
2020-01-24,220.99,219.38,,,,22.91,,,,-4722400.0,,25.9,35.51
2020-01-27,216.6,214.74,,,,13.91,,,,-29297100.0,,19.79,46.7
2020-01-28,214.19,213.24,,,,32.86,,,,-13100400.0,,22.74,42.57
2020-01-29,212.12,212.83,,,,39.15,231.67,206.87,219.27,-228500.0,,26.07,39.49
2020-01-30,210.01,211.42,,,,31.96,231.98,206.2,219.09,-14604500.0,,23.23,42.18
2020-01-31,208.58,209.81,,,,28.21,232.42,204.45,218.43,-32785900.0,,21.82,40.1
2020-02-03,210.1,210.9,,,,51.48,232.41,204.07,218.24,-18667100.0,,29.62,35.08
2020-02-04,212.63,214.9,,,,69.84,232.84,204.26,218.55,-1972000.0,,37.77,29.72
2020-02-05,214.27,216.67,,,,61.88,232.98,204.38,218.68,-17738100.0,,33.32,30.02
2020-02-06,216.74,218.08,-1.76,,,63.22,233.15,204.5,218.83,-6947300.0,,31.62,28.49
2020-02-07,218.73,217.56,-1.63,,,49.3,232.86,204.27,218.56,-20737600.0,,29.14,32.65
2020-02-10,219.26,216.97,-1.58,,,47.05,232.29,204.03,218.16,-38157900.0,15.54,27.47,34.32
2020-02-11,218.13,217.05,-1.4,,,52.22,230.45,204.55,217.5,-22084400.0,14.01,31.4,32.16
2020-02-12,218.94,219.47,-0.68,,,70.17,230.07,204.71,217.39,-3412500.0,13.6,35.13,28.72
2020-02-13,218.84,219.77,-0.43,,,55.63,229.42,204.88,217.15,-31482200.0,12.97,32.43,28.08
2020-02-14,219.46,219.72,-0.28,,,53.09,228.87,205.0,216.94,-42172200.0,12.23,30.98,27.82
2020-02-18,220.41,219.99,-0.09,,,56.15,227.66,205.53,216.59,-29185200.0,11.41,29.58,27.53
2020-02-19,221.39,220.7,0.19,-0.85,1.04,61.8,227.64,205.53,216.59,-18387100.0,11.26,32.1,26.37
2020-02-20,220.14,219.82,0.08,-0.66,0.74,43.89,227.13,205.61,216.37,-33337200.0,10.78,28.55,32.17
2020-02-21,218.58,217.41,-0.44,-0.62,0.18,29.63,226.84,205.24,216.04,-51018400.0,10.85,26.12,32.93
2020-02-24,215.89,213.66,-1.36,-0.77,-0.59,20.03,227.26,204.06,215.66,-70398600.0,12.29,22.86,40.03
2020-02-25,212.91,210.98,-2.11,-1.04,-1.07,19.36,227.24,204.09,215.67,-88531000.0,12.99,24.51,37.13
2020-02-26,210.23,210.23,-2.42,-1.31,-1.11,34.87,227.33,203.86,215.6,-69048900.0,12.98,26.08,33.77
2020-02-27,207.63,208.5,-2.93,-1.64,-1.29,27.14,227.77,202.72,215.25,-91790100.0,13.68,23.58,36.36
2020-02-28,206.71,208.33,-3.06,-1.92,-1.14,40.37,227.81,202.63,215.22,-60539000.0,14.73,20.84,35.83
2020-03-02,207.67,209.21,-2.89,-2.11,-0.78,51.43,227.56,203.31,215.44,-38996800.0,15.23,21.57,32.9
2020-03-03,208.03,208.61,-3.01,-2.29,-0.72,40.25,227.74,202.56,215.15,-59810600.0,15.89,19.44,31.29
2020-03-04,208.68,209.73,-2.71,-2.38,-0.33,55.62,226.75,202.46,214.61,-47336200.0,16.2,19.75,29.48
2020-03-05,209.96,210.31,-2.48,-2.4,-0.08,53.72,226.1,202.24,214.17,-60799100.0,15.95,21.14,27.53
2020-03-06,209.29,208.42,-2.81,-2.48,-0.33,33.96,225.55,201.16,213.35,-82499600.0,16.85,18.83,33.01
2020-03-09,206.63,204.83,-3.6,-2.7,-0.9,23.09,226.28,198.54,212.41,-108002200.0,18.44,16.78,36.69
2020-03-10,206.42,205.35,-3.48,-2.86,-0.62,48.74,225.96,197.92,211.94,-88979600.0,18.48,22.62,33.15
2020-03-11,203.81,203.2,-3.94,-3.08,-0.87,35.91,225.91,196.14,211.03,-107887800.0,19.02,20.39,34.38
2020-03-12,198.54,197.17,-5.36,-3.53,-1.83,22.34,226.54,191.59,209.07,-138134900.0,20.59,17.66,40.65
2020-03-13,196.41,196.11,-5.7,-3.97,-1.74,40.46,225.59,189.91,207.75,-114484400.0,21.14,20.78,36.8
2020-03-16,192.65,190.36,-7.12,-4.6,-2.52,27.04,226.7,184.72,205.71,-141112900.0,22.63,17.57,41.66
2020-03-17,188.33,188.51,-7.66,-5.21,-2.45,37.27,225.63,182.22,203.92,-121836400.0,23.78,17.21,38.22
2020-03-18,184.55,185.67,-8.39,-5.85,-2.54,32.65,224.21,179.42,201.82,-143890600.0,25.45,15.3,41.24
2020-03-19,183.71,184.08,-8.79,-6.44,-2.36,34.51,222.82,177.09,199.96,-122984900.0,26.27,17.79,38.2
2020-03-20,181.17,183.15,-8.98,-6.94,-2.03,35.57,221.86,174.93,198.39,-101978800.0,26.88,17.47,35.81
2020-03-23,180.67,180.88,-9.41,-7.44,-1.97,28.71,221.95,171.86,196.9,-124533500.0,28.1,15.99,40.26
2020-03-24,180.85,182.5,-8.9,-7.73,-1.17,51.08,221.07,170.75,195.91,-103732000.0,27.85,22.04,36.61
2020-03-25,182.57,184.52,-8.17,-7.82,-0.35,56.21,219.53,170.27,194.9,-84126800.0,26.9,24.97,33.78
2020-03-26,185.45,188.12,-6.96,-7.65,0.68,66.71,218.61,170.22,194.42,-68710000.0,25.9,24.2,31.63
2020-03-27,186.91,188.28,-6.48,-7.41,0.94,51.38,216.93,169.96,193.45,-82086400.0,24.97,22.89,29.91
2020-03-30,189.9,189.28,-5.81,-7.09,1.28,56.37,214.53,170.39,192.46,-69832000.0,24.2,22.1,29.64
2020-03-31,191.64,191.01,-4.96,-6.66,1.7,62.18,212.82,170.8,191.81,-50747200.0,22.84,25.22,28.18
2020-04-01,191.44,189.86,-4.79,-6.29,1.5,45.76,209.51,171.68,190.59,-68695800.0,22.13,23.34,30.47
2020-04-02,190.16,189.54,-4.5,-5.93,1.43,49.02,205.78,173.15,189.47,-55283700.0,21.49,22.28,29.09
2020-04-03,189.86,188.73,-4.36,-5.62,1.26,44.55,203.36,173.82,188.59,-64766800.0,20.92,21.32,28.07
2020-04-06,190.9,191.3,-3.46,-5.19,1.73,65.23,203.16,173.9,188.53,-51518100.0,19.53,24.83,25.8
2020-04-07,191.6,193.54,-2.59,-4.67,2.08,67.72,201.05,175.16,188.11,-36583600.0,18.52,27.67,24.7
2020-04-08,193.29,194.35,-2.04,-4.14,2.1,60.63,200.47,175.45,187.96,-50191600.0,17.19,26.46,26.4
2020-04-09,194.78,195.02,-1.56,-3.63,2.07,61.6,201.48,175.57,188.53,-32370300.0,16.13,26.15,24.77
2020-04-13,197.25,196.5,-0.91,-3.08,2.17,69.1,202.41,175.19,188.8,-16252400.0,15.16,25.01,23.69
2020-04-14,198.91,199.26,0.03,-2.46,2.49,78.31,204.58,175.61,190.09,504700.0,15.2,30.01,21.85
2020-04-15,200.95,202.23,1.03,-1.76,2.8,82.45,207.52,175.01,191.26,11272800.0,14.8,27.88,22.97
2020-04-16,204.28,205.71,2.17,-0.98,3.14,86.67,210.78,175.02,192.9,27626600.0,14.91,30.38,21.88
2020-04-17,206.91,206.97,2.78,-0.22,3.01,71.54,212.71,175.95,194.33,14068100.0,15.2,30.25,20.61
2020-04-20,209.45,208.69,3.44,0.51,2.93,75.91,214.78,176.95,195.87,33363500.0,15.6,29.38,19.29
2020-04-21,209.96,208.24,3.53,1.11,2.42,56.23,214.69,180.15,197.42,19255900.0,15.24,27.38,22.12
2020-04-22,210.32,208.81,3.78,1.65,2.13,62.82,215.85,181.41,198.63,32727000.0,14.91,26.13,21.11
2020-04-23,208.83,207.62,3.55,2.03,1.52,46.92,216.26,182.66,199.46,12303000.0,13.98,24.3,25.29
2020-04-24,207.81,206.53,3.26,2.27,0.98,44.3,216.73,183.1,199.91,-2370900.0,13.21,23.39,25.0
2020-04-27,206.12,205.59,2.94,2.41,0.53,42.07,216.72,184.62,200.67,-19657700.0,12.29,23.32,23.51
2020-04-28,204.88,204.11,2.45,2.42,0.04,33.97,216.63,185.7,201.16,-36861500.0,11.86,21.91,24.83
2020-04-29,204.23,204.97,2.49,2.43,0.06,56.73,217.1,186.45,201.77,-17743700.0,11.12,22.53,23.28
2020-04-30,203.71,204.2,2.17,2.38,-0.21,43.21,216.4,188.66,202.53,-37851100.0,10.96,20.78,24.84
2020-05-01,201.74,200.96,1.23,2.15,-0.91,26.91,215.76,189.86,202.81,-60127300.0,11.71,18.71,28.9
