Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,29630100.0,,,
2020-01-02,,,,,,,,,,67244300.0,,,
2020-01-03,,,,,,,,,,16886400.0,,,
2020-01-06,,,,,,,,,,-25298600.0,,,
2020-01-07,35.05,35.05,,,,,,,,-59447600.0,,,
2020-01-08,35.0,35.02,,,,46.74,,,,-14136000.0,,,
2020-01-09,34.87,35.02,,,,50.09,,,,25725600.0,,,
2020-01-10,34.84,34.93,,,,36.29,,,,-14004800.0,,,
2020-01-13,34.88,34.97,,,,53.83,,,,23951300.0,,,
2020-01-14,35.02,35.09,,,,63.92,,,,90670600.0,,,
2020-01-15,34.96,34.95,,,,37.98,,,,15925100.0,,,
2020-01-16,34.9,34.87,,,,40.31,,,,66293600.0,,,
2020-01-17,34.9,34.82,,,,39.94,,,,12137500.0,,,
2020-01-21,34.74,34.63,,,,26.22,,,,-38673500.0,,,
2020-01-22,34.54,34.54,,,,32.65,,,,206200.0,,21.45,33.39
2020-01-23,34.43,34.4,,,,25.88,,,,-45510900.0,,18.61,39.48
2020-01-24,34.2,34.11,,,,15.92,,,,-93308100.0,,15.55,41.69
2020-01-27,33.83,33.69,,,,10.12,,,,-150404300.0,,12.76,47.61
2020-01-28,33.62,33.54,,,,28.51,,,,-111569700.0,,17.26,42.69
2020-01-29,33.35,33.36,,,,24.78,36.01,32.98,34.49,-148984400.0,,15.98,39.52
2020-01-30,33.22,33.4,,,,43.64,35.94,32.87,34.4,-98441600.0,,13.93,39.13
2020-01-31,33.08,33.21,,,,30.44,35.84,32.69,34.26,-153286900.0,,12.27,34.76
2020-02-03,33.11,33.13,,,,35.68,35.81,32.53,34.17,-104801400.0,,14.54,31.95
2020-02-04,33.18,33.29,,,,55.24,35.73,32.48,34.11,-59739800.0,,19.42,27.97
2020-02-05,33.52,33.77,,,,72.66,35.74,32.48,34.11,-5135000.0,,27.78,23.87
2020-02-06,33.76,34.07,-0.41,,,71.39,35.7,32.49,34.1,-44646500.0,,28.86,22.64
2020-02-07,34.12,34.25,-0.32,,,69.12,35.64,32.51,34.07,-75909500.0,,27.27,26.0
2020-02-10,34.46,34.4,-0.25,,,70.67,35.63,32.51,34.07,-51535700.0,26.11,26.55,24.94
2020-02-11,34.69,34.52,-0.18,,,72.41,35.59,32.53,34.06,-19059400.0,24.57,30.04,23.75
2020-02-12,34.73,34.65,-0.11,,,75.78,35.51,32.57,34.04,17597300.0,24.16,32.77,21.61
2020-02-13,34.78,34.74,-0.05,,,75.01,35.55,32.55,34.05,-14177800.0,23.11,30.66,23.3
2020-02-14,34.83,34.78,-0.01,,,69.75,35.56,32.55,34.06,-40625500.0,22.19,29.56,22.46
2020-02-18,34.74,34.61,-0.03,,,37.75,35.52,32.55,34.03,-80943500.0,20.58,26.26,29.12
2020-02-19,34.73,34.64,-0.01,-0.15,0.15,56.92,35.57,32.55,34.06,-51311400.0,19.11,24.51,26.89
2020-02-20,34.72,34.71,0.02,-0.12,0.14,61.23,35.63,32.54,34.08,-8707300.0,17.53,25.53,24.71
2020-02-21,34.61,34.6,0.01,-0.09,0.1,41.61,35.64,32.54,34.09,-55382800.0,16.57,23.21,26.56
2020-02-24,34.19,33.97,-0.14,-0.1,-0.04,17.84,35.7,32.41,34.05,-134542400.0,18.23,18.51,39.0
2020-02-25,33.55,33.01,-0.38,-0.16,-0.22,10.35,36.0,31.93,33.96,-226129200.0,21.15,15.08,47.99
2020-02-26,32.73,32.22,-0.6,-0.24,-0.35,9.06,36.32,31.34,33.83,-306142000.0,23.95,13.61,45.93
2020-02-27,31.59,31.19,-0.89,-0.37,-0.51,5.95,36.86,30.42,33.64,-427290300.0,27.32,11.6,53.33
2020-02-28,30.41,30.29,-1.15,-0.53,-0.62,5.05,37.31,29.47,33.39,-598489100.0,30.81,10.24,56.99
2020-03-02,29.74,29.98,-1.27,-0.68,-0.6,24.83,37.51,28.93,33.22,-450712800.0,32.92,13.49,48.67
2020-03-03,29.08,29.24,-1.49,-0.84,-0.65,16.72,37.87,28.05,32.96,-589411300.0,34.25,14.06,41.51
2020-03-04,28.63,28.96,-1.59,-0.99,-0.6,28.29,37.98,27.41,32.7,-478171500.0,35.58,13.07,40.1
2020-03-05,28.16,28.23,-1.77,-1.15,-0.63,19.69,38.09,26.51,32.3,-589050200.0,37.27,11.38,41.41
2020-03-06,27.6,27.39,-1.98,-1.31,-0.67,15.72,38.19,25.51,31.85,-708171400.0,39.32,10.18,45.19
2020-03-09,26.11,25.57,-2.43,-1.54,-0.89,8.32,38.75,23.68,31.22,-853367400.0,42.06,7.94,54.07
2020-03-10,25.28,24.92,-2.62,-1.75,-0.86,27.33,38.71,22.62,30.66,-718503800.0,44.34,8.06,48.36
2020-03-11,24.14,24.17,-2.81,-1.96,-0.84,23.87,38.58,21.53,30.06,-845850800.0,46.08,8.77,44.26
2020-03-12,22.89,22.95,-3.1,-2.19,-0.91,17.5,38.51,20.17,29.34,-985403400.0,48.13,7.66,48.5
