Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,805887.0,,,
2020-01-02,,,,,,,,,,2188080.0,,,
2020-01-03,,,,,,,,,,979642.0,,,
2020-01-06,,,,,,,,,,208058.0,,,
2020-01-07,48.74,48.74,,,,,,,,208058.0,,,
2020-01-08,48.74,48.77,,,,60.98,,,,1525906.0,,,
2020-01-09,48.62,48.64,,,,28.85,,,,-184628.0,,,
2020-01-10,48.59,48.6,,,,40.21,,,,1008677.0,,,
2020-01-13,48.64,48.68,,,,59.57,,,,2581664.0,,,
2020-01-14,48.77,48.87,,,,72.95,,,,4550701.0,,,
2020-01-15,48.81,48.94,,,,63.41,,,,1516714.0,,,
2020-01-16,49.05,49.15,,,,76.26,,,,4530747.0,,,
2020-01-17,49.42,49.56,,,,86.53,,,,6690466.0,,,
2020-01-21,49.57,49.57,,,,56.6,,,,3411541.0,,,
2020-01-22,49.78,49.8,,,,68.21,,,,6887314.0,,45.07,23.17
2020-01-23,49.88,49.74,,,,52.15,,,,1478825.0,,36.65,34.97
2020-01-24,49.68,49.35,,,,34.66,,,,-1265495.0,,30.59,37.39
2020-01-27,49.02,48.59,,,,21.79,,,,-4906055.0,,24.68,47.7
2020-01-28,48.56,48.15,,,,27.0,,,,-2943857.0,,25.0,43.88
2020-01-29,47.95,47.84,,,,26.25,50.54,47.07,48.81,-5169939.0,,24.15,41.64
2020-01-30,47.48,47.65,,,,27.93,50.59,46.87,48.73,-3176016.0,,21.73,45.21
2020-01-31,46.88,46.96,,,,14.79,50.86,46.25,48.56,-7331003.0,,17.84,46.66
2020-02-03,46.53,46.41,,,,13.4,51.1,45.69,48.39,-9994387.0,,16.81,47.22
2020-02-04,46.38,46.45,,,,42.08,51.11,45.47,48.29,-7271926.0,,23.16,41.16
2020-02-05,46.37,46.68,,,,51.83,51.07,45.36,48.21,-4392637.0,,27.91,38.19
2020-02-06,46.29,46.74,-1.04,,,47.16,51.02,45.21,48.12,-7701381.0,,26.61,37.23
2020-02-07,46.28,46.35,-1.1,,,31.15,51.08,44.87,47.97,-10052791.0,,23.04,44.34
2020-02-10,46.33,46.08,-1.13,,,31.06,51.09,44.56,47.83,-12448256.0,28.26,22.05,45.35
2020-02-11,46.21,46.04,-1.11,,,40.91,51.01,44.35,47.68,-10121845.0,27.69,26.69,42.6
2020-02-12,46.13,46.27,-1.02,,,55.57,50.83,44.28,47.56,-7926703.0,25.84,31.71,38.51
2020-02-13,46.03,46.31,-0.96,,,48.96,50.65,44.19,47.42,-10042254.0,24.57,30.12,39.17
2020-02-14,46.14,46.24,-0.93,,,43.54,50.37,44.13,47.25,-12408685.0,23.95,28.04,40.53
2020-02-18,46.23,46.16,-0.9,,,41.15,49.84,44.22,47.03,-15213203.0,23.6,26.65,40.2
2020-02-19,46.22,46.07,-0.88,-1.01,0.13,38.51,49.44,44.25,46.84,-17484461.0,23.2,26.15,38.62
2020-02-20,45.91,45.77,-0.91,-0.99,0.08,25.88,48.75,44.42,46.59,-19383099.0,23.55,24.08,41.92
2020-02-21,45.63,45.5,-0.94,-0.98,0.04,23.13,48.13,44.58,46.36,-21735742.0,24.18,23.07,43.53
2020-02-24,44.94,44.57,-1.13,-1.01,-0.12,9.36,48.18,43.94,46.06,-25816182.0,26.61,17.56,55.55
2020-02-25,44.09,43.62,-1.35,-1.08,-0.27,7.09,48.58,43.01,45.8,-28062218.0,29.07,15.72,54.45
2020-02-26,43.2,42.89,-1.53,-1.17,-0.36,6.48,48.79,42.22,45.5,-30842971.0,31.38,14.69,52.59
2020-02-27,42.18,41.95,-1.76,-1.28,-0.47,4.37,49.1,41.2,45.15,-34783734.0,34.02,13.08,57.7
2020-02-28,40.91,40.85,-2.03,-1.43,-0.6,3.06,49.45,39.98,44.71,-40737141.0,37.04,11.08,64.11
2020-03-02,40.27,40.39,-2.16,-1.58,-0.58,20.52,49.64,39.17,44.41,-35389298.0,39.12,13.51,58.53
2020-03-03,39.76,39.99,-2.25,-1.71,-0.54,19.1,49.79,38.42,44.1,-41725190.0,39.73,18.98,52.32
2020-03-04,39.64,40.27,-2.17,-1.8,-0.37,46.52,49.56,38.08,43.82,-38602532.0,39.9,19.12,46.52
2020-03-05,39.32,39.67,-2.27,-1.9,-0.37,28.77,49.36,37.41,43.38,-42413932.0,40.8,16.03,49.72
2020-03-06,39.04,38.86,-2.42,-2.0,-0.42,23.19,49.22,36.58,42.9,-46882799.0,42.1,14.38,53.09
2020-03-09,37.37,36.27,-3.0,-2.2,-0.8,10.38,50.2,34.16,42.18,-53415427.0,44.47,10.26,63.94
2020-03-10,36.26,35.41,-3.22,-2.4,-0.81,30.53,50.25,32.93,41.59,-44156527.0,45.61,14.58,56.82
2020-03-11,34.42,34.15,-3.51,-2.63,-0.88,24.93,50.31,31.44,40.87,-55794413.0,46.89,13.07,56.13
2020-03-12,32.25,31.96,-4.02,-2.91,-1.12,17.21,50.58,29.25,39.91,-66924822.0,48.73,10.68,62.47
2020-03-13,30.92,31.5,-4.14,-3.15,-0.99,35.71,50.09,28.16,39.12,-55773226.0,49.03,17.28,55.69
2020-03-16,30.33,30.38,-4.38,-3.4,-0.98,29.09,49.69,26.76,38.23,-66593342.0,49.55,15.19,53.82
2020-03-17,29.81,30.63,-4.28,-3.58,-0.71,44.64,48.76,26.2,37.48,-58385268.0,48.8,20.88,48.24
2020-03-18,29.01,29.62,-4.44,-3.75,-0.69,33.72,47.94,25.2,36.57,-65584330.0,48.58,18.21,49.03
2020-03-19,29.26,29.37,-4.41,-3.88,-0.53,40.25,46.88,24.63,35.75,-58751499.0,48.37,17.01,45.8
2020-03-20,28.76,28.94,-4.39,-3.98,-0.41,37.36,45.66,24.15,34.91,-66586504.0,47.83,17.83,42.8
2020-03-23,28.79,28.72,-4.32,-4.05,-0.27,38.92,44.69,23.69,34.19,-59799409.0,47.34,17.09,41.03
2020-03-24,29.07,29.99,-3.87,-4.01,0.14,61.56,43.65,23.8,33.73,-51071079.0,45.05,25.42,35.48
