Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,100.0,,,
2020-01-02,,,,,,,,,,500.0,,,
2020-01-03,,,,,,,,,,300.0,,,
2020-01-06,,,,,,,,,,600.0,,,
2020-01-07,340023.4,340023.4,,,,,,,,300.0,,,
2020-01-08,339943.0,339744.93,,,,43.81,,,,500.0,,,
2020-01-09,340143.4,340917.62,,,,73.05,,,,800.0,,,
2020-01-10,340349.4,340673.41,,,,48.98,,,,700.0,,,
2020-01-13,340878.4,341400.61,,,,62.41,,,,900.0,,,
2020-01-14,341239.4,341169.07,,,,49.34,,,,700.0,,,
2020-01-15,341911.8,341629.38,,,,58.63,,,,800.0,,,
2020-01-16,342160.2,342587.92,,,,66.72,,,,1000.0,,,
2020-01-17,343117.2,343381.95,,,,68.55,,,,1200.0,,,
2020-01-21,343076.2,343137.97,,,,51.06,,,,900.0,,,
2020-01-22,343875.0,343658.64,,,,61.82,,,,1100.0,,23.78,15.0
2020-01-23,344247.8,343910.43,,,,59.54,,,,900.0,,20.92,18.38
2020-01-24,343386.6,342673.29,,,,35.43,,,,600.0,,17.54,21.56
2020-01-27,341116.8,339655.86,,,,19.8,,,,100.0,,13.81,35.5
2020-01-28,339786.8,338437.24,,,,33.14,,,,300.0,,18.65,31.63
2020-01-29,338142.0,337783.49,,,,35.81,346870.31,334769.59,340819.95,400.0,,20.53,28.99
2020-01-30,337659.2,339188.99,,,,59.35,346984.02,334896.88,340940.45,600.0,,22.8,24.11
2020-01-31,336818.6,338124.66,,,,39.61,347004.73,334249.67,340627.2,300.0,,19.61,20.73
2020-02-03,337066.4,337036.44,,,,36.72,347246.71,333578.19,340412.45,100.0,,17.71,19.8
2020-02-04,337350.6,337164.63,,,,47.51,347230.79,333315.21,340273.0,300.0,,17.49,17.74
2020-02-05,338578.4,338981.42,,,,63.35,347458.23,333459.17,340458.7,600.0,,20.55,15.94
2020-02-06,338994.6,340681.28,-640.28,,,66.88,347848.65,333558.05,340703.35,800.0,,23.6,15.22
2020-02-07,339975.4,340754.19,-511.01,,,53.04,347634.8,333535.6,340585.2,600.0,,21.92,19.32
2020-02-10,341075.6,340623.12,-446.9,,,50.81,347642.02,333545.98,340594.0,400.0,11.8,20.62,22.7
2020-02-11,341747.4,340675.42,-358.16,,,52.74,347462.77,333517.73,340490.25,600.0,10.68,22.34,21.8
2020-02-12,341424.4,340783.61,-267.0,,,53.92,347480.46,333529.44,340504.95,800.0,10.08,22.71,20.58
2020-02-13,340308.2,340022.41,-391.96,,,39.76,347263.86,333341.04,340302.45,500.0,9.51,21.51,23.44
2020-02-14,340173.0,340089.6,-347.88,,,50.88,346777.72,333399.08,340088.4,600.0,9.03,20.52,22.49
2020-02-18,340049.8,339974.74,-347.58,,,47.81,346130.45,333523.85,339827.15,400.0,8.81,19.2,21.98
2020-02-19,340693.8,341316.49,-3.96,-368.3,364.34,68.74,346344.62,333444.68,339894.65,700.0,8.96,24.47,19.84
2020-02-20,340918.2,341584.99,115.49,-271.54,387.04,56.29,345922.83,333608.67,339765.75,400.0,9.18,23.05,18.33
2020-02-21,341908.0,342206.33,313.62,-154.51,468.13,62.31,345741.81,333693.19,339717.5,600.0,9.19,21.0,17.44
