Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1952500.0,,,
2020-01-02,,,,,,,,,,5264400.0,,,
2020-01-03,,,,,,,,,,2163800.0,,,
2020-01-06,,,,,,,,,,-385800.0,,,
2020-01-07,148.27,148.27,,,,,,,,-3227700.0,,,
2020-01-08,148.27,148.08,,,,47.73,,,,-1074500.0,,,
2020-01-09,147.63,147.82,,,,43.81,,,,-3347000.0,,,
2020-01-10,147.17,147.26,,,,33.01,,,,-5740700.0,,,
2020-01-13,146.86,147.11,,,,43.24,,,,-2385500.0,,,
2020-01-14,146.92,146.97,,,,41.63,,,,-5127700.0,,,
2020-01-15,146.5,146.5,,,,30.39,,,,-7768200.0,,,
2020-01-16,146.61,146.96,,,,59.03,,,,-4697300.0,,,
2020-01-17,146.94,147.23,,,,57.86,,,,-8028800.0,,,
2020-01-21,146.75,146.77,,,,37.85,,,,-10505500.0,,,
2020-01-22,145.94,145.39,,,,21.99,,,,-14107900.0,,17.05,32.4
2020-01-23,145.38,144.51,,,,23.48,,,,-10925200.0,,14.42,39.7
2020-01-24,143.88,143.13,,,,15.95,,,,-13451400.0,,12.33,36.18
2020-01-27,141.47,140.67,,,,8.92,,,,-16371900.0,,10.14,43.36
2020-01-28,139.65,139.36,,,,18.65,,,,-13608100.0,,9.4,40.21
2020-01-29,138.28,138.16,,,,16.55,153.46,136.25,144.85,-16228100.0,,9.27,37.13
2020-01-30,136.8,137.23,,,,15.61,153.67,134.81,144.24,-20090700.0,,8.27,42.84
2020-01-31,134.99,135.27,,,,9.21,153.79,132.76,143.28,-26876400.0,,6.99,43.8
2020-02-03,133.8,133.44,,,,7.67,154.1,130.59,142.35,-31261700.0,,6.17,42.43
2020-02-04,133.16,133.46,,,,38.28,153.62,129.58,141.6,-27760100.0,,9.86,36.45
2020-02-05,133.49,134.79,,,,57.01,153.1,129.22,141.16,-23312000.0,,16.08,32.54
2020-02-06,133.86,135.61,-5.22,,,55.98,152.3,128.97,140.64,-25595800.0,,17.47,30.58
2020-02-07,134.27,134.86,-5.14,,,38.35,151.59,128.29,139.94,-29408100.0,,15.52,35.38
2020-02-10,135.18,134.68,-4.94,,,43.77,150.88,127.82,139.35,-27076500.0,50.33,14.87,34.49
2020-02-11,135.71,135.18,-4.57,,,53.77,149.89,127.74,138.82,-24694600.0,47.03,21.5,31.8
2020-02-12,136.14,136.65,-3.97,,,67.08,148.95,127.98,138.46,-21472600.0,42.6,26.46,28.69
2020-02-13,136.64,137.68,-3.44,,,67.52,148.16,128.18,138.17,-18153800.0,38.47,26.5,27.11
