Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1591300.0,,,
2020-01-02,,,,,,,,,,-204200.0,,,
2020-01-03,,,,,,,,,,1050300.0,,,
2020-01-06,,,,,,,,,,-580800.0,,,
2020-01-07,141.28,141.28,,,,,,,,-2248000.0,,,
2020-01-08,140.74,140.67,,,,25.43,,,,396600.0,,,
2020-01-09,140.46,140.53,,,,40.8,,,,1931000.0,,,
2020-01-10,140.45,141.15,,,,65.02,,,,4691400.0,,,
2020-01-13,140.85,141.87,,,,71.13,,,,6434600.0,,,
2020-01-14,141.47,141.89,,,,53.53,,,,4767500.0,,,
2020-01-15,142.39,142.61,,,,68.7,,,,6199100.0,,,
2020-01-16,143.38,143.49,,,,74.54,,,,7704600.0,,,
2020-01-17,143.95,144.07,,,,74.64,,,,9774600.0,,,
2020-01-21,144.94,145.45,,,,85.33,,,,11425100.0,,,
2020-01-22,146.29,146.53,,,,86.48,,,,13345200.0,,41.59,16.48
2020-01-23,147.43,147.61,,,,88.95,,,,14592000.0,,42.07,14.58
2020-01-24,148.37,148.38,,,,89.22,,,,15460100.0,,41.5,13.48
2020-01-27,149.38,149.02,,,,90.22,,,,16824000.0,,37.65,15.64
2020-01-28,150.08,149.92,,,,93.08,,,,18363100.0,,40.6,14.06
2020-01-29,150.15,149.63,,,,55.21,152.67,136.92,144.8,16843700.0,,34.93,15.84
2020-01-30,150.42,150.13,,,,67.89,153.48,137.01,145.25,17812000.0,,30.89,15.44
2020-01-31,150.41,150.03,,,,55.67,153.95,137.36,145.65,16518100.0,,29.26,13.5
2020-02-03,150.19,149.75,,,,50.0,154.29,137.69,145.99,15293100.0,,26.9,12.41
2020-02-04,149.93,149.99,,,,59.9,154.67,138.23,146.45,16557800.0,,27.41,10.99
2020-02-05,150.11,149.98,,,,54.64,154.57,139.44,147.0,15299900.0,,25.85,10.37
2020-02-06,149.99,150.15,3.17,,,59.53,154.42,140.7,147.56,16305000.0,,25.79,9.63
2020-02-07,150.12,150.26,3.04,,,59.38,154.16,141.98,148.07,15185700.0,,25.12,9.38
2020-02-10,150.86,151.15,3.09,,,76.87,154.45,142.74,148.6,16769300.0,43.98,30.35,8.44
2020-02-11,152.98,154.44,3.75,,,91.73,156.99,141.97,149.48,20257500.0,47.8,51.91,5.8
2020-02-12,155.63,157.37,4.39,,,93.2,159.39,141.7,150.55,22227400.0,51.1,45.23,5.05
2020-02-13,158.31,159.55,4.9,,,93.66,161.62,141.46,151.54,23430200.0,54.06,45.02,4.78
2020-02-14,161.41,161.69,5.41,,,94.9,164.02,141.13,152.58,24854800.0,56.87,48.03,4.45
2020-02-18,164.07,163.2,5.77,,,95.04,166.0,141.25,153.62,26130100.0,59.35,46.09,4.27
2020-02-19,164.98,164.0,5.93,4.38,1.55,87.32,167.64,141.35,154.49,24918600.0,61.59,44.67,3.98
2020-02-20,165.74,165.0,6.1,4.73,1.38,89.7,169.34,141.48,155.41,27098900.0,63.69,44.55,3.68
2020-02-21,166.57,166.02,6.25,5.03,1.22,91.28,171.03,141.61,156.32,30104900.0,65.63,43.24,3.38
2020-02-24,166.64,166.13,6.17,5.26,0.91,69.99,172.16,142.13,157.15,28012500.0,65.11,37.42,9.42
2020-02-25,166.01,165.09,5.76,5.36,0.4,44.5,172.66,142.9,157.78,25974000.0,63.8,32.28,10.81
2020-02-26,165.42,164.29,5.35,5.36,-0.01,42.59,173.08,143.57,158.33,23680300.0,62.54,29.98,10.29
2020-02-27,161.71,159.0,3.83,5.05,-1.22,12.79,173.14,143.46,158.3,17858100.0,59.53,21.06,36.29
2020-02-28,156.75,153.76,2.18,4.48,-2.29,9.74,173.85,141.96,157.91,11654000.0,57.91,18.21,42.46
2020-03-02,154.73,154.59,1.9,3.96,-2.06,48.56,173.77,142.68,158.23,15731800.0,54.03,27.53,33.93
2020-03-03,153.75,155.77,1.81,3.53,-1.72,52.3,173.65,143.69,158.67,19980300.0,50.05,33.55,30.53
2020-03-04,153.92,158.37,2.15,3.26,-1.1,62.19,173.95,144.7,159.33,22365000.0,46.73,33.1,27.84
2020-03-05,156.69,159.66,2.29,3.06,-0.77,58.5,173.96,145.92,159.94,19851100.0,43.7,31.15,26.2
2020-03-06,160.2,160.04,2.26,2.9,-0.64,54.19,173.79,147.12,160.46,16741700.0,40.68,27.85,31.0
2020-03-09,159.01,156.79,1.37,2.6,-1.23,32.17,173.81,147.08,160.45,13450400.0,38.9,23.56,33.81
2020-03-10,159.25,157.64,1.38,2.35,-0.97,52.8,173.7,147.84,160.77,16394800.0,36.43,25.52,29.42
2020-03-11,157.31,156.38,0.93,2.07,-1.14,42.91,173.68,147.14,160.41,13107700.0,34.16,23.1,26.64
2020-03-12,153.36,151.76,-0.33,1.59,-1.92,28.94,174.69,144.06,159.37,9253600.0,34.38,18.23,39.56
2020-03-13,152.22,152.87,-0.32,1.21,-1.52,51.04,174.2,143.66,158.93,13022600.0,33.27,22.67,33.92
2020-03-16,149.32,147.18,-1.84,0.6,-2.44,31.99,175.34,139.51,157.43,9188700.0,33.01,18.91,35.03
2020-03-17,146.83,147.08,-2.13,0.05,-2.18,46.35,174.46,138.45,156.46,13630000.0,31.9,20.92,30.32
2020-03-18,143.72,144.16,-3.01,-0.56,-2.45,38.48,174.22,135.97,155.09,9273000.0,31.52,18.25,31.6
2020-03-19,141.37,139.69,-4.27,-1.3,-2.97,32.41,174.33,132.24,153.28,4724800.0,31.47,16.8,31.86
2020-03-20,135.96,135.81,-5.43,-2.13,-3.3,30.28,173.88,128.69,151.28,-621300.0,31.57,15.5,30.56
2020-03-23,132.19,129.53,-7.16,-3.13,-4.02,22.64,174.81,122.81,148.81,-4650600.0,32.36,14.09,34.73
2020-03-24,127.56,127.59,-7.89,-4.08,-3.81,35.08,174.16,119.53,146.85,-253500.0,33.2,13.08,33.28
2020-03-25,125.49,127.72,-8.04,-4.88,-3.16,42.39,172.59,117.63,145.11,2868200.0,32.41,19.12,30.25
2020-03-26,127.84,132.63,-6.9,-5.28,-1.62,61.1,172.28,117.35,144.81,6960600.0,30.63,22.91,27.1
2020-03-27,129.6,134.05,-6.38,-5.5,-0.88,52.85,172.17,116.82,144.49,3740600.0,28.99,21.78,25.76
2020-03-30,135.82,138.72,-5.01,-5.4,0.39,64.75,171.29,116.88,144.09,6675200.0,27.0,24.66,23.73
2020-03-31,139.96,140.61,-4.17,-5.16,0.99,58.69,169.83,116.96,143.4,3596800.0,25.16,23.59,22.71
2020-04-01,141.88,139.61,-4.0,-4.92,0.92,48.18,166.95,117.25,142.1,1077800.0,24.03,21.87,26.55
2020-04-02,142.66,141.86,-3.13,-4.57,1.44,59.78,164.49,118.12,141.31,4317800.0,22.31,24.86,24.56
2020-04-03,144.41,143.11,-2.47,-4.15,1.68,58.39,162.06,119.03,140.55,2200200.0,20.79,24.39,23.7
2020-04-06,144.55,144.99,-1.67,-3.65,1.98,62.9,161.85,119.09,140.47,5475900.0,19.65,25.26,22.78
2020-04-07,144.97,145.51,-1.21,-3.16,1.95,57.4,159.62,120.04,139.83,2830300.0,19.07,27.06,21.39
2020-04-08,148.93,149.46,0.03,-2.52,2.56,72.25,160.35,119.67,140.01,4984100.0,18.89,27.39,19.58
2020-04-09,152.48,154.35,1.55,-1.71,3.26,78.2,163.98,118.19,141.09,9333500.0,19.35,30.91,18.49
2020-04-13,154.77,155.25,2.15,-0.94,3.09,61.08,164.34,118.03,141.18,7608000.0,19.55,29.08,18.54
2020-04-14,158.17,158.76,3.29,-0.09,3.39,70.89,168.03,117.34,142.68,10068700.0,19.95,28.9,17.29
2020-04-15,161.36,159.99,3.89,0.7,3.18,63.3,170.19,116.73,143.46,7370800.0,20.37,28.12,16.63
2020-04-16,162.25,160.6,4.26,1.41,2.84,61.67,172.4,116.87,144.64,5332200.0,20.66,27.18,16.51
2020-04-17,162.83,162.75,4.91,2.11,2.8,69.52,175.08,117.82,146.45,7391100.0,21.23,28.15,15.67
2020-04-20,163.9,162.64,5.01,2.69,2.31,56.71,176.3,120.04,148.17,5507600.0,21.5,27.01,16.23
2020-04-21,162.68,161.65,4.8,3.11,1.69,49.89,174.9,125.71,150.3,3404100.0,20.99,25.98,19.42
2020-04-22,162.82,162.16,4.86,3.46,1.4,57.94,174.21,130.35,152.28,5053500.0,21.03,28.6,18.44
2020-04-23,162.57,161.62,4.65,3.7,0.95,50.37,173.03,134.78,153.91,3516300.0,20.75,27.5,19.46
2020-04-24,161.48,161.62,4.51,3.86,0.65,53.45,173.51,136.21,154.86,4991300.0,20.27,26.49,19.93
2020-04-27,161.76,162.34,4.53,4.0,0.53,59.87,173.3,139.12,156.21,6617800.0,20.16,28.18,19.29
2020-04-28,162.08,161.98,4.29,4.05,0.23,49.89,173.66,140.08,156.87,4557900.0,20.23,28.03,18.27
2020-04-29,160.53,159.8,3.59,3.96,-0.38,33.77,173.24,141.61,157.42,1277900.0,19.2,25.6,22.76
2020-04-30,160.31,159.68,3.31,3.83,-0.52,48.13,171.45,145.57,158.51,4947400.0,18.1,23.2,25.12
2020-05-01,159.27,158.59,2.82,3.63,-0.81,39.94,170.76,147.27,159.02,3394200.0,17.09,22.16,23.99
2020-05-04,158.05,158.3,2.51,3.4,-0.9,45.05,169.66,149.58,159.62,5198000.0,16.58,20.87,25.53
2020-05-05,157.54,158.43,2.31,3.19,-0.88,48.96,168.86,151.38,160.12,6372900.0,15.71,22.68,24.8
2020-05-06,157.45,157.28,1.83,2.92,-1.08,36.39,167.18,153.9,160.54,4791300.0,15.3,21.42,26.12
