Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,13881700.0,,,
2020-01-02,,,,,,,,,,34052200.0,,,
2020-01-03,,,,,,,,,,13555800.0,,,
2020-01-06,,,,,,,,,,-4072400.0,,,
2020-01-07,44.99,44.99,,,,,,,,20491300.0,,,
2020-01-08,45.07,45.12,,,,67.42,,,,38588700.0,,,
2020-01-09,45.1,45.25,,,,70.95,,,,52784100.0,,,
2020-01-10,45.1,45.16,,,,44.39,,,,36887900.0,,,
2020-01-13,45.32,45.37,,,,67.74,,,,58677200.0,,,
2020-01-14,45.54,45.59,,,,71.88,,,,75389100.0,,,
2020-01-15,45.72,45.82,,,,76.06,,,,90802600.0,,,
2020-01-16,45.99,46.17,,,,83.35,,,,115227000.0,,,
2020-01-17,46.5,46.61,,,,88.16,,,,142894100.0,,,
2020-01-21,46.8,46.84,,,,79.09,,,,123752500.0,,,
2020-01-22,47.08,47.04,,,,80.82,,,,142004100.0,,37.44,12.6
2020-01-23,46.95,46.58,,,,34.83,,,,104251100.0,,27.84,32.75
2020-01-24,46.5,45.92,,,,24.51,,,,65021800.0,,23.09,42.57
2020-01-27,45.8,45.28,,,,20.32,,,,40973000.0,,20.59,42.64
2020-01-28,45.14,44.86,,,,21.46,,,,56848700.0,,19.15,39.67
2020-01-29,44.32,44.35,,,,16.24,47.75,43.22,45.48,34935500.0,,16.86,42.04
2020-01-30,44.02,44.28,,,,37.78,47.77,43.11,45.44,60040600.0,,14.36,40.29
2020-01-31,43.74,43.92,,,,27.53,47.86,42.8,45.33,36032300.0,,12.8,35.92
2020-02-03,43.47,43.5,,,,23.15,48.0,42.43,45.21,9648700.0,,11.58,36.01
2020-02-04,43.52,43.76,,,,52.21,48.0,42.39,45.19,37791900.0,,17.1,30.37
2020-02-05,43.77,44.04,,,,56.17,47.99,42.36,45.18,58124000.0,,21.08,28.17
2020-02-06,43.86,44.22,-0.71,,,56.32,47.96,42.31,45.14,73346400.0,,19.7,27.94
2020-02-07,44.17,44.4,-0.63,,,58.72,47.92,42.28,45.1,87450600.0,,18.71,26.71
2020-02-10,44.57,44.48,-0.57,,,56.5,47.91,42.25,45.08,72434500.0,29.76,17.91,25.65
