Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,3639800.0,,,
2020-01-02,,,,,,,,,,7762600.0,,,
2020-01-03,,,,,,,,,,14095800.0,,,
2020-01-06,,,,,,,,,,22919600.0,,,
2020-01-07,65.83,65.83,,,,,,,,22919600.0,,,
2020-01-08,65.81,65.53,,,,34.14,,,,16449500.0,,,
2020-01-09,65.93,65.71,,,,58.94,,,,22454600.0,,,
2020-01-10,65.88,65.61,,,,46.38,,,,15221500.0,,,
2020-01-13,65.61,65.45,,,,41.46,,,,11546200.0,,,
2020-01-14,65.34,65.35,,,,41.72,,,,17665600.0,,,
2020-01-15,65.35,65.23,,,,38.64,,,,13732300.0,,,
2020-01-16,65.15,65.18,,,,41.35,,,,18047500.0,,,
2020-01-17,65.08,65.14,,,,41.35,,,,18047500.0,,,
2020-01-21,64.86,64.77,,,,20.43,,,,11073500.0,,,
2020-01-22,64.44,64.18,,,,12.61,,,,4317700.0,,10.81,34.86
2020-01-23,64.06,63.84,,,,17.63,,,,10517600.0,,9.05,40.5
2020-01-24,63.57,63.43,,,,13.69,,,,4828100.0,,8.16,36.5
2020-01-27,62.77,62.63,,,,7.41,,,,-2493000.0,,6.95,41.15
2020-01-28,62.2,62.15,,,,11.89,,,,2331700.0,,6.5,38.47
2020-01-29,61.69,61.6,,,,9.16,67.85,60.8,64.32,-1770800.0,,5.76,39.17
2020-01-30,61.24,61.36,,,,22.12,67.92,60.31,64.12,5160700.0,,5.14,40.18
2020-01-31,60.61,60.72,,,,13.4,68.08,59.56,63.82,-2512300.0,,4.49,38.44
2020-02-03,60.23,60.2,,,,12.35,68.11,58.87,63.49,-9527600.0,,4.02,36.29
2020-02-04,59.3,58.97,,,,6.04,68.31,57.67,62.99,-22930600.0,,3.21,43.47
2020-02-05,58.95,58.9,,,,39.15,67.98,57.23,62.61,-10038800.0,,2.77,37.52
2020-02-06,58.46,58.74,-2.83,,,36.55,67.83,56.72,62.28,-15940500.0,,3.26,35.12
2020-02-07,58.17,58.49,-2.8,,,33.4,67.44,56.31,61.88,-21022300.0,,3.11,35.53
2020-02-10,57.91,58.28,-2.76,,,32.4,67.08,55.92,61.5,-27778600.0,78.01,2.94,35.65
2020-02-11,58.35,58.43,-2.62,,,46.4,66.62,55.73,61.18,-21635600.0,76.28,7.85,33.26
2020-02-12,58.55,58.87,-2.4,,,59.51,66.07,55.75,60.91,-15728800.0,70.67,18.54,28.81
2020-02-13,58.63,58.85,-2.28,,,46.72,65.47,55.72,60.6,-21724400.0,66.61,17.35,32.16
2020-02-14,58.76,58.78,-2.17,,,44.2,64.76,55.79,60.28,-25928900.0,63.37,16.45,32.86
2020-02-18,58.84,58.62,-2.09,,,39.89,63.92,55.96,59.94,-29866700.0,60.87,15.59,33.84
2020-02-19,58.95,58.83,-1.92,-2.43,0.51,55.99,63.22,56.18,59.7,-24599300.0,57.52,19.22,31.75
2020-02-20,58.78,58.85,-1.8,-2.3,0.5,49.44,62.68,56.31,59.49,-30354300.0,54.28,19.24,29.93
2020-02-21,58.7,58.71,-1.72,-2.19,0.47,42.28,61.99,56.52,59.26,-35570600.0,52.05,17.97,32.77
