Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1550700.0,,,
2020-01-02,,,,,,,,,,-552900.0,,,
2020-01-03,,,,,,,,,,1373100.0,,,
2020-01-06,,,,,,,,,,4028200.0,,,
2020-01-07,292.06,292.06,,,,,,,,2064800.0,,,
2020-01-08,292.21,292.94,,,,72.05,,,,4557600.0,,,
2020-01-09,293.8,295.1,,,,87.36,,,,7818800.0,,,
2020-01-10,294.9,295.81,,,,66.4,,,,5794600.0,,,
2020-01-13,296.51,297.16,,,,75.33,,,,7573200.0,,,
2020-01-14,298.19,298.03,,,,74.2,,,,6113300.0,,,
2020-01-15,299.42,298.96,,,,77.88,,,,7717300.0,,,
2020-01-16,300.14,300.32,,,,83.84,,,,9475900.0,,,
2020-01-17,301.63,301.77,,,,87.08,,,,11982400.0,,,
2020-01-21,304.31,305.6,,,,94.4,,,,15568300.0,,,
2020-01-22,306.74,307.7,,,,84.81,,,,13349400.0,,46.95,6.77
2020-01-23,309.15,309.42,,,,86.09,,,,14885300.0,,43.53,6.28
2020-01-24,310.64,309.79,,,,68.79,,,,12899200.0,,37.78,9.6
2020-01-27,311.6,309.67,,,,61.85,,,,10634100.0,,32.35,16.33
2020-01-28,311.12,310.07,,,,67.3,,,,12205800.0,,30.34,15.32
2020-01-29,310.65,309.9,,,,57.92,317.45,286.37,301.91,10492100.0,,29.09,14.37
2020-01-30,309.97,309.76,,,,57.06,318.1,287.27,302.69,9259500.0,,27.01,19.87
2020-01-31,308.97,308.35,,,,34.22,317.96,288.82,303.39,7422500.0,,23.97,22.47
2020-02-03,307.48,306.23,,,,23.66,317.48,290.33,303.9,4605700.0,,20.48,25.3
2020-02-04,306.29,305.79,,,,42.06,316.95,292.17,304.56,6588000.0,,18.81,23.23
2020-02-05,306.17,306.84,,,,59.22,316.37,294.51,305.44,8319800.0,,24.5,21.02
2020-02-06,306.4,308.1,3.99,,,64.59,316.19,296.28,306.23,10237700.0,,27.06,19.33
2020-02-07,308.02,309.94,4.22,,,72.76,316.88,297.01,306.94,12141200.0,,28.44,17.54
2020-02-10,310.38,311.22,4.36,,,73.17,317.08,298.47,307.77,14477500.0,26.43,32.12,16.07
2020-02-11,311.53,311.04,4.18,,,53.59,316.95,299.67,308.31,12430000.0,25.96,29.66,18.95
2020-02-12,312.77,312.4,4.34,,,68.59,317.26,300.9,309.08,13814600.0,25.9,28.96,17.23
2020-02-13,314.28,314.33,4.66,,,75.46,318.12,301.78,309.95,15252600.0,26.8,32.25,15.57
2020-02-14,315.22,315.66,4.87,,,75.7,319.01,302.41,310.71,16366000.0,27.84,32.43,14.73
2020-02-18,316.87,317.79,5.28,,,82.78,320.76,302.4,311.58,17913100.0,29.56,36.07,13.34
2020-02-19,319.34,319.53,5.61,4.61,1.0,84.27,322.51,301.63,312.07,19326700.0,31.28,36.15,12.64
2020-02-20,321.13,321.05,5.9,4.87,1.03,85.93,324.35,301.01,312.68,20754200.0,32.42,33.42,13.03
2020-02-21,321.88,321.35,5.88,5.07,0.81,67.93,325.49,300.78,313.13,18515200.0,33.48,31.16,12.01
2020-02-24,320.94,318.77,5.14,5.08,0.05,33.56,325.59,300.99,313.29,16214800.0,31.11,26.58,23.4
2020-02-25,317.51,314.14,3.8,4.83,-1.03,20.17,325.8,300.32,313.06,13333000.0,30.13,21.75,32.38
2020-02-26,314.04,311.32,2.77,4.42,-1.64,23.73,325.91,299.69,312.8,15569000.0,29.24,19.66,29.26
2020-02-27,307.85,305.26,0.93,3.72,-2.79,12.79,327.62,296.34,311.98,11943700.0,30.26,16.4,39.66
2020-02-28,299.69,297.22,-1.47,2.68,-4.15,8.25,331.19,289.94,310.56,4851900.0,32.89,12.55,53.7
2020-03-02,298.79,301.19,-1.11,1.92,-3.03,54.94,331.25,290.24,310.74,12415700.0,31.58,28.78,40.42
2020-03-03,298.37,301.71,-1.32,1.27,-2.6,47.95,331.23,290.33,310.78,7284300.0,29.83,29.51,35.98
2020-03-04,301.38,308.05,-0.04,1.01,-1.05,64.02,332.27,290.87,311.57,11503600.0,27.48,30.61,30.91
2020-03-05,305.9,310.62,0.57,0.92,-0.35,57.85,332.65,291.17,311.91,5095900.0,25.62,30.67,28.25
2020-03-06,311.94,310.86,0.69,0.88,-0.19,52.26,332.68,291.21,311.95,-1089600.0,24.32,27.36,32.84
2020-03-09,310.51,307.9,0.03,0.71,-0.68,41.62,332.53,290.2,311.37,-6292700.0,23.93,23.91,35.41
2020-03-10,311.84,308.4,0.1,0.59,-0.48,51.42,332.3,290.0,311.15,-2047200.0,23.58,21.47,31.8
2020-03-11,307.18,304.74,-0.8,0.31,-1.11,38.41,332.47,288.5,310.49,-5669900.0,23.28,19.36,28.82
2020-03-12,300.0,296.45,-2.89,-0.33,-2.56,26.23,334.3,283.15,308.72,-12977500.0,24.26,16.89,35.97
2020-03-13,298.19,298.39,-2.71,-0.81,-1.91,51.0,333.26,282.59,307.92,-6877400.0,24.27,18.8,30.92
2020-03-16,294.43,293.32,-4.07,-1.46,-2.61,37.57,333.2,279.14,306.17,-12342900.0,24.28,16.52,27.18
2020-03-17,293.94,297.88,-3.18,-1.8,-1.38,55.74,331.45,279.38,305.42,-5172300.0,23.43,18.38,23.89
2020-03-18,295.96,301.08,-2.41,-1.92,-0.49,56.08,329.43,279.85,304.64,1529500.0,21.72,21.66,21.35
2020-03-19,301.03,302.46,-1.96,-1.93,-0.03,53.76,326.83,280.56,303.7,-3900000.0,20.14,20.46,20.17
2020-03-20,298.66,298.45,-2.77,-2.1,-0.67,40.24,324.35,279.89,302.12,-10481200.0,19.86,18.41,25.6
2020-03-23,299.13,294.14,-3.76,-2.43,-1.33,36.45,323.4,278.03,300.72,-16127600.0,20.17,16.91,27.57
2020-03-24,294.72,291.07,-4.54,-2.85,-1.68,35.94,323.32,276.12,299.72,-23251800.0,20.27,16.54,25.68
2020-03-25,289.39,287.67,-5.42,-3.36,-2.06,32.06,323.27,273.68,298.48,-28891400.0,20.62,15.63,26.0
2020-03-26,286.81,289.21,-5.14,-3.72,-1.42,50.71,323.27,273.6,298.44,-23428300.0,20.6,16.11,24.37
2020-03-27,285.59,287.59,-5.5,-4.08,-1.42,40.93,323.02,274.17,298.6,-27678700.0,20.59,15.3,23.14
2020-03-30,286.71,288.76,-5.17,-4.29,-0.88,50.99,321.83,273.56,297.69,-23282700.0,20.57,14.72,22.26
2020-03-31,286.75,287.55,-5.34,-4.5,-0.83,42.93,321.43,272.2,296.81,-28901300.0,20.72,14.13,22.35
2020-04-01,287.93,287.29,-5.27,-4.66,-0.62,45.87,317.47,272.76,295.12,-25155500.0,21.12,13.52,23.08
2020-04-02,287.77,288.69,-4.79,-4.68,-0.1,54.28,314.18,273.62,293.9,-21654900.0,20.93,14.99,21.8
2020-04-03,288.63,288.68,-4.58,-4.66,0.08,48.6,311.5,274.04,292.77,-24305000.0,20.75,14.42,20.98
2020-04-06,291.43,294.16,-3.05,-4.34,1.29,70.82,312.01,273.84,292.92,-19032500.0,19.51,20.46,18.98
2020-04-07,295.13,297.32,-1.94,-3.86,1.92,67.52,310.88,274.4,292.64,-23069000.0,18.82,22.28,18.23
2020-04-08,298.97,300.2,-0.85,-3.26,2.4,70.24,312.11,274.01,293.06,-19104600.0,18.06,21.59,18.23
2020-04-09,300.68,300.14,-0.47,-2.7,2.23,55.45,312.34,275.81,294.07,-25592200.0,16.8,20.46,20.2
2020-04-13,302.87,299.96,-0.2,-2.2,2.0,54.51,312.0,275.88,293.94,-28712600.0,15.63,19.64,19.39
2020-04-14,304.67,304.69,1.18,-1.52,2.7,74.56,314.85,276.12,295.49,-24424300.0,15.7,24.54,17.55
2020-04-15,306.0,306.55,1.93,-0.83,2.76,65.01,315.46,275.85,295.65,-27361600.0,15.76,23.38,16.73
2020-04-16,309.12,311.55,3.4,0.01,3.39,76.15,318.63,274.07,296.35,-23421600.0,16.62,27.2,15.41
2020-04-17,312.7,313.68,4.22,0.86,3.37,67.49,320.91,273.07,296.99,-27109600.0,17.42,25.76,14.6
2020-04-20,315.19,313.14,4.35,1.56,2.8,54.96,322.66,273.49,298.07,-30265900.0,17.78,24.59,15.59
2020-04-21,312.63,309.21,3.55,1.95,1.6,38.51,322.79,274.94,298.86,-34098900.0,16.53,22.52,22.31
2020-04-22,312.46,309.28,3.52,2.27,1.26,52.02,323.54,276.63,300.09,-31128300.0,15.37,21.06,20.86
2020-04-23,309.23,307.98,3.14,2.44,0.7,45.77,323.12,279.5,301.31,-33753500.0,14.3,20.35,20.16
2020-04-24,307.76,308.84,3.22,2.6,0.62,54.52,323.98,280.47,302.23,-31734100.0,13.46,20.41,19.38
2020-04-27,307.1,308.82,3.1,2.7,0.4,50.99,323.74,283.16,303.45,-34021400.0,13.0,21.37,18.56
2020-04-28,307.82,307.53,2.67,2.69,-0.02,43.38,323.63,284.65,304.14,-36447300.0,12.09,20.25,20.08
2020-04-29,307.35,307.38,2.47,2.65,-0.18,48.72,322.69,287.79,305.24,-32779600.0,11.62,19.08,21.33
2020-04-30,306.87,305.92,1.96,2.51,-0.55,39.76,321.37,290.73,306.05,-36573900.0,11.19,18.28,20.44
2020-05-01,305.15,304.59,1.45,2.3,-0.85,37.49,320.52,292.62,306.57,-39099300.0,11.12,17.58,21.61
2020-05-04,304.29,304.56,1.24,2.09,-0.85,46.58,318.71,296.01,307.36,-36621800.0,10.94,17.37,20.62
2020-05-05,304.88,305.68,1.34,1.94,-0.6,57.01,318.81,296.2,307.5,-34160900.0,10.26,20.08,19.5
2020-05-06,305.24,306.75,1.47,1.84,-0.37,59.79,318.94,296.59,307.77,-31754200.0,9.83,20.38,18.73
2020-05-07,305.64,306.17,1.25,1.73,-0.47,45.17,318.93,296.5,307.72,-34356000.0,9.17,19.39,19.64
2020-05-08,306.45,306.09,1.14,1.61,-0.47,48.94,318.7,297.33,308.01,-32018600.0,8.7,18.75,19.78
2020-05-11,307.62,307.5,1.39,1.56,-0.17,63.57,318.55,298.55,308.55,-30152700.0,8.69,21.95,18.5
2020-05-12,307.0,306.62,1.13,1.48,-0.35,43.9,317.86,298.3,308.08,-32417600.0,8.64,20.53,17.5
2020-05-13,305.65,305.12,0.7,1.32,-0.62,36.89,317.73,297.62,307.68,-35372500.0,8.32,19.29,20.96
2020-05-14,304.6,303.33,0.16,1.09,-0.93,31.33,314.98,298.2,306.59,-39091400.0,8.88,17.74,24.63
2020-05-15,303.25,301.96,-0.3,0.81,-1.11,30.08,312.87,298.43,305.65,-43668600.0,9.41,17.05,23.66
2020-05-18,301.74,302.22,-0.38,0.57,-0.95,47.6,311.86,298.51,305.19,-39681300.0,9.23,19.79,22.7
2020-05-19,301.7,303.03,-0.28,0.4,-0.69,55.03,311.8,298.9,305.35,-36158300.0,9.08,24.53,21.23
2020-05-20,302.25,303.65,-0.19,0.29,-0.47,56.19,311.3,298.95,305.12,-33331300.0,8.95,23.31,20.17
2020-05-21,302.7,303.09,-0.34,0.16,-0.5,41.96,311.28,298.63,304.95,-35823400.0,8.45,22.35,21.46
2020-05-22,303.34,302.87,-0.42,0.04,-0.47,44.7,310.41,298.69,304.55,-33457000.0,7.91,21.56,21.18
2020-05-26,303.75,303.51,-0.29,-0.02,-0.27,57.59,309.88,298.82,304.35,-30222400.0,7.96,23.87,20.09
2020-05-27,304.02,304.35,-0.09,-0.04,-0.05,63.08,309.97,298.83,304.4,-27242200.0,7.58,21.99,23.17
2020-05-28,304.95,306.08,0.35,0.04,0.31,74.97,310.43,298.62,304.52,-22940300.0,7.68,26.18,21.83
2020-05-29,306.25,306.88,0.61,0.15,0.45,66.72,310.9,298.7,304.8,-27912100.0,7.31,24.01,25.25
2020-06-01,307.43,307.35,0.79,0.28,0.51,65.24,311.25,298.98,305.12,-30205800.0,6.82,24.09,24.26
2020-06-02,307.88,307.26,0.82,0.39,0.43,55.06,311.43,299.06,305.25,-32734700.0,6.67,22.83,25.11
2020-06-03,308.01,307.06,0.8,0.47,0.33,51.3,311.28,299.09,305.18,-34900600.0,6.53,22.17,24.38
2020-06-04,308.25,308.29,1.11,0.6,0.51,72.62,311.65,298.9,305.28,-30346700.0,7.03,28.55,21.79
2020-06-05,308.96,309.54,1.44,0.77,0.67,76.63,312.64,298.61,305.63,-25971100.0,7.12,26.35,22.29
2020-06-08,308.74,308.76,1.29,0.87,0.42,45.38,312.74,298.64,305.69,-29735600.0,7.04,24.56,21.79
2020-06-09,308.43,307.69,1.03,0.9,0.13,38.7,312.17,298.73,305.45,-32891400.0,6.69,23.5,22.47
2020-06-10,308.57,307.57,0.96,0.92,0.05,48.9,312.34,298.81,305.58,-30177700.0,6.38,22.6,21.57
2020-06-11,306.59,305.32,0.37,0.81,-0.43,27.8,312.43,298.59,305.51,-33620700.0,6.76,20.18,25.53
2020-06-12,303.92,303.11,-0.26,0.59,-0.85,23.62,312.56,298.35,305.46,-37640700.0,7.84,18.02,28.07
2020-06-15,301.92,301.14,-0.87,0.3,-1.17,20.83,312.86,297.85,305.36,-40907500.0,9.19,16.96,29.34
2020-06-16,301.08,301.21,-1.01,0.04,-1.05,43.7,312.91,297.66,305.29,-38273700.0,9.38,21.51,27.35
2020-06-17,299.54,300.68,-1.25,-0.22,-1.03,37.96,313.05,297.02,305.04,-40462100.0,9.62,20.67,26.68
2020-06-18,299.28,300.31,-1.42,-0.46,-0.96,37.82,313.13,296.41,304.77,-42343900.0,10.03,19.85,27.08
2020-06-19,299.52,300.17,-1.52,-0.67,-0.85,40.13,313.21,296.12,304.66,-38905900.0,10.16,20.45,25.89
2020-06-22,300.18,300.26,-1.53,-0.84,-0.69,44.42,313.26,295.87,304.57,-36811500.0,10.35,19.53,25.27
2020-06-23,300.16,300.61,-1.45,-0.97,-0.49,51.12,313.2,295.58,304.39,-34401900.0,9.7,23.1,23.7
2020-06-24,299.85,299.74,-1.64,-1.1,-0.54,32.22,313.19,294.8,303.99,-36800000.0,9.92,21.58,27.95
2020-06-25,300.04,300.01,-1.57,-1.19,-0.37,49.97,312.48,294.6,303.54,-34525700.0,10.35,19.85,27.38
2020-06-26,299.37,298.86,-1.81,-1.32,-0.49,32.93,312.08,293.81,302.94,-37391700.0,10.51,19.5,25.06
2020-06-29,299.6,299.77,-1.58,-1.37,-0.21,56.45,311.42,293.8,302.61,-35550000.0,10.65,18.14,23.31
2020-06-30,299.98,300.92,-1.25,-1.34,0.1,61.84,310.99,293.84,302.41,-33158300.0,10.0,21.16,21.86
2020-07-01,301.33,302.19,-0.85,-1.25,0.39,66.73,310.75,293.9,302.32,-31252200.0,9.41,21.08,20.38
2020-07-02,302.37,303.38,-0.45,-1.09,0.63,69.84,309.74,294.4,302.07,-28711700.0,9.61,24.51,19.14
2020-07-06,305.36,306.08,0.32,-0.8,1.13,82.02,309.57,294.51,302.04,-26379300.0,10.33,26.2,17.59
2020-07-07,308.28,309.46,1.31,-0.38,1.69,87.31,312.03,292.96,302.49,-23032700.0,12.05,31.96,15.63
2020-07-08,310.91,311.75,2.07,0.11,1.96,87.4,314.26,291.81,303.03,-20668200.0,13.64,30.2,14.77
2020-07-09,315.06,316.35,3.38,0.76,2.62,93.32,318.79,289.1,303.94,-15354600.0,16.35,38.99,12.46
2020-07-10,319.16,319.64,4.42,1.49,2.93,93.6,322.86,287.57,305.21,-12870500.0,18.86,36.88,11.79
2020-07-13,321.45,320.73,4.92,2.18,2.74,74.73,325.39,287.46,306.42,-15453700.0,21.36,35.53,10.68
2020-07-14,323.8,323.16,5.66,2.88,2.79,81.78,328.61,287.32,307.97,-13608900.0,23.35,32.05,10.89
2020-07-15,325.88,324.34,6.08,3.52,2.56,75.08,331.17,287.3,309.23,-15379600.0,25.27,31.4,10.39
2020-07-16,326.02,324.98,6.3,4.07,2.23,72.62,333.23,287.9,310.57,-16781600.0,26.55,29.89,11.85
2020-07-17,325.74,324.92,6.28,4.51,1.77,63.65,334.71,288.94,311.83,-18549700.0,27.74,28.64,11.36
2020-07-20,326.45,325.45,6.33,4.88,1.45,69.18,336.2,290.11,313.16,-16686400.0,28.2,26.84,13.16
2020-07-21,326.4,326.21,6.4,5.18,1.22,72.87,337.63,291.41,314.52,-14812200.0,29.22,30.42,12.3
2020-07-22,326.72,326.91,6.42,5.43,0.99,74.6,338.89,292.86,315.87,-13499600.0,29.68,28.53,13.52
2020-07-23,326.69,326.64,6.19,5.58,0.61,56.87,339.16,295.39,317.28,-15061300.0,30.22,27.57,12.61
2020-07-24,326.89,326.35,5.92,5.65,0.27,54.43,339.3,297.78,318.54,-16484700.0,30.5,26.04,12.81
2020-07-27,327.11,326.77,5.78,5.68,0.1,64.82,338.56,301.62,320.09,-14401400.0,30.8,25.01,12.13
2020-07-28,327.07,327.04,5.6,5.66,-0.06,64.52,338.04,304.74,321.39,-15775400.0,31.25,24.94,11.41
2020-07-29,326.64,326.74,5.29,5.59,-0.3,50.46,337.04,308.04,322.54,-17116700.0,31.51,23.98,11.6
2020-07-30,326.38,326.1,4.87,5.44,-0.57,40.32,335.54,311.54,323.54,-18507000.0,30.49,22.42,15.81
2020-07-31,326.33,325.91,4.55,5.26,-0.72,47.42,333.33,315.73,324.53,-16357100.0,29.55,21.16,14.93
2020-08-03,326.68,327.05,4.55,5.12,-0.57,70.7,332.12,318.72,325.42,-13876900.0,29.48,24.69,13.7
2020-08-04,329.12,331.29,5.33,5.16,0.17,88.41,334.58,318.61,326.6,-9943600.0,30.9,34.48,11.68
2020-08-05,331.89,334.19,5.89,5.31,0.59,88.56,336.31,319.25,327.78,-7019900.0,32.53,36.02,10.87
2020-08-06,335.58,337.23,6.54,5.55,0.98,91.18,339.48,317.86,328.67,-4915600.0,34.27,36.75,10.11
2020-08-07,338.66,338.45,6.77,5.8,0.98,75.61,341.38,317.43,329.4,-6674600.0,35.23,34.2,12.1
2020-08-10,340.8,338.97,6.81,6.0,0.81,69.95,342.69,317.82,330.26,-8178400.0,35.78,32.99,13.16
2020-08-11,339.32,336.79,6.16,6.03,0.13,39.33,342.9,318.06,330.48,-10244000.0,34.43,29.0,20.63
2020-08-12,338.68,336.78,5.92,6.01,-0.09,53.79,343.57,318.4,330.98,-8390100.0,33.18,26.53,18.87
2020-08-13,337.16,336.42,5.58,5.92,-0.34,50.14,344.0,318.91,331.45,-9926600.0,32.11,25.74,17.78
2020-08-14,336.23,336.37,5.3,5.8,-0.5,52.35,344.35,319.7,332.03,-8403700.0,31.13,24.62,17.01
2020-08-17,336.23,337.57,5.31,5.7,-0.39,64.77,345.22,320.19,332.7,-6899000.0,30.53,25.46,16.03
2020-08-18,337.89,338.63,5.33,5.63,-0.3,67.07,346.12,320.59,333.35,-5409600.0,30.41,26.71,14.71
2020-08-19,338.72,339.39,5.29,5.56,-0.27,67.57,346.93,321.03,333.98,-3679500.0,30.31,25.95,14.29
2020-08-20,339.75,339.88,5.19,5.49,-0.29,67.32,347.47,321.97,334.72,-5397000.0,29.81,24.82,15.47
2020-08-21,341.42,341.46,5.36,5.46,-0.1,79.48,348.41,322.91,335.66,-3024400.0,30.12,28.54,14.0
2020-08-24,342.25,342.35,5.39,5.45,-0.06,75.0,349.18,323.79,336.49,-4485900.0,30.45,27.26,13.18
2020-08-25,343.04,343.14,5.4,5.44,-0.04,76.96,349.83,324.86,337.34,-3309700.0,30.52,25.84,13.47
2020-08-26,343.72,343.51,5.31,5.41,-0.1,71.63,349.96,326.54,338.25,-5066700.0,30.59,24.6,12.82
2020-08-27,344.82,344.46,5.35,5.4,-0.05,79.9,349.79,328.86,339.33,-2846000.0,31.21,27.09,11.81
2020-08-28,345.57,345.76,5.47,5.41,0.06,85.11,349.56,331.38,340.47,-1358700.0,32.02,27.64,11.15
2020-08-31,346.27,346.4,5.45,5.42,0.03,76.37,349.43,333.34,341.39,-2945600.0,32.26,25.72,12.26
2020-09-01,347.61,348.06,5.67,5.47,0.2,85.87,351.07,332.87,341.97,-1171900.0,32.99,27.51,11.13
2020-09-02,350.53,351.66,6.38,5.65,0.72,92.98,354.55,331.27,342.91,1263000.0,34.74,36.21,9.75
2020-09-03,350.91,350.54,6.02,5.73,0.29,49.27,355.04,331.28,343.16,-2367400.0,34.54,28.28,14.61
2020-09-04,350.55,349.22,5.52,5.69,-0.16,44.94,355.36,331.52,343.44,-4924400.0,33.08,24.03,18.07
2020-09-08,348.79,345.76,4.46,5.44,-0.98,30.18,355.38,331.39,343.39,-7068700.0,31.25,21.85,18.83
2020-09-09,347.8,345.99,4.18,5.19,-1.01,50.24,355.03,333.14,344.09,-4967800.0,30.34,24.35,16.72
2020-09-10,343.94,343.83,3.36,4.82,-1.46,37.85,354.86,333.59,344.22,-6927400.0,29.14,22.07,16.81
2020-09-11,342.1,342.27,2.65,4.39,-1.74,37.18,354.58,334.22,344.4,-8527000.0,27.47,20.48,18.28
2020-09-14,341.37,342.48,2.37,3.99,-1.62,48.0,354.24,335.22,344.73,-7004700.0,26.2,20.9,17.21
2020-09-15,342.38,342.96,2.2,3.63,-1.43,50.77,354.19,335.66,344.93,-5642200.0,25.52,22.86,16.31
2020-09-16,341.84,343.22,2.02,3.31,-1.28,50.16,354.16,335.99,345.07,-7298700.0,25.06,22.58,15.36
2020-09-17,341.71,341.77,1.48,2.94,-1.46,35.76,354.29,335.66,344.97,-9980200.0,23.37,20.83,21.41
2020-09-18,341.08,339.83,0.8,2.51,-1.71,29.41,354.7,334.76,344.73,-13389500.0,22.65,18.71,24.49
2020-09-21,340.41,339.75,0.55,2.12,-1.57,44.61,354.7,334.26,344.48,-10962100.0,21.99,17.57,23.0
2020-09-22,340.52,341.31,0.74,1.84,-1.11,59.39,354.71,334.27,344.49,-8834000.0,20.48,22.12,21.71
2020-09-23,340.7,342.42,0.89,1.65,-0.77,59.89,354.71,334.27,344.49,-5256900.0,19.65,24.72,20.73
2020-09-24,342.32,343.95,1.18,1.56,-0.37,66.57,354.9,334.35,344.62,522400.0,18.61,22.38,24.81
2020-09-25,343.65,343.49,1.05,1.46,-0.41,47.94,354.72,334.16,344.44,-6816100.0,18.1,19.78,24.87
2020-09-28,345.66,345.53,1.5,1.47,0.03,66.57,354.89,334.11,344.5,-3356900.0,16.99,24.35,23.08
2020-09-29,347.19,347.74,2.03,1.58,0.45,71.18,355.56,333.89,344.72,-830900.0,16.62,27.12,21.43
2020-09-30,349.27,350.16,2.65,1.79,0.86,75.9,356.29,333.52,344.9,1694900.0,16.71,28.76,20.02
2020-10-01,351.56,352.92,3.39,2.11,1.27,80.68,356.17,333.6,344.88,3747900.0,17.04,29.37,19.02
