Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,4215700.0,,,
2020-01-02,,,,,,,,,,9420700.0,,,
2020-01-03,,,,,,,,,,3059800.0,,,
2020-01-06,,,,,,,,,,-6893200.0,,,
2020-01-07,120.52,120.52,,,,,,,,-14750100.0,,,
2020-01-08,119.96,119.58,,,,10.93,,,,-22046000.0,,,
2020-01-09,119.18,118.89,,,,10.23,,,,-29391300.0,,,
2020-01-10,118.26,118.07,,,,7.04,,,,-35785100.0,,,
2020-01-13,117.47,117.6,,,,13.94,,,,-28938400.0,,,
2020-01-14,116.92,117.17,,,,12.1,,,,-36127500.0,,,
2020-01-15,116.61,116.82,,,,11.23,,,,-41936300.0,,,
2020-01-16,116.48,116.84,,,,36.75,,,,-34914300.0,,,
2020-01-17,116.31,116.42,,,,22.69,,,,-42800200.0,,,
2020-01-21,115.64,115.39,,,,12.41,,,,-51270500.0,,,
2020-01-22,114.96,114.56,,,,11.26,,,,-56860400.0,,11.46,48.64
2020-01-23,114.36,114.07,,,,16.01,,,,-48852600.0,,10.13,47.26
2020-01-24,113.35,113.33,,,,11.29,,,,-55772600.0,,8.92,45.15
2020-01-27,112.31,112.35,,,,7.89,,,,-63382400.0,,7.85,48.46
2020-01-28,111.87,111.94,,,,22.48,,,,-57610500.0,,12.27,44.66
2020-01-29,111.37,111.42,,,,18.68,122.9,108.99,115.94,-62383300.0,,11.01,43.73
2020-01-30,111.03,111.41,,,,36.97,122.38,108.6,115.49,-54000600.0,,9.44,43.83
2020-01-31,110.08,109.99,,,,17.09,122.01,107.54,114.77,-67700200.0,,7.22,46.03
2020-02-03,109.26,108.75,,,,15.05,121.57,106.5,114.04,-76485700.0,,6.61,46.71
2020-02-04,108.41,108.12,,,,22.7,120.87,105.83,113.35,-66576700.0,,10.91,42.37
2020-02-05,108.39,108.84,,,,53.92,120.06,105.76,112.91,-59662600.0,,18.68,35.77
2020-02-06,108.01,109.06,-3.82,,,48.3,119.45,105.55,112.5,-65936600.0,,17.56,33.46
2020-02-07,108.37,109.02,-3.66,,,44.29,118.78,105.36,112.07,-70766700.0,,16.8,34.74
2020-02-10,109.07,109.27,-3.42,,,51.99,118.21,105.27,111.74,-64754900.0,52.26,17.28,32.53
2020-02-11,109.94,109.92,-3.08,,,62.75,117.53,105.4,111.47,-58682200.0,48.19,22.86,30.31
2020-02-12,110.29,110.63,-2.71,,,68.0,116.91,105.6,111.25,-52956500.0,43.53,26.84,28.48
2020-02-13,110.73,110.97,-2.42,,,62.93,116.23,105.83,111.03,-58948400.0,39.79,25.52,28.78
2020-02-14,110.96,110.67,-2.3,,,45.36,115.15,106.23,110.69,-64097100.0,37.68,23.2,33.37
2020-02-18,111.05,110.53,-2.16,,,47.22,114.28,106.57,110.42,-59121300.0,36.27,21.73,34.56
2020-02-19,110.95,110.6,-1.98,-2.84,0.86,53.43,113.92,106.67,110.29,-53233800.0,34.28,24.28,32.68
2020-02-20,110.51,110.34,-1.9,-2.65,0.75,41.96,113.56,106.71,110.14,-57700400.0,32.64,22.77,31.51
2020-02-21,109.98,109.89,-1.88,-2.5,0.62,34.08,113.11,106.76,109.93,-64144300.0,32.33,20.6,37.56
2020-02-24,108.9,108.17,-2.18,-2.43,0.25,15.08,113.36,105.8,109.58,-73684100.0,33.34,16.91,43.44
2020-02-25,107.0,105.68,-2.71,-2.49,-0.22,9.15,114.47,103.71,109.09,-86556000.0,35.39,14.01,51.39
2020-02-26,104.46,103.13,-3.31,-2.65,-0.66,6.89,115.57,101.31,108.44,-98546400.0,37.61,12.34,51.87
2020-02-27,101.32,100.13,-4.05,-2.93,-1.12,4.74,117.03,98.23,107.63,-114330100.0,40.19,10.76,57.4
2020-02-28,98.19,97.87,-4.65,-3.28,-1.38,4.4,117.82,95.63,106.72,-135165200.0,42.94,9.49,62.3
2020-03-02,96.56,97.44,-4.81,-3.58,-1.23,30.47,118.14,94.26,106.2,-120114400.0,43.67,17.31,54.56
2020-03-03,95.3,96.42,-5.05,-3.88,-1.18,24.76,118.6,92.6,105.6,-136639900.0,43.47,19.69,47.33
2020-03-04,95.4,97.13,-4.86,-4.07,-0.78,47.79,118.53,91.85,105.19,-121886900.0,43.05,18.77,41.9
2020-03-05,96.01,97.15,-4.75,-4.21,-0.54,42.52,118.09,90.97,104.53,-134701300.0,42.81,17.13,40.02
2020-03-06,96.4,96.54,-4.77,-4.32,-0.45,35.67,117.75,89.9,103.82,-151563200.0,42.9,15.59,40.05
2020-03-09,93.22,91.25,-5.89,-4.64,-1.26,13.83,119.38,85.44,102.41,-182158700.0,44.66,11.19,53.47
2020-03-10,91.34,89.16,-6.36,-4.98,-1.38,29.67,119.38,82.96,101.17,-159515800.0,46.27,10.06,48.1
2020-03-11,88.24,87.12,-6.82,-5.35,-1.47,26.87,118.98,80.54,99.76,-177928600.0,47.75,9.48,45.28
2020-03-12,84.05,83.5,-7.63,-5.81,-1.83,19.08,118.87,77.07,97.97,-203696800.0,49.74,7.91,52.25
2020-03-13,81.67,83.47,-7.62,-6.17,-1.45,41.51,117.39,75.73,96.56,-180199300.0,49.78,14.87,44.87
2020-03-16,79.48,78.88,-8.61,-6.66,-1.95,24.95,117.46,71.62,94.54,-197734600.0,50.21,12.16,42.57
2020-03-17,76.62,76.15,-9.21,-7.17,-2.04,27.55,116.52,68.61,92.56,-175050400.0,50.95,10.99,43.87
2020-03-18,71.02,69.12,-10.82,-7.9,-2.93,16.34,117.32,62.24,89.78,-199997700.0,52.28,8.98,48.24
2020-03-19,67.25,65.21,-11.78,-8.67,-3.1,22.26,116.49,57.82,87.16,-170126700.0,53.65,8.28,47.84
2020-03-20,62.44,63.27,-12.23,-9.39,-2.85,27.72,114.58,54.77,84.68,-143166300.0,54.34,10.36,45.47
2020-03-23,59.35,60.25,-12.86,-10.08,-2.78,22.59,113.36,50.94,82.15,-166930300.0,55.17,9.6,46.01
2020-03-24,58.52,62.35,-12.22,-10.51,-1.71,50.11,111.14,49.75,80.44,-137731500.0,54.02,16.99,39.44
2020-03-25,61.36,64.66,-11.37,-10.68,-0.69,54.56,108.96,49.05,79.01,-115171400.0,51.93,21.64,36.68
2020-03-26,65.16,68.57,-10.0,-10.54,0.54,64.82,107.27,48.97,78.12,-91042300.0,49.33,23.68,33.18
2020-03-27,67.04,68.64,-9.42,-10.32,0.9,49.8,105.43,48.35,76.89,-111453800.0,46.93,21.76,30.5
2020-03-30,70.59,69.74,-8.61,-9.98,1.37,55.21,102.79,48.53,75.66,-92967000.0,44.89,20.43,30.16
2020-03-31,71.77,70.65,-7.83,-9.55,1.72,56.16,100.31,48.81,74.56,-74452800.0,42.62,21.76,28.8
2020-04-01,71.63,69.95,-7.44,-9.13,1.68,46.69,96.44,49.69,73.06,-88814800.0,40.94,20.61,30.76
2020-04-02,71.57,72.01,-6.45,-8.59,2.14,62.15,92.68,51.34,72.01,-65594200.0,38.28,25.13,27.5
2020-04-03,72.84,73.04,-5.68,-8.01,2.33,59.28,88.79,53.21,71.0,-80499600.0,35.77,23.86,25.77
2020-04-06,74.53,75.49,-4.6,-7.33,2.73,68.73,88.74,53.23,70.98,-63164700.0,33.21,24.46,24.16
