Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,2856600.0,,,
2020-01-02,,,,,,,,,,-147600.0,,,
2020-01-03,,,,,,,,,,-2988300.0,,,
2020-01-06,,,,,,,,,,-823900.0,,,
2020-01-07,82.23,82.23,,,,,,,,-3379000.0,,,
2020-01-08,82.0,82.05,,,,26.49,,,,-5970100.0,,,
2020-01-09,81.99,82.01,,,,38.17,,,,-3763600.0,,,
2020-01-10,82.06,82.03,,,,45.26,,,,-1343400.0,,,
2020-01-13,81.99,82.03,,,,44.42,,,,-3070000.0,,,
2020-01-14,81.94,82.01,,,,39.75,,,,-5942000.0,,,
2020-01-15,82.2,82.33,,,,74.52,,,,-3192600.0,,,
2020-01-16,82.51,82.73,,,,81.27,,,,-534900.0,,,
2020-01-17,82.91,83.17,,,,86.06,,,,3075900.0,,,
2020-01-21,83.31,83.45,,,,85.06,,,,-1444100.0,,,
2020-01-22,83.65,83.53,,,,68.11,,,,-3723500.0,,26.83,11.38
2020-01-23,83.87,83.71,,,,75.05,,,,-1452600.0,,24.45,13.61
2020-01-24,83.97,83.81,,,,71.47,,,,-4093400.0,,24.3,12.24
2020-01-27,83.82,83.65,,,,45.24,,,,-6319400.0,,21.58,13.97
2020-01-28,83.92,83.94,,,,69.74,,,,-3600600.0,,23.02,12.09
2020-01-29,84.26,84.42,,,,78.47,85.14,80.9,83.02,-627500.0,,29.08,10.86
2020-01-30,84.74,85.11,,,,85.17,85.8,80.6,83.2,2753000.0,,35.58,9.13
2020-01-31,85.09,85.32,,,,67.57,86.15,80.63,83.39,-1215300.0,,31.36,8.05
2020-02-03,85.6,85.49,,,,68.57,86.44,80.75,83.6,815000.0,,29.95,7.68
2020-02-04,85.6,85.18,,,,44.27,86.53,80.88,83.7,-2210800.0,,26.16,15.86
2020-02-05,85.51,85.1,,,,50.45,86.62,81.06,83.84,393800.0,,23.81,17.78
2020-02-06,85.27,85.15,1.17,,,56.32,86.68,81.36,84.02,1988100.0,,25.85,16.45
2020-02-07,85.08,85.04,1.09,,,47.14,86.66,81.66,84.16,-288600.0,,24.02,15.37
2020-02-10,84.83,84.89,1.0,,,42.95,86.6,81.98,84.29,-2618400.0,31.55,22.47,18.88
2020-02-11,84.96,85.0,0.96,,,56.72,86.55,82.35,84.45,1141400.0,31.13,29.05,16.51
2020-02-12,85.13,85.26,0.97,,,65.87,86.48,82.8,84.64,4605200.0,30.73,26.16,14.94
2020-02-13,85.33,85.59,1.0,,,71.96,86.6,83.0,84.8,8176600.0,31.3,29.31,13.66
2020-02-14,85.86,86.21,1.11,,,82.38,87.04,82.96,85.0,11057900.0,32.5,31.35,12.29
2020-02-18,86.74,87.13,1.3,,,88.84,87.87,82.62,85.25,14477400.0,34.61,37.24,10.87
2020-02-19,87.26,87.37,1.35,1.1,0.24,66.12,88.23,82.64,85.44,11811600.0,36.59,34.72,9.77
2020-02-20,87.95,88.0,1.48,1.18,0.3,75.72,88.85,82.58,85.71,14846400.0,38.43,31.95,8.77
2020-02-21,88.58,88.46,1.58,1.26,0.32,76.49,89.4,82.56,85.98,17972800.0,40.33,33.0,8.3
2020-02-24,89.05,88.9,1.67,1.34,0.33,79.15,89.94,82.6,86.27,22638400.0,42.6,35.85,7.26
2020-02-25,88.81,88.53,1.57,1.39,0.18,47.18,89.96,83.03,86.49,18758500.0,42.27,30.63,13.51
2020-02-26,88.6,87.95,1.38,1.39,-0.0,37.56,89.95,83.26,86.61,14856400.0,40.78,27.21,16.46
2020-02-27,87.0,85.72,0.79,1.27,-0.48,15.83,90.45,82.35,86.4,10307200.0,39.72,20.56,36.64
2020-02-28,84.76,83.21,0.06,1.02,-0.96,11.24,91.39,80.58,85.99,2061500.0,40.44,16.71,48.16
2020-03-02,83.64,83.53,-0.03,0.81,-0.84,47.83,91.37,80.45,85.91,7673800.0,38.39,28.21,38.43
2020-03-03,82.76,83.48,-0.16,0.62,-0.78,44.76,91.36,80.21,85.78,2049300.0,35.79,30.68,34.73
2020-03-04,83.21,85.33,0.19,0.53,-0.35,64.76,91.72,80.29,86.01,6620900.0,33.63,34.65,29.04
2020-03-05,84.39,85.94,0.31,0.49,-0.18,56.36,91.83,80.41,86.12,2740100.0,31.66,31.82,26.67
2020-03-06,86.09,86.2,0.36,0.46,-0.1,54.14,91.9,80.49,86.19,-1780300.0,29.51,28.62,31.28
2020-03-09,85.52,84.57,-0.03,0.36,-0.39,34.66,92.08,79.95,86.02,-7951600.0,28.78,23.6,35.56
2020-03-10,85.49,84.12,-0.18,0.26,-0.44,43.59,92.1,79.79,85.95,-3082000.0,28.25,20.82,32.51
2020-03-11,83.47,82.4,-0.64,0.08,-0.72,31.45,92.51,78.77,85.64,-7340300.0,28.07,18.38,31.22
2020-03-12,80.3,78.7,-1.6,-0.26,-1.34,19.38,94.19,75.63,84.91,-14117900.0,29.5,15.08,41.52
2020-03-13,78.62,78.56,-1.78,-0.56,-1.22,43.95,94.21,74.82,84.51,-6755200.0,30.27,15.65,36.15
2020-03-16,76.08,75.26,-2.67,-0.98,-1.68,28.8,95.36,71.78,83.57,-13261900.0,31.51,12.98,35.62
2020-03-17,75.54,77.0,-2.39,-1.27,-1.13,53.43,94.74,71.56,83.15,-5071100.0,30.75,18.46,28.54
2020-03-18,75.8,78.09,-2.16,-1.45,-0.72,53.0,94.22,71.32,82.77,-11633800.0,30.05,16.64,25.73
2020-03-19,75.91,76.01,-2.63,-1.68,-0.95,38.37,93.88,69.92,81.9,-19489400.0,29.86,14.65,25.79
2020-03-20,73.69,73.08,-3.34,-2.01,-1.32,32.25,93.85,67.74,80.79,-29453600.0,30.45,13.57,30.01
2020-03-23,71.84,68.52,-4.48,-2.51,-1.97,24.11,94.65,63.89,79.27,-37496300.0,31.99,11.99,37.09
2020-03-24,68.88,67.57,-4.82,-2.97,-1.85,39.43,94.11,62.22,78.17,-30981900.0,33.32,11.19,33.52
2020-03-25,66.29,67.49,-4.9,-3.36,-1.54,43.24,93.29,61.1,77.19,-25994300.0,33.56,14.34,30.81
2020-03-26,66.41,69.14,-4.5,-3.58,-0.91,54.23,92.86,60.65,76.75,-21253000.0,33.06,16.42,28.44
2020-03-27,67.58,70.45,-4.08,-3.68,-0.4,55.56,92.67,60.33,76.5,-17036000.0,32.0,18.01,26.26
2020-03-30,71.07,72.57,-3.41,-3.63,0.22,63.43,91.91,60.34,76.13,-11334600.0,30.52,19.45,24.71
2020-03-31,72.37,72.44,-3.22,-3.55,0.33,49.8,91.08,60.06,75.57,-15866000.0,29.57,18.29,26.08
2020-04-01,72.89,71.61,-3.21,-3.48,0.27,44.02,89.0,60.23,74.61,-20247200.0,29.33,17.31,29.69
2020-04-02,72.61,71.42,-3.07,-3.4,0.32,47.81,87.05,60.57,73.81,-16714200.0,28.67,18.65,28.18
2020-04-03,71.91,70.8,-3.05,-3.33,0.28,42.95,84.9,61.0,72.95,-20102700.0,28.07,17.96,27.14
2020-04-06,71.37,71.9,-2.64,-3.19,0.55,58.76,83.92,61.25,72.59,-15041800.0,26.6,21.45,25.17
2020-04-07,71.62,72.42,-2.34,-3.02,0.68,55.92,82.35,61.85,72.1,-19301100.0,24.99,22.08,24.13
2020-04-08,73.28,74.35,-1.69,-2.75,1.06,69.21,82.22,61.91,72.06,-15409300.0,23.44,24.03,22.36
2020-04-09,75.38,76.76,-0.9,-2.38,1.48,75.68,83.54,61.62,72.58,-9930100.0,22.73,27.67,21.01
2020-04-13,77.38,77.69,-0.43,-1.99,1.56,65.21,83.74,61.54,72.64,-12670700.0,22.02,26.44,20.38
2020-04-14,78.96,79.13,0.13,-1.57,1.7,71.22,84.97,61.65,73.31,-9279900.0,21.56,26.9,19.6
2020-04-15,80.23,79.35,0.4,-1.17,1.58,59.68,84.85,61.7,73.27,-12252600.0,20.88,25.84,20.24
2020-04-16,80.2,78.92,0.47,-0.85,1.31,51.61,84.51,61.82,73.16,-15876300.0,19.88,24.7,21.46
2020-04-17,80.18,79.79,0.79,-0.52,1.31,63.83,85.54,61.75,73.65,-13047900.0,19.2,24.88,20.16
2020-04-20,80.1,79.56,0.84,-0.25,1.09,52.31,85.98,62.51,74.24,-16417100.0,18.57,23.83,19.32
2020-04-21,79.02,78.58,0.67,-0.06,0.74,42.36,84.68,65.52,75.1,-19379200.0,17.29,22.65,22.99
2020-04-22,78.81,78.63,0.7,0.09,0.61,52.07,84.41,67.1,75.76,-16486500.0,16.31,23.54,21.87
2020-04-23,78.58,78.06,0.57,0.19,0.39,44.09,83.99,68.48,76.24,-19018500.0,15.18,22.6,22.88
2020-04-24,77.86,78.01,0.54,0.26,0.29,49.44,84.09,68.93,76.51,-16607600.0,14.13,21.88,22.15
2020-04-27,77.74,78.18,0.56,0.32,0.24,52.79,84.24,69.32,76.78,-14195300.0,13.31,22.85,21.66
2020-04-28,78.27,78.54,0.63,0.38,0.25,57.22,84.44,69.37,76.9,-11627600.0,13.05,25.19,20.7
2020-04-29,78.26,78.59,0.63,0.43,0.2,52.31,84.48,69.98,77.23,-14364600.0,12.51,23.88,21.39
2020-04-30,78.3,78.1,0.5,0.45,0.05,41.02,84.02,71.15,77.59,-17509600.0,11.74,22.78,23.6
2020-05-01,77.84,77.27,0.27,0.41,-0.14,32.39,83.6,72.03,77.82,-20189300.0,11.43,21.83,25.34
2020-05-04,77.3,76.78,0.1,0.35,-0.25,34.54,82.63,73.63,78.13,-17954900.0,11.34,21.04,25.81
2020-05-05,77.03,77.17,0.14,0.31,-0.17,54.79,82.43,74.21,78.32,-14092300.0,10.79,25.79,23.99
2020-05-06,76.84,77.35,0.15,0.28,-0.12,52.79,82.0,75.07,78.53,-19368600.0,10.27,25.02,23.27
2020-05-07,77.04,77.6,0.19,0.26,-0.07,56.31,81.99,75.07,78.53,-15004900.0,9.87,24.77,22.54
2020-05-08,77.59,77.87,0.24,0.26,-0.02,59.38,81.53,75.2,78.37,-11768800.0,9.47,23.94,22.01
2020-05-11,78.28,78.33,0.34,0.27,0.07,67.39,81.5,75.21,78.35,-8977800.0,9.4,24.51,20.69
2020-05-12,78.48,78.53,0.4,0.3,0.1,62.1,80.88,75.52,78.2,-13532400.0,9.5,24.83,19.99
2020-05-13,78.74,78.69,0.44,0.33,0.11,62.86,80.77,75.55,78.16,-9359600.0,8.92,23.66,23.0
2020-05-14,79.05,79.01,0.52,0.37,0.15,70.45,80.93,75.55,78.24,-5353700.0,8.89,24.67,20.78
2020-05-15,79.01,78.74,0.46,0.38,0.08,44.56,80.3,75.85,78.08,-14048300.0,8.87,23.2,19.54
2020-05-18,79.13,79.11,0.54,0.42,0.13,63.79,80.43,75.79,78.11,-10654100.0,9.25,24.43,18.36
2020-05-19,79.11,79.02,0.52,0.44,0.08,50.18,80.46,75.99,78.22,-13397200.0,9.34,23.65,19.13
2020-05-20,79.06,78.93,0.49,0.45,0.04,49.15,80.46,75.99,78.22,-15512400.0,9.15,22.55,19.7
2020-05-21,78.85,78.82,0.44,0.45,-0.0,46.89,80.46,76.15,78.31,-17899600.0,8.93,21.91,19.44
2020-05-22,79.31,79.38,0.56,0.47,0.09,69.29,80.79,76.09,78.44,-14922000.0,9.38,24.61,18.1
2020-05-26,79.5,79.86,0.66,0.51,0.16,71.71,81.12,75.99,78.55,-10764400.0,10.68,29.7,16.86
2020-05-27,80.05,80.43,0.8,0.57,0.23,77.1,81.54,75.8,78.67,-7188900.0,11.89,28.0,15.9
2020-05-28,81.04,81.52,1.07,0.67,0.4,86.44,82.53,75.31,78.92,-3786400.0,13.61,30.87,14.52
2020-05-29,82.32,82.68,1.37,0.81,0.56,89.66,83.7,74.93,79.31,1791400.0,15.45,30.71,13.41
2020-06-01,83.4,83.75,1.66,0.98,0.68,91.38,84.73,74.92,79.83,5591300.0,17.59,32.99,12.37
2020-06-02,84.48,84.58,1.9,1.16,0.74,92.02,85.63,75.06,80.35,8998900.0,19.58,31.75,11.91
2020-06-03,85.46,85.21,2.08,1.35,0.74,92.53,86.57,74.98,80.78,12228200.0,21.71,33.44,11.35
2020-06-04,85.71,85.13,2.08,1.49,0.59,62.25,87.03,75.25,81.14,8267500.0,22.11,30.45,17.39
2020-06-05,85.57,84.85,2.0,1.6,0.41,52.74,87.32,75.58,81.45,3693600.0,22.68,30.49,16.39
2020-06-08,85.67,85.37,2.09,1.69,0.39,70.49,87.92,75.78,81.85,6832200.0,22.62,27.23,17.46
2020-06-09,85.6,85.53,2.09,1.77,0.31,62.8,88.36,75.99,82.18,4305900.0,22.57,25.68,16.47
2020-06-10,85.7,86.02,2.15,1.85,0.3,71.05,88.92,76.24,82.58,8999900.0,23.04,28.66,15.71
2020-06-11,85.51,85.35,1.94,1.87,0.07,41.29,88.98,76.68,82.83,2329400.0,22.16,25.79,20.81
2020-06-12,85.28,84.62,1.69,1.83,-0.14,35.89,88.98,77.03,83.01,-3007700.0,20.62,23.09,22.8
2020-06-15,84.81,84.43,1.54,1.77,-0.23,45.26,88.86,77.73,83.3,2253400.0,19.75,20.69,24.51
2020-06-16,84.63,84.59,1.47,1.71,-0.24,53.48,88.92,78.18,83.55,6938600.0,18.6,24.6,22.84
2020-06-17,84.06,84.44,1.35,1.64,-0.29,45.86,88.73,78.9,83.82,4411600.0,17.38,23.52,24.23
2020-06-18,84.16,84.47,1.26,1.56,-0.3,50.23,88.44,79.77,84.11,7667300.0,16.32,22.64,23.82
2020-06-19,83.87,83.56,0.95,1.44,-0.49,28.76,87.97,80.55,84.26,-3046400.0,16.12,19.93,26.2
2020-06-22,83.71,83.45,0.83,1.32,-0.49,44.82,87.73,81.07,84.4,-10100.0,15.98,18.43,24.46
2020-06-23,83.29,83.24,0.68,1.19,-0.51,41.39,87.5,81.5,84.5,-4547800.0,15.84,17.48,23.2
2020-06-24,82.98,83.02,0.54,1.06,-0.52,39.54,87.38,81.72,84.55,-9619000.0,15.99,16.87,24.26
2020-06-25,82.3,82.39,0.31,0.91,-0.6,28.96,87.6,81.24,84.42,-12799600.0,16.68,15.79,26.68
2020-06-26,81.89,81.49,0.01,0.73,-0.72,21.62,87.93,80.38,84.15,-17295400.0,17.79,14.6,28.54
2020-06-29,81.36,81.2,-0.15,0.55,-0.71,34.78,87.88,79.9,83.89,-14949100.0,18.83,13.98,27.31
2020-06-30,81.04,81.19,-0.23,0.4,-0.63,42.21,87.64,79.64,83.64,-11321500.0,19.18,16.28,26.39
2020-07-01,80.99,81.58,-0.2,0.28,-0.48,55.28,87.25,79.61,83.43,-8332300.0,18.59,19.91,24.81
2020-07-02,81.3,81.95,-0.14,0.19,-0.34,58.68,87.08,79.56,83.32,-6779800.0,17.63,21.49,23.81
2020-07-06,80.08,79.16,-0.82,-0.01,-0.81,16.57,88.42,77.15,82.78,-33631400.0,19.67,15.88,43.21
2020-07-07,78.81,77.51,-1.29,-0.27,-1.03,21.45,88.68,75.67,82.17,-20714200.0,21.9,14.51,44.44
2020-07-08,77.61,76.75,-1.57,-0.53,-1.04,29.62,88.58,74.7,81.64,-14145200.0,23.42,16.7,42.08
2020-07-09,75.9,75.76,-1.89,-0.8,-1.09,24.92,88.26,73.7,80.98,-20168700.0,24.98,15.68,41.63
2020-07-10,74.08,75.03,-2.13,-1.06,-1.06,24.29,88.27,72.64,80.46,-25137900.0,26.44,15.04,40.14
2020-07-13,74.09,74.58,-2.28,-1.31,-0.97,25.53,88.23,71.74,79.99,-20089600.0,27.8,14.54,38.79
2020-07-14,74.03,74.36,-2.36,-1.52,-0.84,29.02,87.9,71.06,79.48,-15218000.0,28.98,14.46,37.4
2020-07-15,74.08,74.72,-2.27,-1.67,-0.6,48.31,87.21,70.8,79.01,-9426100.0,29.23,17.88,35.11
2020-07-16,74.72,75.47,-2.05,-1.75,-0.31,61.22,86.55,70.75,78.65,-4618800.0,28.71,21.18,33.09
2020-07-17,75.72,76.5,-1.73,-1.74,0.01,71.05,85.77,70.92,78.35,149900.0,27.27,25.96,30.78
2020-07-20,76.49,76.85,-1.54,-1.7,0.16,59.2,85.41,70.87,78.14,-3148700.0,25.93,24.74,29.34
2020-07-21,77.35,77.31,-1.32,-1.63,0.3,64.01,84.77,71.01,77.89,91000.0,24.49,24.85,27.89
2020-07-22,78.17,78.05,-1.03,-1.51,0.48,72.29,84.28,71.17,77.72,4884700.0,22.83,26.14,25.43
2020-07-23,78.9,78.9,-0.71,-1.35,0.64,77.35,83.94,71.31,77.63,9723100.0,21.89,28.99,23.92
2020-07-24,79.26,79.4,-0.46,-1.17,0.71,74.41,83.83,71.35,77.59,5411100.0,21.31,29.57,22.42
2020-07-27,79.8,79.68,-0.27,-0.99,0.72,70.86,83.9,71.34,77.62,2807300.0,20.48,27.9,22.93
2020-07-28,80.57,80.47,0.02,-0.79,0.81,81.53,84.14,71.24,77.69,7339300.0,20.29,29.98,20.95
2020-07-29,81.11,81.07,0.27,-0.58,0.84,82.41,84.32,71.16,77.74,10289300.0,20.17,29.41,20.16
2020-07-30,81.29,81.22,0.4,-0.38,0.78,67.59,84.17,71.23,77.7,6684600.0,19.63,27.98,21.68
2020-07-31,81.42,81.16,0.46,-0.21,0.67,58.83,83.87,71.36,77.62,1841500.0,18.53,25.67,23.59
2020-08-03,81.44,80.88,0.44,-0.08,0.53,47.78,84.03,71.88,77.95,-514000.0,17.27,24.2,23.81
2020-08-04,81.2,80.88,0.47,0.03,0.44,55.91,84.23,72.34,78.29,2567600.0,16.24,24.1,22.75
2020-08-05,80.69,80.49,0.39,0.1,0.29,39.54,84.32,72.71,78.51,-337600.0,15.51,22.26,25.08
2020-08-06,80.32,80.2,0.32,0.14,0.18,38.57,84.2,73.41,78.81,-3057900.0,14.83,21.46,24.22
2020-08-07,80.23,80.34,0.34,0.18,0.16,55.42,84.03,74.28,79.16,418900.0,14.1,24.58,22.42
2020-08-10,80.19,80.27,0.31,0.21,0.1,47.24,83.67,75.29,79.48,-2770000.0,13.42,23.57,21.5
2020-08-11,79.73,79.7,0.16,0.2,-0.04,29.98,83.08,76.35,79.71,-6721800.0,13.05,21.62,25.51
