Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,5662900.0,,,
2020-01-02,,,,,,,,,,15165000.0,,,
2020-01-03,,,,,,,,,,7844800.0,,,
2020-01-06,,,,,,,,,,-417700.0,,,
2020-01-07,146.14,146.14,,,,,,,,6488800.0,,,
2020-01-08,146.29,145.89,,,,46.7,,,,-495400.0,,,
2020-01-09,145.62,145.54,,,,38.23,,,,-7159600.0,,,
2020-01-10,145.24,145.23,,,,35.29,,,,-12312100.0,,,
2020-01-13,144.89,144.78,,,,26.34,,,,-22233400.0,,,
2020-01-14,144.79,144.92,,,,52.94,,,,-7394300.0,,,
2020-01-15,144.57,144.72,,,,40.69,,,,-14212500.0,,,
2020-01-16,144.63,144.85,,,,53.04,,,,-7264100.0,,,
2020-01-17,144.57,144.68,,,,42.2,,,,-17619400.0,,,
2020-01-21,144.51,144.31,,,,33.78,,,,-26869600.0,,,
2020-01-22,144.27,144.21,,,,42.2,,,,-19319600.0,,21.21,18.92
2020-01-23,143.84,143.54,,,,25.75,,,,-30401600.0,,17.44,30.86
2020-01-24,142.84,142.39,,,,16.39,,,,-43477900.0,,14.85,33.33
2020-01-27,141.15,140.22,,,,8.65,,,,-56309700.0,,11.73,43.69
2020-01-28,140.11,139.61,,,,32.28,,,,-45919700.0,,15.02,38.44
2020-01-29,138.52,138.42,,,,24.78,149.88,136.97,143.43,-55302400.0,,13.39,34.53
2020-01-30,137.64,138.22,,,,38.34,149.96,136.21,143.09,-43455100.0,,11.93,34.23
2020-01-31,137.29,138.25,,,,42.07,149.35,135.84,142.59,-31076000.0,,14.23,32.21
2020-02-03,138.37,139.27,,,,60.19,148.86,135.81,142.33,-18436100.0,,23.4,28.3
2020-02-04,139.65,141.09,,,,72.41,148.73,135.84,142.29,5083600.0,,32.3,24.42
2020-02-05,140.71,141.18,,,,52.54,148.33,135.81,142.07,-22740500.0,,24.81,31.19
2020-02-06,141.69,141.69,-1.56,,,58.22,148.02,135.85,141.94,-13235900.0,,23.01,28.93
2020-02-07,142.23,141.47,-1.46,,,48.97,147.69,135.8,141.75,-24184800.0,,21.43,29.87
2020-02-10,142.48,141.84,-1.25,,,56.96,147.46,135.83,141.64,-16022700.0,24.59,21.82,28.15
2020-02-11,141.74,141.56,-1.2,,,47.59,147.23,135.77,141.5,-26812800.0,23.05,21.4,26.22
2020-02-12,141.83,141.66,-1.07,,,52.75,146.81,135.86,141.33,-18644600.0,21.72,20.59,25.23
2020-02-13,141.47,141.41,-1.04,,,46.31,146.46,135.86,141.16,-26187700.0,20.59,19.94,24.58
2020-02-14,141.18,140.78,-1.11,,,37.99,145.9,135.87,140.88,-35298200.0,20.54,18.67,28.01
2020-02-18,140.49,140.24,-1.18,,,35.64,145.43,135.81,140.62,-43513100.0,20.98,17.79,29.8
2020-02-19,140.55,140.59,-1.06,-1.21,0.16,54.61,145.14,135.88,140.51,-36432200.0,19.85,22.96,27.37
2020-02-20,140.25,140.52,-1.02,-1.17,0.16,47.13,144.67,135.98,140.33,-42413900.0,19.04,21.07,26.24
2020-02-21,139.86,140.0,-1.09,-1.16,0.07,37.48,144.46,135.87,140.17,-50139700.0,18.46,19.93,25.64
2020-02-24,138.56,137.67,-1.61,-1.25,-0.36,17.93,145.12,134.5,139.81,-69476200.0,20.58,15.92,39.6
2020-02-25,136.37,134.51,-2.38,-1.47,-0.91,11.74,146.61,132.25,139.43,-90508700.0,23.16,13.64,41.68
2020-02-26,132.78,130.79,-3.34,-1.85,-1.49,8.2,148.71,128.64,138.68,-121704600.0,26.39,11.75,48.9
2020-02-27,128.31,126.54,-4.48,-2.37,-2.11,5.79,151.24,124.31,137.78,-152532100.0,29.76,10.4,52.18
2020-02-28,124.05,123.58,-5.36,-2.97,-2.39,5.64,152.84,120.7,136.77,-187922000.0,33.22,9.32,56.37
2020-03-02,121.44,122.38,-5.79,-3.54,-2.26,21.08,153.48,118.22,135.85,-166146100.0,35.62,11.95,51.86
2020-03-03,119.1,120.4,-6.35,-4.1,-2.25,16.09,153.94,115.27,134.61,-185675800.0,37.03,13.87,45.31
