Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,292700.0,,,
2020-01-02,,,,,,,,,,-155800.0,,,
2020-01-03,,,,,,,,,,229400.0,,,
2020-01-06,,,,,,,,,,-54800.0,,,
2020-01-07,582.91,582.91,,,,,,,,-307400.0,,,
2020-01-08,582.93,583.2,,,,53.3,,,,-46400.0,,,
2020-01-09,584.85,585.13,,,,72.68,,,,183200.0,,,
2020-01-10,586.63,588.09,,,,81.79,,,,491100.0,,,
2020-01-13,588.73,590.38,,,,83.14,,,,887400.0,,,
2020-01-14,589.65,589.09,,,,45.8,,,,502000.0,,,
2020-01-15,590.14,588.14,,,,45.03,,,,107700.0,,,
2020-01-16,591.36,590.46,,,,68.11,,,,629800.0,,,
2020-01-17,590.16,589.64,,,,47.94,,,,-164400.0,,,
2020-01-21,589.17,589.76,,,,52.84,,,,516500.0,,,
2020-01-22,590.18,590.35,,,,56.74,,,,960600.0,,19.18,14.5
2020-01-23,592.13,592.24,,,,66.79,,,,1312800.0,,21.43,12.68
2020-01-24,591.5,592.15,,,,52.9,,,,983800.0,,18.67,13.49
2020-01-27,592.69,592.75,,,,58.23,,,,1217000.0,,17.02,16.49
2020-01-28,595.2,596.02,,,,74.11,,,,1535100.0,,24.28,14.87
2020-01-29,597.43,598.24,,,,74.26,602.59,577.5,590.04,1778300.0,,22.6,13.84
2020-01-30,598.83,599.83,,,,74.82,604.39,577.62,591.01,2126700.0,,25.09,13.13
2020-01-31,598.39,596.46,,,,35.43,603.82,579.23,591.53,1638000.0,,21.23,24.29
2020-02-03,600.32,598.84,,,,61.74,605.44,579.46,592.45,2083700.0,,19.13,21.09
2020-02-04,601.37,601.84,,,,66.91,607.69,579.55,593.62,2409600.0,,20.94,20.07
2020-02-05,601.09,601.65,,,,53.03,607.94,581.23,594.59,2082200.0,,19.36,22.87
2020-02-06,601.23,602.34,6.4,,,57.19,608.54,582.63,595.58,2297200.0,,17.33,24.77
2020-02-07,604.49,603.56,6.47,,,61.14,609.77,583.09,596.43,2484100.0,,16.57,23.68
2020-02-10,606.17,606.38,6.94,,,70.26,612.24,582.43,597.34,2754400.0,13.19,20.59,22.17
2020-02-11,607.32,608.78,7.35,,,72.34,614.71,581.83,598.27,3099400.0,12.61,24.05,20.58
2020-02-12,611.69,613.57,8.35,,,82.05,618.88,581.31,600.1,3665800.0,12.94,25.55,18.57
2020-02-13,618.1,620.96,10.05,,,88.63,625.9,579.25,602.57,4174100.0,14.8,29.53,15.35
2020-02-14,626.63,630.19,12.29,,,92.26,635.73,574.77,605.25,4612700.0,17.97,37.83,13.44
2020-02-18,632.94,634.66,13.5,,,79.78,641.68,574.38,608.03,4184800.0,20.77,35.13,12.49
2020-02-19,638.97,637.68,14.31,9.52,4.79,79.86,646.68,574.75,610.72,4589800.0,23.26,33.14,11.75
2020-02-20,644.02,641.25,15.15,10.65,4.51,83.14,651.92,575.2,613.56,4943400.0,25.02,31.05,12.45
2020-02-21,648.07,646.16,16.25,11.77,4.48,87.33,658.2,574.92,616.56,5548300.0,27.24,34.06,11.36
2020-02-24,647.32,645.74,16.03,12.62,3.41,60.08,660.98,577.43,619.21,5005100.0,28.01,30.07,14.14
2020-02-25,645.0,641.15,14.65,13.03,1.63,41.31,661.56,580.66,621.11,4327400.0,27.1,26.69,18.78
2020-02-26,642.22,637.38,13.23,13.07,0.17,38.8,662.16,582.78,622.47,3912800.0,25.91,24.59,18.89
2020-02-27,632.04,624.09,9.39,12.33,-2.94,18.06,662.48,581.94,622.21,3194600.0,25.42,20.18,30.31
2020-02-28,615.4,606.99,4.3,10.73,-6.42,11.96,665.72,575.68,620.7,2062600.0,26.82,16.87,41.62
2020-03-02,610.2,610.95,3.94,9.37,-5.43,50.76,664.9,579.41,622.16,2819700.0,25.61,26.18,33.38
2020-03-03,606.83,612.36,3.32,8.16,-4.84,48.6,664.77,580.7,622.74,2140900.0,23.67,28.06,28.95
2020-03-04,609.96,623.4,5.21,7.57,-2.36,64.15,667.18,582.05,624.62,2727300.0,22.33,29.43,25.59
2020-03-05,613.8,621.16,4.34,6.92,-2.59,47.19,666.78,584.0,625.39,2149200.0,20.63,25.87,26.31
2020-03-06,620.97,616.99,2.96,6.13,-3.17,43.23,666.56,584.71,625.64,1322900.0,20.41,22.91,32.85
2020-03-09,612.01,602.68,-0.91,4.72,-5.63,29.72,670.08,578.0,624.04,598400.0,20.68,20.12,32.77
2020-03-10,611.03,605.22,-1.04,3.57,-4.61,50.11,670.09,577.82,623.95,1304800.0,20.18,21.38,28.49
2020-03-11,601.7,603.08,-2.05,2.45,-4.49,44.94,670.45,575.98,623.21,406900.0,19.73,19.77,26.36
2020-03-12,591.39,590.43,-5.5,0.86,-6.36,32.62,673.91,566.72,620.31,-597000.0,20.69,16.94,33.13
2020-03-13,593.87,600.65,-3.68,-0.05,-3.63,57.08,672.71,566.45,619.58,484100.0,20.12,21.67,28.26
2020-03-16,587.55,581.24,-8.48,-1.74,-6.75,34.85,675.35,553.19,614.27,-534800.0,20.69,17.4,30.64
2020-03-17,580.53,579.22,-9.54,-3.3,-6.24,45.83,672.64,549.06,610.85,680700.0,20.68,17.86,27.12
2020-03-18,575.19,576.86,-10.5,-4.74,-5.76,44.95,669.32,545.22,607.27,-347200.0,21.22,16.05,28.43
2020-03-19,572.17,567.91,-12.9,-6.37,-6.53,38.27,666.15,538.54,602.35,-1332400.0,21.48,15.34,25.44
2020-03-20,549.25,547.44,-18.1,-8.72,-9.38,28.04,666.35,523.4,594.88,-2562700.0,22.72,13.48,30.06
2020-03-23,538.6,528.01,-23.36,-11.64,-11.71,24.73,668.34,505.84,587.09,-3444800.0,24.17,12.76,31.3
2020-03-24,532.74,533.97,-22.68,-13.85,-8.83,49.18,663.18,502.38,582.78,-2530500.0,23.64,19.64,27.76
2020-03-25,529.09,540.62,-21.25,-15.33,-5.92,51.94,657.28,500.69,578.99,-1806700.0,21.94,24.67,24.98
2020-03-26,536.61,556.27,-17.2,-15.71,-1.5,62.59,656.44,500.55,578.49,-1052000.0,20.55,24.25,22.75
2020-03-27,554.16,568.94,-13.3,-15.23,1.92,64.54,657.76,501.37,579.57,-435800.0,19.29,22.32,20.82
2020-03-30,585.31,594.25,-6.06,-13.39,7.33,76.25,662.42,499.31,580.86,342800.0,19.23,27.48,18.96
2020-03-31,601.04,604.36,-1.94,-11.1,9.17,65.42,663.78,498.89,581.34,-792200.0,19.16,25.94,17.89
2020-04-01,609.35,601.39,-1.0,-9.08,8.08,52.14,656.22,501.45,578.83,-1507000.0,18.15,24.06,21.62
2020-04-02,617.06,609.64,2.19,-6.83,9.01,62.24,657.73,500.89,579.31,-705500.0,17.45,24.03,20.24
2020-04-03,623.15,614.66,4.54,-4.55,9.1,61.47,660.02,500.19,580.11,-1262700.0,16.99,23.95,19.14
2020-04-06,624.62,627.18,8.53,-1.94,10.47,70.18,669.79,498.24,584.02,-563900.0,17.14,26.45,18.01
2020-04-07,624.43,625.99,9.28,0.31,8.98,54.25,671.47,497.9,584.68,-1185100.0,17.74,27.35,16.27
2020-04-08,638.19,638.75,13.01,2.85,10.16,67.4,681.31,494.6,587.96,-651400.0,18.29,25.21,15.02
2020-04-09,650.35,654.81,17.58,5.79,11.79,72.84,696.14,491.96,594.05,252900.0,19.32,28.06,14.3
2020-04-13,656.85,655.6,18.6,8.35,10.24,57.18,701.02,490.68,595.85,-288100.0,19.46,26.04,16.92
2020-04-14,664.18,666.7,21.71,11.02,10.68,66.71,712.75,493.6,603.18,261700.0,19.91,26.76,15.8
2020-04-15,674.56,669.64,22.83,13.39,9.44,59.71,721.31,495.07,608.19,-99400.0,20.09,25.65,16.26
2020-04-16,678.26,674.01,24.03,15.51,8.51,62.38,730.02,497.42,613.72,422300.0,20.01,24.31,16.58
2020-04-17,679.86,680.99,25.66,17.54,8.12,66.99,738.54,503.4,620.97,924900.0,20.17,24.7,15.74
2020-04-20,682.57,677.58,24.72,18.98,5.74,51.37,736.09,522.28,629.18,405400.0,20.16,23.35,15.53
2020-04-21,679.23,675.78,23.82,19.95,3.87,52.2,725.18,551.49,638.33,826100.0,19.69,22.18,16.84
2020-04-22,681.09,678.79,23.84,20.73,3.12,59.71,723.2,567.36,645.28,1260100.0,19.79,24.48,15.96
2020-04-23,681.64,681.02,23.65,21.31,2.34,60.15,719.33,584.39,651.86,1642500.0,19.89,23.64,15.38
2020-04-24,679.67,682.38,23.19,21.69,1.51,59.7,718.8,594.67,656.73,1182700.0,19.61,22.81,16.55
2020-04-27,685.92,688.92,23.92,22.13,1.79,71.3,720.13,604.11,662.12,1532500.0,19.9,25.51,15.76
2020-04-28,688.23,687.2,22.76,22.26,0.5,51.35,722.24,605.89,664.07,1158200.0,20.42,25.55,14.62
2020-04-29,687.13,684.57,21.24,22.06,-0.81,47.33,722.38,611.23,666.8,552400.0,20.4,24.6,16.36
