Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,19249360.0,,,
2020-01-02,,,,,,,,,,47383980.0,,,
2020-01-03,,,,,,,,,,23643860.0,,,
2020-01-06,,,,,,,,,,58306840.0,,,
2020-01-07,68.53,68.53,,,,,,,,30539320.0,,,
2020-01-08,69.2,69.09,,,,91.57,,,,61122860.0,,,
2020-01-09,69.72,69.72,,,,93.96,,,,91176140.0,,,
2020-01-10,70.41,70.31,,,,95.07,,,,127607460.0,,,
2020-01-13,70.86,70.86,,,,95.97,,,,160677100.0,,,
2020-01-14,71.24,71.09,,,,80.04,,,,129468040.0,,,
2020-01-15,71.59,71.38,,,,83.46,,,,155121740.0,,,
2020-01-16,71.91,71.78,,,,87.48,,,,178595500.0,,,
2020-01-17,72.41,72.53,,,,92.63,,,,226519800.0,,,
2020-01-21,72.87,73.09,,,,93.12,,,,267255400.0,,,
2020-01-22,73.42,73.49,,,,93.34,,,,299472320.0,,56.72,0.0
2020-01-23,73.89,73.77,,,,93.46,,,,326499400.0,,52.58,1.54
2020-01-24,74.04,73.63,,,,57.7,,,,290806520.0,,44.66,9.7
2020-01-27,73.58,72.98,,,,32.29,,,,255702500.0,,35.9,26.78
2020-01-28,73.26,72.86,,,,48.44,,,,287250940.0,,39.87,24.14
2020-01-29,72.98,72.89,,,,52.99,75.78,67.3,71.54,308824280.0,,40.69,22.27
2020-01-30,72.68,72.86,,,,50.43,75.52,68.16,71.84,282035860.0,,37.01,24.46
2020-01-31,72.35,72.47,,,,34.36,75.32,68.69,72.01,233691580.0,,36.06,20.69
2020-02-03,72.87,73.08,,,,66.4,75.24,69.4,72.32,294795900.0,,35.98,16.92
2020-02-04,72.82,72.84,,,,45.52,75.11,69.79,72.45,216136820.0,,29.75,23.49
2020-02-05,72.71,72.7,,,,46.15,74.92,70.25,72.59,255859960.0,,26.94,21.27
2020-02-06,72.92,73.07,0.92,,,60.11,74.89,70.65,72.77,289447640.0,,29.45,19.29
2020-02-07,73.37,73.37,0.94,,,61.44,74.93,70.9,72.92,312893040.0,,28.91,18.23
2020-02-10,73.59,74.06,1.07,,,72.69,75.3,70.93,73.11,341290560.0,31.59,32.61,16.47
2020-02-11,74.21,74.52,1.16,,,72.72,75.62,70.95,73.29,368183220.0,32.5,36.0,15.38
2020-02-12,74.91,74.98,1.25,,,76.21,75.96,71.05,73.51,391534520.0,33.28,34.71,14.83
2020-02-13,75.3,75.23,1.3,,,71.84,76.23,71.16,73.7,372939920.0,34.2,34.32,13.86
2020-02-14,75.71,75.5,1.34,,,74.87,76.54,71.2,73.87,396896640.0,35.0,32.95,13.31
2020-02-18,75.82,75.66,1.36,,,73.14,76.79,71.14,73.97,374473840.0,36.09,34.34,12.54
2020-02-19,76.0,75.89,1.38,1.19,0.19,77.42,77.08,71.06,74.07,393459200.0,37.07,33.15,12.05
2020-02-20,76.0,75.89,1.35,1.22,0.13,62.31,77.26,71.04,74.15,371528160.0,36.63,30.79,15.76
2020-02-21,75.7,75.35,1.18,1.22,-0.03,32.05,77.26,71.04,74.15,336882700.0,34.36,27.32,21.87
2020-02-24,74.71,73.92,0.78,1.13,-0.35,14.79,77.41,70.66,74.04,279541640.0,33.42,22.07,35.64
2020-02-25,73.4,72.42,0.33,0.97,-0.64,10.95,77.73,70.11,73.92,229976080.0,33.38,19.09,37.85
2020-02-26,72.06,71.5,-0.02,0.77,-0.79,14.89,77.98,69.57,73.77,274056820.0,33.43,17.42,35.35
2020-02-27,70.06,69.64,-0.58,0.5,-1.08,7.92,78.85,67.99,73.42,214490820.0,34.75,14.58,42.86
2020-02-28,68.61,68.75,-0.94,0.21,-1.15,21.0,79.24,67.02,73.13,290303180.0,36.6,12.54,46.06
2020-03-02,68.28,68.98,-1.0,-0.03,-0.97,44.2,79.31,66.72,73.02,338932540.0,36.31,20.4,40.51
