Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,3789900.0,,,
2020-01-02,,,,,,,,,,7725600.0,,,
2020-01-03,,,,,,,,,,4302400.0,,,
2020-01-06,,,,,,,,,,9985200.0,,,
2020-01-07,219.09,219.09,,,,,,,,4299800.0,,,
2020-01-08,219.77,219.99,,,,74.48,,,,9216000.0,,,
2020-01-09,220.88,221.72,,,,85.08,,,,14059600.0,,,
2020-01-10,221.94,222.56,,,,74.1,,,,9833000.0,,,
2020-01-13,222.61,222.82,,,,64.64,,,,3772100.0,,,
2020-01-14,223.47,222.81,,,,58.98,,,,-143000.0,,,
2020-01-15,224.03,223.41,,,,70.01,,,,3301300.0,,,
2020-01-16,224.76,225.21,,,,83.33,,,,8692100.0,,,
2020-01-17,226.29,227.44,,,,88.14,,,,16671300.0,,,
2020-01-21,228.22,229.28,,,,89.43,,,,21544800.0,,,
2020-01-22,230.23,230.49,,,,88.85,,,,17514000.0,,47.99,3.32
2020-01-23,232.05,231.54,,,,90.05,,,,22131900.0,,41.53,10.08
2020-01-24,232.68,231.69,,,,69.42,,,,17664400.0,,37.34,8.63
2020-01-27,232.54,231.53,,,,60.86,,,,14068800.0,,32.86,14.22
2020-01-28,232.72,232.3,,,,74.04,,,,17690700.0,,36.76,12.67
2020-01-29,232.94,232.88,,,,74.68,237.96,214.91,226.43,20254700.0,,36.0,11.82
2020-01-30,232.77,232.85,,,,60.4,238.37,215.94,227.15,15569000.0,,33.6,16.01
2020-01-31,231.99,231.26,,,,31.6,238.26,216.9,227.58,10264300.0,,29.05,23.17
2020-02-03,232.06,231.36,,,,52.41,238.24,218.17,228.21,15365200.0,,26.01,20.18
2020-02-04,232.29,232.57,,,,65.57,238.66,219.26,228.96,18870300.0,,29.6,17.96
2020-02-05,233.11,234.42,,,,73.74,239.17,220.71,229.94,22738900.0,,31.82,16.61
2020-02-06,234.32,235.89,5.0,,,75.45,240.0,221.58,230.79,26669200.0,,32.93,15.86
2020-02-07,236.16,236.36,4.95,,,64.4,240.64,222.15,231.4,24213100.0,,30.62,16.99
2020-02-10,237.97,237.78,5.13,,,74.45,241.68,222.76,232.22,26781100.0,36.22,29.99,15.28
2020-02-11,239.3,239.06,5.29,,,76.98,242.52,223.74,233.13,29473500.0,36.47,32.68,14.49
2020-02-12,240.0,239.91,5.35,,,76.52,242.88,225.26,234.07,25881400.0,35.73,30.09,16.46
2020-02-13,240.7,240.72,5.4,,,78.94,243.34,226.58,234.96,28349500.0,35.54,30.86,15.25
2020-02-14,242.25,242.16,5.59,,,85.44,244.73,226.8,235.77,31191100.0,35.88,32.53,14.26
2020-02-18,242.91,242.75,5.59,,,73.81,245.82,226.92,236.37,28298500.0,36.45,32.41,13.28
2020-02-19,243.31,243.05,5.5,5.31,0.19,70.51,246.72,227.09,236.91,25585200.0,36.84,30.52,12.86
2020-02-20,244.4,244.37,5.63,5.37,0.26,81.91,248.18,227.05,237.61,29287000.0,37.65,30.75,11.43
2020-02-21,244.99,244.69,5.54,5.41,0.13,66.05,249.11,227.28,238.2,25405900.0,38.44,28.98,10.57
2020-02-24,243.93,243.03,4.96,5.32,-0.36,36.44,249.13,228.03,238.58,20055800.0,35.61,24.48,21.73
2020-02-25,242.62,241.15,4.26,5.11,-0.85,29.61,248.9,228.88,238.89,11994300.0,34.31,26.78,17.67
2020-02-26,240.94,239.19,3.5,4.78,-1.29,24.43,248.85,229.07,238.96,5031300.0,32.27,23.73,19.32
2020-02-27,236.49,234.37,2.02,4.23,-2.22,11.64,250.01,226.99,238.5,-2581500.0,31.41,19.84,31.07
2020-02-28,230.99,228.86,0.28,3.44,-3.16,8.16,252.21,223.29,237.75,-14391100.0,32.47,16.48,42.54
2020-03-02,229.03,229.22,-0.11,2.73,-2.84,44.58,252.08,223.61,237.84,-7240300.0,31.27,25.14,36.08
2020-03-03,227.15,228.79,-0.58,2.07,-2.65,41.2,252.3,223.03,237.66,-15672800.0,29.11,28.97,31.71
2020-03-04,228.31,232.89,0.11,1.68,-1.57,63.75,252.62,223.31,237.97,-8902800.0,27.28,30.74,27.09
2020-03-05,230.32,233.53,0.15,1.37,-1.22,51.88,252.52,223.08,237.8,-15376700.0,25.62,28.13,24.79
2020-03-06,232.46,231.86,-0.33,1.03,-1.36,42.05,252.54,222.03,237.28,-22776600.0,24.71,24.57,32.64
2020-03-09,228.56,224.72,-2.14,0.4,-2.53,25.05,255.16,216.72,235.94,-32897100.0,25.37,19.96,39.75
2020-03-10,228.11,225.05,-2.31,-0.14,-2.17,47.47,254.78,215.61,235.2,-25690500.0,24.6,25.41,34.68
2020-03-11,222.47,221.0,-3.45,-0.8,-2.64,36.12,255.36,212.16,233.76,-32944400.0,23.94,22.38,30.93
2020-03-12,213.63,210.86,-6.07,-1.86,-4.22,23.76,259.51,202.91,231.21,-43873100.0,25.2,18.08,42.55
2020-03-13,209.06,209.13,-6.86,-2.86,-4.0,40.86,259.26,199.49,229.37,-33580800.0,26.35,16.2,38.11
2020-03-16,199.96,194.41,-10.65,-4.42,-6.23,23.26,265.49,185.25,225.37,-46117400.0,28.6,12.44,43.93
2020-03-17,189.55,187.48,-12.8,-6.09,-6.71,31.16,266.88,176.84,221.86,-29883000.0,30.91,11.16,43.54
2020-03-18,178.1,176.87,-15.78,-8.03,-7.75,24.59,269.72,165.19,217.46,-44564900.0,33.45,9.4,43.68
