Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1728900.0,,,
2020-01-02,,,,,,,,,,4586300.0,,,
2020-01-03,,,,,,,,,,1781100.0,,,
2020-01-06,,,,,,,,,,-1496800.0,,,
2020-01-07,178.35,178.35,,,,,,,,1506000.0,,,
2020-01-08,178.51,178.16,,,,49.04,,,,4051500.0,,,
2020-01-09,178.16,178.46,,,,64.87,,,,5841000.0,,,
2020-01-10,178.13,178.53,,,,58.15,,,,4169300.0,,,
2020-01-13,178.88,179.45,,,,77.5,,,,6431200.0,,,
2020-01-14,179.45,179.78,,,,65.51,,,,4240000.0,,,
2020-01-15,180.04,180.1,,,,67.65,,,,6840800.0,,,
2020-01-16,180.68,180.82,,,,77.27,,,,9056200.0,,,
2020-01-17,181.59,181.62,,,,81.6,,,,11664200.0,,,
2020-01-21,181.52,181.39,,,,52.14,,,,9475600.0,,,
2020-01-22,181.44,180.94,,,,44.46,,,,7593900.0,,27.39,16.65
2020-01-23,181.21,180.49,,,,40.48,,,,5159900.0,,25.39,19.21
2020-01-24,180.18,179.37,,,,25.57,,,,2422900.0,,21.21,27.14
2020-01-27,178.25,177.43,,,,15.27,,,,-68600.0,,18.1,35.27
2020-01-28,177.15,176.77,,,,33.25,,,,2109800.0,,21.0,30.63
2020-01-29,176.28,176.4,,,,35.13,183.65,174.11,178.88,4308800.0,,22.89,28.04
2020-01-30,176.03,177.05,,,,55.2,183.64,174.25,178.95,7384900.0,,19.11,29.49
2020-01-31,175.25,175.77,,,,31.69,183.8,173.34,178.57,1884900.0,,15.28,30.63
2020-02-03,174.8,174.29,,,,26.47,184.3,172.09,178.19,-1657800.0,,13.26,28.36
2020-02-04,174.75,174.6,,,,48.29,184.31,171.84,178.08,1334700.0,,12.78,24.95
2020-02-05,175.0,175.36,,,,55.47,184.3,171.78,178.04,4152800.0,,16.01,23.41
2020-02-06,174.6,175.69,-1.8,,,52.51,184.27,171.67,177.97,1725300.0,,16.21,22.28
2020-02-07,175.01,175.56,-1.75,,,46.47,184.16,171.4,177.78,-1529200.0,,15.33,24.98
2020-02-10,176.14,176.02,-1.55,,,56.28,184.07,171.32,177.69,870500.0,23.45,14.11,24.55
2020-02-11,176.93,177.06,-1.2,,,66.42,183.79,171.38,177.59,3819000.0,21.5,20.41,22.62
2020-02-12,177.78,178.44,-0.75,,,73.5,183.9,171.34,177.62,6769800.0,19.85,23.5,21.07
2020-02-13,178.54,179.0,-0.47,,,64.6,183.82,171.37,177.59,4784100.0,18.18,21.95,20.64
2020-02-14,179.64,179.6,-0.2,,,67.78,183.56,171.48,177.52,7273100.0,17.26,23.3,19.59
2020-02-18,180.14,179.54,-0.09,,,55.29,182.85,171.81,177.33,5454500.0,15.77,22.1,21.43
2020-02-19,180.48,179.98,0.11,-0.86,0.97,63.9,182.84,171.81,177.33,7919000.0,15.14,24.03,20.08
2020-02-20,180.38,180.22,0.25,-0.63,0.89,62.24,182.94,171.77,177.36,5582200.0,14.87,23.37,18.31
2020-02-21,180.33,180.11,0.3,-0.45,0.74,53.34,182.98,171.76,177.37,3641800.0,14.45,21.92,17.9
