Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,4435000.0,,,
2020-01-02,,,,,,,,,,10212000.0,,,
2020-01-03,,,,,,,,,,4459600.0,,,
2020-01-06,,,,,,,,,,-3271700.0,,,
2020-01-07,145.04,145.04,,,,,,,,4111200.0,,,
2020-01-08,144.86,145.01,,,,42.68,,,,-2494600.0,,,
2020-01-09,144.74,145.14,,,,56.18,,,,3618100.0,,,
2020-01-10,144.9,145.11,,,,45.83,,,,-1424500.0,,,
2020-01-13,145.22,145.31,,,,62.55,,,,3168700.0,,,
2020-01-14,145.53,145.71,,,,74.94,,,,10206200.0,,,
2020-01-15,145.94,146.14,,,,79.91,,,,15166500.0,,,
2020-01-16,146.5,146.83,,,,87.46,,,,21642500.0,,,
2020-01-17,147.32,147.61,,,,90.93,,,,30726100.0,,,
2020-01-21,148.03,148.16,,,,91.24,,,,40270000.0,,,
2020-01-22,148.38,148.19,,,,63.4,,,,29964700.0,,21.97,23.9
2020-01-23,148.68,148.3,,,,66.87,,,,38636600.0,,19.58,21.3
2020-01-24,148.71,148.31,,,,61.41,,,,29584700.0,,19.47,20.1
2020-01-27,148.62,148.46,,,,68.08,,,,37171800.0,,17.0,22.35
2020-01-28,148.67,148.8,,,,76.81,,,,44508400.0,,20.43,19.7
2020-01-29,149.13,149.38,,,,84.27,150.85,143.19,147.02,50797000.0,,21.38,17.76
2020-01-30,149.49,149.71,,,,78.79,151.3,143.19,147.24,44326400.0,,19.86,16.88
2020-01-31,149.6,149.43,,,,47.09,151.46,143.32,147.39,35674700.0,,18.25,17.45
2020-02-03,149.89,149.68,,,,63.22,151.66,143.7,147.68,41439900.0,,19.16,16.12
2020-02-04,150.31,150.32,,,,74.09,152.03,144.08,148.06,47981300.0,,27.06,14.26
2020-02-05,151.0,151.54,,,,83.98,152.99,144.02,148.51,53961200.0,,29.34,12.61
2020-02-06,151.63,152.2,2.52,,,76.92,153.62,144.26,148.94,47760000.0,,29.19,11.67
2020-02-07,152.24,152.1,2.44,,,55.95,153.81,144.71,149.26,42059700.0,,26.76,15.69
2020-02-10,152.57,152.02,2.35,,,55.6,153.85,145.35,149.6,37224100.0,18.0,25.59,17.85
2020-02-11,152.65,152.01,2.26,,,57.04,153.89,145.94,149.92,40939400.0,18.4,26.73,17.18
2020-02-12,152.07,151.7,2.09,,,44.53,153.82,146.47,150.14,35772600.0,17.94,25.23,19.04
2020-02-13,151.38,151.17,1.86,,,34.13,153.69,146.91,150.3,30292400.0,16.38,23.82,22.78
2020-02-14,151.03,150.82,1.65,,,34.89,153.65,147.14,150.4,36008700.0,15.29,22.18,24.59
