Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,7201600.0,,,
2020-01-02,,,,,,,,,,18005300.0,,,
2020-01-03,,,,,,,,,,7618500.0,,,
2020-01-06,,,,,,,,,,-2640500.0,,,
2020-01-07,138.59,138.59,,,,,,,,-13171800.0,,,
2020-01-08,138.1,138.04,,,,34.29,,,,-3476500.0,,,
2020-01-09,137.37,137.84,,,,41.45,,,,5992500.0,,,
2020-01-10,136.91,137.25,,,,30.18,,,,-4198400.0,,,
2020-01-13,136.71,137.23,,,,45.46,,,,8156800.0,,,
2020-01-14,137.29,137.76,,,,60.69,,,,33062800.0,,,
2020-01-15,137.25,137.41,,,,41.75,,,,16769400.0,,,
2020-01-16,137.21,137.36,,,,47.02,,,,27553200.0,,,
2020-01-17,137.63,137.64,,,,55.94,,,,42250900.0,,,
2020-01-21,137.56,137.37,,,,42.98,,,,33776700.0,,,
2020-01-22,137.14,137.14,,,,41.57,,,,26227600.0,,22.68,26.43
2020-01-23,137.1,136.94,,,,40.12,,,,16881900.0,,20.06,32.88
2020-01-24,136.28,135.68,,,,19.55,,,,1715500.0,,15.92,37.83
2020-01-27,135.05,134.46,,,,16.13,,,,-11145000.0,,13.47,43.67
2020-01-28,134.57,134.45,,,,42.87,,,,1917800.0,,20.35,38.26
2020-01-29,134.08,134.38,,,,41.5,140.92,132.62,136.77,-7408200.0,,21.16,35.3
2020-01-30,133.95,134.88,,,,56.13,140.58,132.61,136.6,1640700.0,,18.32,34.47
2020-01-31,133.79,134.04,,,,33.71,139.99,132.33,136.16,-11144500.0,,15.45,33.39
2020-02-03,134.06,133.82,,,,42.0,139.79,132.04,135.91,-1123400.0,,14.42,31.16
2020-02-04,134.23,134.31,,,,55.28,139.5,132.03,135.77,8033700.0,,20.88,27.72
2020-02-05,134.9,135.4,,,,66.7,139.67,132.03,135.85,18184400.0,,22.97,25.44
2020-02-06,135.24,136.14,-0.78,,,66.79,139.75,132.02,135.88,27176700.0,,23.98,24.4
2020-02-07,136.21,136.48,-0.6,,,62.07,139.72,132.02,135.87,20796900.0,,22.81,26.09
2020-02-10,137.08,136.9,-0.41,,,65.96,139.89,132.02,135.95,26757600.0,19.86,22.55,25.04
2020-02-11,137.62,137.27,-0.24,,,67.85,139.99,132.0,135.99,33336200.0,18.03,25.31,24.01
2020-02-12,137.7,137.51,-0.1,,,67.85,139.85,132.06,135.95,33336200.0,16.82,25.67,22.63
2020-02-13,137.76,137.63,0.01,,,65.24,139.99,132.04,136.01,25888700.0,15.65,23.75,26.33
