Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,7982600.0,,,
2020-01-02,,,,,,,,,,-3885100.0,,,
2020-01-03,,,,,,,,,,-15239600.0,,,
2020-01-06,,,,,,,,,,-29937900.0,,,
2020-01-07,54.79,54.79,,,,,,,,-39911800.0,,,
2020-01-08,54.59,54.64,,,,13.34,,,,-29235800.0,,,
2020-01-09,54.66,54.88,,,,67.3,,,,-13837800.0,,,
2020-01-10,54.83,55.09,,,,71.55,,,,-797700.0,,,
2020-01-13,55.12,55.44,,,,81.2,,,,13505200.0,,,
2020-01-14,55.47,55.63,,,,74.37,,,,-2840100.0,,,
2020-01-15,55.94,55.98,,,,83.63,,,,14895300.0,,,
2020-01-16,56.24,56.26,,,,84.81,,,,25129400.0,,,
2020-01-17,56.52,56.49,,,,86.06,,,,39393700.0,,,
2020-01-21,56.73,56.72,,,,88.36,,,,51362600.0,,,
2020-01-22,57.05,57.01,,,,91.65,,,,64232200.0,,37.76,13.7
2020-01-23,57.27,57.29,,,,92.91,,,,77091100.0,,37.4,12.23
2020-01-24,57.45,57.42,,,,82.36,,,,68496800.0,,35.06,11.35
2020-01-27,57.55,57.44,,,,69.26,,,,54136900.0,,30.86,15.48
2020-01-28,57.52,57.3,,,,47.2,,,,38896700.0,,27.07,16.1
2020-01-29,57.4,57.2,,,,47.2,58.51,53.85,56.18,38896700.0,,24.57,19.38
2020-01-30,57.61,57.75,,,,82.16,58.92,53.78,56.35,59122300.0,,40.0,14.61
2020-01-31,57.75,57.97,,,,68.14,59.16,53.88,56.52,41437100.0,,36.75,12.99
2020-02-03,57.97,58.17,,,,70.59,59.36,54.08,56.72,53770700.0,,34.24,12.1
2020-02-04,58.34,58.4,,,,74.18,59.55,54.31,56.93,69188600.0,,36.36,10.88
2020-02-05,58.71,58.55,,,,74.33,59.6,54.71,57.16,80603500.0,,34.06,11.13
2020-02-06,58.73,58.69,1.29,,,76.71,59.59,55.19,57.39,89950500.0,,35.12,10.47
2020-02-07,58.89,58.86,1.28,,,80.02,59.7,55.46,57.58,98708300.0,,33.13,9.87
2020-02-10,59.12,59.16,1.31,,,86.65,59.9,55.69,57.79,106693200.0,47.11,36.78,9.11
2020-02-11,59.27,59.3,1.3,,,77.47,60.06,55.87,57.96,99262000.0,48.52,34.63,8.58
2020-02-12,59.39,59.34,1.27,,,67.42,60.12,56.15,58.14,90082900.0,49.73,32.71,8.1
2020-02-13,59.51,59.43,1.24,,,72.39,60.25,56.31,58.28,98256100.0,50.23,30.18,8.82
2020-02-14,59.66,59.6,1.23,,,79.15,60.41,56.46,58.44,108221600.0,50.99,31.32,8.32
2020-02-18,59.62,59.58,1.18,,,57.43,60.47,56.66,58.57,98145900.0,50.84,29.35,9.93
2020-02-19,59.65,59.64,1.14,1.25,-0.11,64.41,60.56,56.84,58.7,104411600.0,50.82,28.27,9.27
