Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,775400.0,,,
2020-01-02,,,,,,,,,,2033800.0,,,
2020-01-03,,,,,,,,,,5023900.0,,,
2020-01-06,,,,,,,,,,2546100.0,,,
2020-01-07,406.02,406.02,,,,,,,,3606000.0,,,
2020-01-08,410.35,407.69,,,,76.43,,,,1897900.0,,,
2020-01-09,413.46,410.1,,,,81.82,,,,2962200.0,,,
2020-01-10,413.48,411.35,,,,75.72,,,,1974400.0,,,
2020-01-13,414.66,413.9,,,,83.14,,,,2961200.0,,,
2020-01-14,414.99,414.65,,,,68.6,,,,1994000.0,,,
2020-01-15,416.97,416.75,,,,77.0,,,,2827000.0,,,
2020-01-16,419.13,419.73,,,,82.71,,,,3912200.0,,,
2020-01-17,421.49,421.71,,,,82.49,,,,2716600.0,,,
2020-01-21,422.92,423.19,,,,83.16,,,,3788000.0,,,
2020-01-22,424.58,423.6,,,,71.12,,,,2869300.0,,41.59,2.5
2020-01-23,426.14,425.33,,,,80.17,,,,3847700.0,,39.39,2.25
2020-01-24,427.5,427.72,,,,85.13,,,,4934400.0,,43.02,2.07
2020-01-27,428.85,429.27,,,,84.28,,,,3196500.0,,37.08,7.94
2020-01-28,431.05,431.9,,,,89.51,,,,5259700.0,,36.83,6.51
2020-01-29,432.93,432.55,,,,69.43,442.58,396.68,419.63,3991200.0,,33.28,5.88
2020-01-30,434.36,433.67,,,,73.95,441.32,402.59,421.96,5201400.0,,30.28,6.27
2020-01-31,433.48,431.82,,,,43.55,439.89,406.89,423.39,3551300.0,,26.5,10.89
2020-02-03,431.78,429.17,,,,33.99,439.79,408.01,423.9,1755500.0,,23.88,14.85
2020-02-04,430.5,429.7,,,,54.35,440.13,409.43,424.78,2971800.0,,23.94,13.4
2020-02-05,430.77,431.53,,,,63.35,441.05,410.59,425.82,4223600.0,,26.65,12.3
2020-02-06,431.38,434.01,8.04,,,69.74,441.88,412.55,427.21,5057100.0,,29.81,11.56
2020-02-07,433.59,435.73,8.13,,,70.09,442.83,414.02,428.43,5940900.0,,30.03,11.0
2020-02-10,436.77,437.07,8.16,,,71.29,443.28,416.16,429.72,6811300.0,52.72,29.02,10.49
2020-02-11,438.59,438.0,8.09,,,71.51,444.07,417.46,430.76,7555900.0,52.29,28.43,9.81
2020-02-12,438.87,437.53,7.69,,,53.18,443.49,420.08,431.79,6136700.0,50.49,26.52,12.83
2020-02-13,438.02,436.59,7.13,,,44.79,443.12,421.83,432.48,5336500.0,48.79,24.81,12.39
2020-02-14,437.75,437.01,6.87,,,58.39,443.49,422.67,433.08,6285100.0,47.29,23.45,11.71
2020-02-18,436.91,436.52,6.4,,,47.67,443.46,423.7,433.58,5509000.0,46.1,22.55,10.95
2020-02-19,435.84,435.84,5.88,7.38,-1.5,43.07,443.27,424.72,433.99,4721800.0,45.04,21.38,10.37
2020-02-20,433.71,432.55,4.72,6.84,-2.13,21.99,443.05,425.09,434.07,3531200.0,41.72,18.47,21.83
2020-02-21,432.33,430.97,3.9,6.26,-2.35,31.06,443.12,424.92,434.02,4586700.0,39.14,17.07,22.05
2020-02-24,428.63,427.09,2.55,5.51,-2.97,18.59,444.49,422.24,433.36,3468900.0,37.87,15.09,24.94
2020-02-25,421.59,418.18,-0.06,4.4,-4.46,8.73,449.96,413.57,431.76,1868800.0,39.31,11.52,39.17
2020-02-26,414.88,412.42,-2.06,3.11,-5.17,10.42,452.37,407.53,429.95,3546800.0,40.6,10.3,35.04
2020-02-27,406.6,403.15,-4.9,1.51,-6.41,6.14,457.27,397.71,427.49,1652700.0,42.72,8.82,43.04
2020-02-28,395.02,392.06,-8.25,-0.45,-7.8,4.19,462.82,385.55,424.19,-1711100.0,45.49,7.19,53.38
2020-03-02,387.42,388.49,-9.86,-2.33,-7.53,26.8,464.68,379.01,421.85,1148800.0,46.39,12.5,45.04
2020-03-03,382.82,384.79,-11.33,-4.13,-7.2,24.33,466.51,372.54,419.53,-1382600.0,45.29,19.8,39.11
2020-03-04,383.05,390.54,-10.38,-5.38,-5.0,55.96,465.37,370.81,418.09,643200.0,43.58,20.39,33.19
2020-03-05,383.07,388.59,-10.9,-6.48,-4.42,40.92,464.29,366.84,415.56,-1324000.0,42.08,18.1,30.01
2020-03-06,385.59,386.55,-11.37,-7.46,-3.91,39.22,462.25,363.22,412.74,-3485000.0,41.6,16.45,34.89
2020-03-09,379.73,375.04,-14.03,-8.78,-5.26,22.97,462.91,353.85,408.38,-6571700.0,41.99,13.87,38.07
2020-03-10,377.68,372.42,-14.75,-9.97,-4.78,38.75,460.1,349.41,404.75,-4066100.0,42.38,12.69,35.18
2020-03-11,368.66,367.26,-15.96,-11.17,-4.79,33.03,457.22,343.99,400.61,-6016900.0,42.77,11.61,32.58
2020-03-12,354.0,348.63,-20.36,-13.01,-7.35,18.14,460.54,328.15,394.34,-9909500.0,44.42,9.32,42.91
2020-03-13,343.22,341.95,-22.2,-14.85,-7.36,32.51,458.38,319.7,389.04,-6031700.0,46.1,8.33,41.2
2020-03-16,330.4,323.95,-26.64,-17.2,-9.43,21.41,459.97,303.11,381.54,-8383200.0,47.99,6.99,41.25
2020-03-17,320.73,322.24,-27.34,-19.23,-8.11,40.65,454.56,296.85,375.71,-5757000.0,48.94,8.98,36.57
2020-03-18,316.03,325.96,-26.42,-20.67,-5.75,48.14,446.7,294.61,370.65,-2167600.0,48.11,14.14,31.44
2020-03-19,316.59,322.04,-26.93,-21.92,-5.01,39.86,440.45,289.68,365.07,-5004300.0,47.35,13.09,29.11
2020-03-20,309.12,311.77,-28.86,-23.31,-5.55,31.7,434.4,282.08,358.24,-8044400.0,47.39,11.94,33.87
2020-03-23,306.89,300.11,-31.19,-24.88,-6.3,27.32,429.7,272.52,351.11,-11216500.0,47.98,10.99,38.16
2020-03-24,300.91,296.38,-31.69,-26.25,-5.44,36.53,425.17,265.91,345.54,-8128100.0,47.92,12.89,35.94
2020-03-25,298.16,304.14,-29.27,-26.85,-2.42,54.75,417.61,265.34,341.48,-5178000.0,45.71,21.82,31.49
2020-03-26,305.39,319.54,-24.59,-26.4,1.8,66.67,413.44,266.09,339.76,-2497100.0,42.63,26.29,28.49
2020-03-27,316.82,329.15,-20.81,-25.28,4.47,65.3,411.19,266.18,338.69,-6059900.0,39.73,27.76,26.01
2020-03-30,331.23,335.72,-17.56,-23.74,6.17,65.52,407.08,267.04,337.06,-4303600.0,37.05,26.59,24.91
2020-03-31,341.24,336.8,-15.61,-22.11,6.5,56.4,402.69,267.59,335.14,-6472900.0,34.37,25.55,25.8
2020-04-01,345.01,337.37,-13.94,-20.48,6.54,55.97,392.22,271.71,331.96,-8555200.0,32.5,24.03,28.72
2020-04-02,345.73,342.9,-11.24,-18.63,7.39,67.06,386.65,274.2,330.43,-6659000.0,30.16,26.67,26.96
2020-04-03,346.16,345.43,-9.27,-16.76,7.49,62.64,380.7,276.96,328.83,-8772200.0,28.01,26.73,26.4
2020-04-06,349.98,352.94,-6.23,-14.65,8.42,73.61,383.35,275.9,329.62,-6246800.0,26.64,29.72,24.67
2020-04-07,353.24,353.72,-4.79,-12.68,7.89,58.12,381.32,276.74,329.03,-8348300.0,25.87,30.93,22.42
2020-04-08,357.82,356.28,-3.12,-10.77,7.65,62.85,382.06,276.45,329.25,-6900600.0,25.15,29.14,21.12
2020-04-09,361.23,361.19,-1.01,-8.82,7.81,69.57,387.35,277.12,332.24,-5271200.0,24.64,28.91,20.05
2020-04-13,365.12,364.11,0.57,-6.94,7.51,67.87,391.76,276.84,334.3,-6508400.0,24.16,28.06,19.45
2020-04-14,367.53,369.41,2.61,-5.03,7.64,75.09,395.52,282.29,338.91,-4855000.0,24.27,30.91,18.29
2020-04-15,371.35,371.07,3.73,-3.28,7.0,64.88,399.53,283.84,341.68,-6106500.0,23.88,29.46,20.09
2020-04-16,374.65,373.34,4.84,-1.65,6.49,68.23,403.69,284.12,343.91,-4538100.0,23.73,30.22,19.41
2020-04-17,380.75,382.73,7.54,0.18,7.35,82.39,411.4,285.15,348.27,-2769700.0,24.44,35.38,17.62
2020-04-20,383.4,382.89,8.11,1.77,6.34,57.56,411.98,293.77,352.87,-4256900.0,24.97,32.94,17.01
2020-04-21,382.08,379.74,7.68,2.95,4.73,47.92,405.95,309.46,357.71,-6298900.0,24.62,30.29,20.2
2020-04-22,383.29,379.96,7.82,3.92,3.89,54.68,399.7,324.86,362.28,-5110500.0,24.28,29.06,19.38
2020-04-23,383.06,378.88,7.54,4.65,2.89,50.37,397.48,332.79,365.13,-6274900.0,24.02,28.42,18.71
2020-04-24,379.11,379.85,7.64,5.25,2.39,56.28,399.07,334.34,366.7,-5245700.0,23.52,27.12,19.18
2020-04-27,378.18,379.42,7.37,5.67,1.7,51.42,399.83,336.6,368.21,-6703100.0,23.07,26.42,18.67
2020-04-28,380.44,381.19,7.57,6.05,1.52,59.78,401.09,338.92,370.01,-5389200.0,22.87,27.02,17.9
2020-04-29,381.94,383.43,7.9,6.42,1.48,63.8,400.98,343.93,372.46,-3888800.0,23.01,27.87,16.77
2020-04-30,384.41,385.31,8.15,6.77,1.39,65.37,399.74,350.23,374.98,-2545500.0,23.14,26.46,15.92
2020-05-01,384.75,384.69,7.82,6.98,0.84,51.77,399.48,353.43,376.46,-3457100.0,23.27,25.45,15.32
2020-05-04,385.07,383.18,7.2,7.02,0.18,44.86,397.67,358.21,377.94,-4535000.0,22.66,24.29,18.03
2020-05-05,386.18,385.56,7.44,7.11,0.33,63.51,398.93,359.19,379.06,-3264100.0,22.76,27.63,16.9
2020-05-06,384.31,383.23,6.61,7.01,-0.4,42.66,396.85,363.6,380.22,-4353900.0,22.53,25.9,17.44
2020-05-07,381.81,381.0,5.72,6.75,-1.03,39.82,395.34,366.63,380.98,-5815900.0,22.06,24.82,17.95
2020-05-08,380.8,380.13,5.11,6.42,-1.31,44.07,395.02,367.68,381.35,-4685500.0,21.63,24.16,17.48
2020-05-11,380.08,378.94,4.42,6.02,-1.6,40.53,394.53,368.84,381.68,-5973300.0,21.0,23.43,18.14
2020-05-12,376.24,376.33,3.4,5.5,-2.1,31.24,394.88,367.6,381.24,-7421000.0,20.05,21.91,18.73
2020-05-13,373.36,372.28,2.01,4.8,-2.79,22.9,396.02,365.44,380.73,-8708400.0,18.98,20.59,22.79
2020-05-14,369.31,366.95,0.27,3.89,-3.63,16.59,398.27,361.02,379.65,-10484800.0,18.81,19.18,26.85
2020-05-15,365.71,364.76,-0.77,2.96,-3.73,29.29,395.16,360.02,377.59,-8630300.0,18.66,18.14,25.4
2020-05-18,365.9,369.02,-0.21,2.33,-2.54,60.54,394.68,359.93,377.31,-6750600.0,17.94,26.75,22.54
2020-05-19,365.98,369.84,-0.25,1.81,-2.06,50.65,394.69,359.72,377.21,-7837700.0,17.42,26.17,21.1
