Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,2478600.0,,,
2020-01-02,,,,,,,,,,5751000.0,,,
2020-01-03,,,,,,,,,,3249700.0,,,
2020-01-06,,,,,,,,,,6556900.0,,,
2020-01-07,300.77,300.77,,,,,,,,3374900.0,,,
2020-01-08,302.07,302.21,,,,75.96,,,,6599300.0,,,
2020-01-09,303.21,304.51,,,,84.14,,,,9891900.0,,,
2020-01-10,305.36,306.73,,,,87.0,,,,12839900.0,,,
2020-01-13,308.16,309.56,,,,90.97,,,,16076300.0,,,
2020-01-14,310.24,309.92,,,,63.53,,,,11124900.0,,,
2020-01-15,312.07,311.36,,,,71.9,,,,15789100.0,,,
2020-01-16,314.31,314.34,,,,81.02,,,,19112400.0,,,
2020-01-17,316.81,317.45,,,,84.51,,,,23933400.0,,,
2020-01-21,318.16,318.94,,,,75.57,,,,17934800.0,,,
2020-01-22,320.89,320.73,,,,79.33,,,,21453300.0,,42.43,7.96
2020-01-23,323.04,322.15,,,,80.39,,,,25641600.0,,39.67,11.43
2020-01-24,323.71,322.65,,,,71.42,,,,22006900.0,,39.01,10.12
2020-01-27,322.13,320.36,,,,38.79,,,,17639400.0,,31.09,24.7
2020-01-28,321.8,320.33,,,,53.81,,,,21125600.0,,31.58,22.08
2020-01-29,321.0,320.33,,,,53.97,331.1,295.35,313.23,25515000.0,,32.4,19.3
2020-01-30,320.9,321.7,,,,65.95,331.71,297.33,314.52,29027100.0,,29.37,17.25
2020-01-31,319.35,319.78,,,,39.51,331.56,298.73,315.15,23440300.0,,25.11,19.86
2020-02-03,321.1,321.36,,,,59.8,331.77,300.93,316.35,27680400.0,,23.23,17.28
2020-02-04,322.87,323.95,,,,67.17,332.47,303.02,317.75,31838600.0,,29.32,15.62
2020-02-05,324.47,325.41,,,,64.6,332.19,306.12,319.15,27970600.0,,29.43,13.52
2020-02-06,325.44,326.7,7.04,,,66.56,332.41,308.32,320.36,31392600.0,,28.1,12.91
2020-02-07,327.65,326.8,6.83,,,57.24,332.45,310.06,321.26,28808400.0,,26.64,14.6
2020-02-10,328.8,327.96,6.86,,,65.78,333.06,311.37,322.21,32656500.0,30.77,25.54,13.68
2020-02-11,329.16,328.95,6.85,,,67.37,333.98,312.02,323.0,36105800.0,31.89,30.43,12.63
2020-02-12,330.33,330.69,7.02,,,74.78,334.63,313.72,324.17,38556800.0,32.65,28.34,12.34
2020-02-13,331.64,332.4,7.21,,,78.02,335.85,314.66,325.25,41557800.0,33.95,30.65,11.43
2020-02-14,334.43,335.25,7.68,,,85.23,338.63,313.94,326.29,44274100.0,35.6,32.77,10.65
2020-02-18,336.62,337.25,7.99,,,85.56,341.04,313.29,327.16,47871400.0,37.34,34.36,10.25
2020-02-19,339.35,339.69,8.4,7.32,1.08,89.11,343.87,312.72,328.3,50911700.0,39.39,37.16,9.43
2020-02-20,341.41,341.27,8.62,7.58,1.04,88.21,346.26,312.35,329.3,46595700.0,39.46,32.84,14.04
2020-02-21,342.18,340.75,8.32,7.73,0.59,57.16,347.45,312.63,330.04,41598600.0,38.64,29.27,15.66
2020-02-24,338.92,335.39,6.79,7.54,-0.75,23.89,347.43,312.75,330.09,33782600.0,37.07,21.8,33.14
2020-02-25,331.25,324.56,3.77,6.79,-3.02,11.63,349.6,309.29,329.45,21066900.0,37.03,17.39,37.51
2020-02-26,321.95,315.72,0.98,5.62,-4.65,10.18,352.45,304.22,328.33,11663600.0,37.25,15.93,36.77
2020-02-27,310.22,305.75,-2.2,4.06,-6.26,7.3,356.91,296.31,326.61,-2151000.0,38.57,13.81,45.09
2020-02-28,300.33,300.58,-4.3,2.39,-6.69,17.82,359.11,290.69,324.9,10695000.0,40.14,12.09,44.94
2020-03-02,296.75,302.64,-4.59,0.99,-5.58,46.22,359.35,289.52,324.44,20383100.0,39.16,22.15,39.46
2020-03-03,294.57,299.09,-5.94,-0.39,-5.55,33.34,360.48,285.14,322.81,12332000.0,37.39,23.66,33.5
2020-03-04,295.43,300.18,-6.1,-1.54,-4.57,46.45,360.04,282.91,321.47,18795800.0,35.77,22.03,31.19
2020-03-05,296.42,297.03,-7.09,-2.65,-4.44,36.41,360.25,278.94,319.6,12174500.0,34.66,20.08,31.25
2020-03-06,295.77,293.69,-8.08,-3.73,-4.34,33.51,360.24,274.72,317.48,5113000.0,34.33,18.56,34.89
2020-03-09,286.82,283.13,-10.75,-5.14,-5.62,20.08,363.05,265.41,314.23,-3385300.0,35.01,15.82,39.72
2020-03-10,284.54,282.28,-11.25,-6.36,-4.89,41.74,362.09,261.41,311.75,4746100.0,35.44,15.07,35.58
2020-03-11,278.02,278.1,-12.37,-7.56,-4.81,34.86,361.37,256.0,308.69,-3620700.0,35.83,13.67,32.27
2020-03-12,268.17,265.9,-15.36,-9.12,-6.24,22.66,362.9,245.21,304.05,-18652200.0,37.19,11.71,38.77
2020-03-13,264.77,267.27,-15.25,-10.35,-4.91,46.34,359.49,242.03,300.76,-8717300.0,37.58,13.66,33.63
2020-03-16,259.5,256.73,-17.74,-11.82,-5.91,31.71,357.65,233.34,295.5,-20828800.0,38.57,11.35,34.69
2020-03-17,250.96,250.45,-19.3,-13.32,-5.98,33.42,353.59,227.07,290.33,-8163600.0,39.49,10.48,32.03
2020-03-18,242.59,242.94,-21.11,-14.88,-6.23,29.33,348.19,220.81,284.5,-19516400.0,40.95,9.44,36.38
2020-03-19,239.72,237.68,-22.34,-16.37,-5.97,28.99,340.75,216.52,278.63,-28642800.0,41.31,12.09,32.58
2020-03-20,228.01,228.93,-24.3,-17.96,-6.35,22.32,334.28,210.16,272.22,-39161400.0,41.71,10.91,29.98
2020-03-23,221.54,220.38,-26.22,-19.61,-6.61,19.44,330.21,202.09,266.15,-50750100.0,42.44,10.26,32.0
2020-03-24,221.37,225.95,-24.72,-20.63,-4.09,51.8,325.78,199.94,262.86,-39095300.0,41.07,17.12,27.97
2020-03-25,227.08,236.12,-21.72,-20.85,-0.87,62.6,321.63,199.93,260.78,-26452600.0,38.04,25.05,25.14
2020-03-26,234.29,245.14,-18.59,-20.4,1.81,65.89,319.43,199.87,259.65,-16494700.0,35.25,23.87,23.96
