Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,8953500.0,,,
2020-01-02,,,,,,,,,,21030600.0,,,
2020-01-03,,,,,,,,,,9842200.0,,,
2020-01-06,,,,,,,,,,26901100.0,,,
2020-01-07,209.87,209.87,,,,,,,,41813500.0,,,
2020-01-08,211.87,211.65,,,,92.39,,,,55288500.0,,,
2020-01-09,213.57,213.87,,,,94.98,,,,67931300.0,,,
2020-01-10,215.45,215.27,,,,91.93,,,,55811900.0,,,
2020-01-13,217.31,217.48,,,,95.09,,,,70275300.0,,,
2020-01-14,218.51,218.01,,,,69.81,,,,56986400.0,,,
2020-01-15,219.7,219.05,,,,75.72,,,,67022900.0,,,
2020-01-16,220.39,219.96,,,,77.37,,,,77038200.0,,,
2020-01-17,221.21,220.69,,,,78.46,,,,92944100.0,,,
2020-01-21,221.11,220.94,,,,70.44,,,,78668300.0,,,
2020-01-22,221.56,221.07,,,,68.93,,,,66455500.0,,33.78,6.29
2020-01-23,221.29,220.63,,,,51.14,,,,55260500.0,,31.05,13.1
2020-01-24,220.52,219.73,,,,37.15,,,,43354700.0,,25.4,20.85
2020-01-27,219.07,218.11,,,,23.56,,,,29544000.0,,21.39,28.05
2020-01-28,218.34,218.0,,,,46.73,,,,42957800.0,,25.59,24.11
2020-01-29,218.72,219.75,,,,68.77,227.02,207.31,217.17,76139100.0,,34.93,20.33
2020-01-30,216.67,216.34,,,,29.87,226.33,208.43,217.38,27363600.0,,23.5,37.94
2020-01-31,213.47,211.53,,,,21.44,227.75,206.22,216.99,-3996300.0,,20.23,38.72
2020-02-03,211.33,209.08,,,,28.94,228.36,205.16,216.76,11499300.0,,19.14,36.63
2020-02-04,209.74,209.33,,,,45.14,228.48,204.76,216.62,31128200.0,,25.97,32.84
2020-02-05,207.11,209.59,,,,45.9,228.58,204.37,216.48,43666400.0,,27.74,30.69
2020-02-06,207.38,210.01,-2.96,,,48.29,228.6,203.92,216.26,54233900.0,,26.87,29.73
2020-02-07,209.46,210.78,-2.71,,,53.42,228.38,203.54,215.96,66476400.0,,28.35,28.24
2020-02-10,211.24,211.54,-2.43,,,56.1,228.15,203.27,215.71,78332800.0,16.17,28.51,26.68
2020-02-11,210.71,210.09,-2.66,,,35.52,227.6,202.35,214.97,53302000.0,15.47,25.35,30.74
2020-02-12,210.84,210.31,-2.51,,,49.58,227.17,201.95,214.56,67115700.0,14.73,24.23,28.64
2020-02-13,211.3,211.26,-2.19,,,57.34,226.41,201.91,214.16,82512300.0,13.48,27.34,26.17
2020-02-14,211.67,212.23,-1.82,,,60.64,225.52,202.04,213.78,93254000.0,12.57,27.3,25.14
2020-02-18,212.61,214.09,-1.22,,,70.56,224.83,202.29,213.56,108863200.0,12.66,30.38,23.17
2020-02-19,214.67,215.22,-0.77,-2.14,1.37,68.71,224.2,202.53,213.36,96728100.0,12.82,29.79,22.26
2020-02-20,215.44,215.01,-0.63,-1.84,1.21,52.52,223.26,202.8,213.03,83618900.0,11.9,26.81,25.47
2020-02-21,214.85,213.4,-0.87,-1.65,0.77,36.33,222.36,202.74,212.55,69526600.0,11.77,24.24,29.91
2020-02-24,212.15,209.17,-1.8,-1.68,-0.13,19.87,222.43,200.94,211.69,46446500.0,13.7,19.93,40.38
2020-02-25,207.95,205.04,-2.83,-1.91,-0.92,16.07,223.22,198.35,210.78,25013000.0,15.76,17.78,39.2
2020-02-26,203.89,202.43,-3.56,-2.24,-1.33,18.2,223.08,196.43,209.75,41537500.0,17.67,16.35,36.69
2020-02-27,198.92,198.2,-4.69,-2.73,-1.96,11.75,222.57,193.59,208.08,19854900.0,20.15,14.64,40.99
2020-02-28,195.38,196.29,-5.31,-3.25,-2.06,24.04,223.21,191.24,207.23,52423800.0,23.13,12.62,45.03
2020-03-02,194.53,196.34,-5.41,-3.68,-1.73,39.43,223.47,190.44,206.95,77372800.0,24.78,16.13,40.75
2020-03-03,192.35,192.86,-6.28,-4.2,-2.08,23.57,224.92,187.15,206.04,49388700.0,26.74,13.72,40.16
2020-03-04,191.26,192.49,-6.41,-4.64,-1.77,40.28,224.91,185.36,205.13,72451200.0,28.53,12.8,37.46
2020-03-05,190.35,190.05,-6.97,-5.11,-1.86,30.82,225.33,182.45,203.89,53117800.0,30.39,11.68,36.96
2020-03-06,188.07,187.06,-7.66,-5.62,-2.04,26.08,225.75,179.05,202.4,28558200.0,32.69,10.55,41.65
2020-03-09,182.68,181.21,-9.03,-6.3,-2.73,16.87,227.15,173.36,200.26,-1390800.0,35.42,8.9,46.03
2020-03-10,181.14,180.2,-9.31,-6.9,-2.41,37.54,226.37,170.66,198.51,23127000.0,37.14,11.33,42.11
2020-03-11,176.84,176.88,-10.06,-7.53,-2.52,29.23,226.78,166.55,196.67,2753100.0,38.83,10.21,39.67
2020-03-12,170.7,169.41,-11.78,-8.38,-3.4,18.87,228.37,159.33,193.85,-40513200.0,41.05,8.8,45.78
2020-03-13,168.54,169.7,-11.74,-9.05,-2.69,43.82,226.5,156.92,191.71,-5484600.0,42.23,11.04,39.7
2020-03-16,163.84,161.8,-13.51,-9.95,-3.57,27.56,226.78,149.82,188.3,-44605000.0,43.98,8.91,42.33
2020-03-17,158.08,157.68,-14.47,-10.85,-3.62,31.99,224.4,145.36,184.88,-10349400.0,45.7,8.06,40.4
2020-03-18,153.43,154.1,-15.26,-11.73,-3.53,30.32,221.19,141.52,181.35,-47902500.0,47.39,7.38,38.98
2020-03-19,153.16,153.78,-15.21,-12.43,-2.78,40.13,216.85,139.71,178.28,-8040200.0,46.97,14.39,35.1
2020-03-20,149.05,152.43,-15.26,-12.99,-2.27,36.58,212.82,137.7,175.26,-40608600.0,46.59,13.33,32.49
2020-03-23,149.47,150.99,-15.26,-13.45,-1.82,34.74,210.06,135.2,172.63,-70439400.0,46.59,12.44,34.13
2020-03-24,151.78,154.32,-14.06,-13.57,-0.49,56.41,206.88,134.8,170.84,-39999000.0,45.27,17.23,31.2
2020-03-25,153.63,154.95,-13.34,-13.53,0.18,48.9,203.22,134.35,168.79,-75183300.0,43.83,17.21,29.17
2020-03-26,155.67,157.75,-12.06,-13.23,1.17,59.08,200.59,134.35,167.47,-48626500.0,42.36,16.99,27.65
2020-03-27,157.08,157.43,-11.44,-12.87,1.44,48.08,197.02,134.35,165.68,-73506400.0,41.19,16.0,27.58
2020-03-30,160.65,160.27,-10.09,-12.32,2.23,60.83,192.15,136.17,164.16,-50991200.0,39.19,19.45,25.71
2020-03-31,161.82,162.45,-8.85,-11.62,2.77,61.92,189.41,137.0,163.21,-27314900.0,36.8,21.45,24.5
2020-04-01,162.5,161.5,-8.35,-10.97,2.62,47.87,184.31,138.88,161.6,-46822500.0,35.21,20.13,27.33
2020-04-02,161.47,160.39,-7.98,-10.37,2.39,45.36,180.25,140.25,160.25,-67708800.0,33.95,19.33,27.8
2020-04-03,160.94,158.32,-7.92,-9.88,1.96,38.21,176.6,141.21,158.9,-93692100.0,33.26,18.27,30.06
2020-04-06,160.86,160.73,-6.87,-9.28,2.41,60.35,176.01,141.4,158.71,-65238500.0,31.52,22.72,27.42
2020-04-07,161.27,163.43,-5.71,-8.56,2.85,64.89,173.83,142.65,158.24,-33826600.0,29.35,26.73,25.83
2020-04-08,164.21,167.05,-4.3,-7.71,3.41,71.63,174.74,142.14,158.44,-12162400.0,27.51,26.48,24.42
2020-04-09,167.61,169.76,-3.08,-6.79,3.71,72.72,177.2,141.75,159.48,11371900.0,26.03,26.96,23.37
2020-04-13,171.73,171.44,-2.11,-5.85,3.74,71.21,178.08,141.33,159.7,-7983500.0,24.4,25.72,23.99
2020-04-14,174.25,173.68,-1.07,-4.89,3.83,76.38,180.23,142.39,161.31,13028300.0,23.56,29.45,22.73
2020-04-15,175.88,174.78,-0.33,-3.98,3.65,70.74,181.95,143.42,162.69,-4394700.0,22.3,28.13,24.89
2020-04-16,176.27,175.27,0.2,-3.15,3.34,67.03,182.86,145.44,164.15,-27987900.0,21.09,26.79,23.98
2020-04-17,177.08,176.59,0.84,-2.35,3.19,74.09,184.55,146.37,165.46,-7013100.0,20.23,27.81,23.11
2020-04-20,177.77,177.14,1.26,-1.63,2.89,68.0,185.31,148.46,166.88,-23123800.0,19.46,27.05,22.31
2020-04-21,176.3,175.03,0.98,-1.1,2.08,38.55,184.35,151.68,168.02,-47974300.0,18.52,24.62,27.97
2020-04-22,177.36,177.45,1.66,-0.55,2.22,66.52,186.2,151.96,169.08,-14732300.0,17.87,29.75,24.6
2020-04-23,179.14,180.01,2.41,0.04,2.37,70.66,187.94,153.12,170.53,6694300.0,17.51,30.51,23.56
2020-04-24,181.3,183.36,3.36,0.7,2.65,76.87,190.89,152.84,171.87,35486300.0,17.52,30.89,21.58
2020-04-27,183.16,184.74,3.86,1.34,2.52,67.57,192.27,154.53,173.4,6288500.0,17.87,32.12,20.36
2020-04-28,185.58,184.13,3.84,1.84,2.01,53.21,193.22,155.27,174.25,-15442500.0,17.48,30.2,23.52
2020-04-29,187.96,187.48,4.69,2.41,2.28,71.69,196.14,155.1,175.62,30512000.0,17.89,33.17,20.7
2020-04-30,191.88,193.23,6.13,3.15,2.98,80.62,200.65,155.1,177.87,76742100.0,19.26,39.33,18.12
2020-05-01,194.32,196.24,7.0,3.92,3.08,73.87,203.33,156.82,180.08,46326500.0,20.16,36.71,18.95
2020-05-04,197.87,199.25,7.84,4.7,3.13,76.84,205.16,160.11,182.63,65577200.0,20.96,34.55,18.08
2020-05-05,202.7,201.85,8.55,5.47,3.08,78.67,208.18,161.23,184.71,86648400.0,22.05,36.84,17.29
2020-05-06,205.56,204.06,9.12,6.2,2.92,80.19,211.14,162.24,186.69,108505400.0,23.15,36.31,16.55
2020-05-07,206.87,206.46,9.69,6.9,2.79,83.17,214.5,162.57,188.54,123657400.0,24.17,35.28,16.08
2020-05-08,208.88,208.42,10.11,7.54,2.57,84.32,217.57,163.23,190.4,136163400.0,25.25,36.02,15.71
2020-05-11,210.47,210.01,10.39,8.11,2.28,85.28,220.22,164.41,192.32,149075300.0,26.41,36.14,15.0
2020-05-12,211.07,210.04,10.25,8.54,1.71,66.43,222.05,165.78,193.91,134370700.0,27.4,34.22,14.57
2020-05-13,210.4,208.39,9.62,8.76,0.86,45.85,222.73,167.91,195.32,113686100.0,26.82,31.29,21.13
2020-05-14,209.51,207.87,9.15,8.83,0.32,52.18,223.22,170.47,196.85,130865000.0,26.05,29.33,21.23
2020-05-15,209.21,208.87,9.01,8.87,0.14,64.53,224.18,172.68,198.43,150248200.0,25.85,31.62,19.7
2020-05-18,209.22,210.31,8.98,8.89,0.09,70.02,224.93,175.42,200.18,170400100.0,26.02,33.81,18.94
2020-05-19,210.57,212.5,9.14,8.94,0.2,77.09,224.27,180.69,202.48,202243300.0,26.74,37.15,17.45
2020-05-20,215.55,218.32,10.22,9.2,1.02,88.81,227.7,182.03,204.87,252406200.0,28.23,42.37,15.04
2020-05-21,220.46,222.68,11.05,9.57,1.48,89.53,230.91,183.45,207.18,300188800.0,29.97,45.04,14.01
2020-05-22,225.27,226.76,11.86,10.03,1.83,91.29,234.68,184.16,209.42,334114400.0,31.14,41.92,15.39
2020-05-26,229.07,228.57,12.14,10.45,1.69,78.62,236.67,186.64,211.66,300936100.0,32.54,42.9,14.05
2020-05-27,231.52,228.76,11.98,10.76,1.23,65.75,236.34,191.6,213.97,266238500.0,32.13,38.57,22.24
2020-05-28,230.62,227.66,11.43,10.89,0.54,52.77,236.48,194.58,215.53,236861300.0,31.84,36.86,20.69
2020-05-29,229.36,226.8,10.83,10.88,-0.05,51.49,237.27,195.82,216.55,213619800.0,31.4,35.26,20.85
2020-06-01,228.76,228.51,10.79,10.86,-0.07,68.86,238.7,197.36,218.03,231843600.0,31.43,36.93,19.12
2020-06-02,228.86,229.91,10.69,10.83,-0.13,70.44,240.14,198.66,219.4,252762600.0,31.5,35.22,17.96
2020-06-03,229.07,229.99,10.29,10.72,-0.43,58.72,240.99,200.12,220.56,237382300.0,31.57,33.79,17.23
2020-06-04,229.23,228.76,9.55,10.49,-0.93,44.68,241.24,201.66,221.45,220340800.0,30.93,31.48,19.87
