Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,18369400.0,,,
2020-01-02,,,,,,,,,,40991500.0,,,
2020-01-03,,,,,,,,,,19875300.0,,,
2020-01-06,,,,,,,,,,40689000.0,,,
2020-01-07,158.71,158.71,,,,,,,,19054900.0,,,
2020-01-08,159.19,159.17,,,,64.5,,,,46801400.0,,,
2020-01-09,159.48,160.14,,,,74.76,,,,68186400.0,,,
2020-01-10,160.03,160.54,,,,65.84,,,,47460500.0,,,
2020-01-13,160.88,161.45,,,,75.35,,,,69087000.0,,,
2020-01-14,161.79,161.68,,,,62.47,,,,45609600.0,,,
2020-01-15,162.4,162.18,,,,68.59,,,,67027500.0,,,
2020-01-16,163.22,163.51,,,,80.14,,,,90892900.0,,,
2020-01-17,164.37,164.71,,,,82.62,,,,125264600.0,,,
2020-01-21,165.02,165.3,,,,75.05,,,,95747400.0,,,
2020-01-22,165.73,165.44,,,,65.11,,,,71608600.0,,36.97,7.68
2020-01-23,166.44,165.86,,,,71.19,,,,91289400.0,,34.18,9.13
2020-01-24,166.21,165.59,,,,52.39,,,,66371300.0,,29.36,11.6
2020-01-27,165.25,164.49,,,,33.97,,,,34293200.0,,23.71,26.27
2020-01-28,165.04,164.81,,,,56.17,,,,59193100.0,,29.5,22.86
2020-01-29,165.51,165.89,,,,67.31,169.37,156.49,162.93,93947600.0,,36.67,20.19
2020-01-30,166.72,168.18,,,,79.36,170.97,156.4,163.69,145545100.0,,46.28,16.42
2020-01-31,167.76,168.87,,,,63.6,171.84,156.5,164.17,109402400.0,,41.81,18.49
2020-02-03,170.18,170.7,,,,74.07,173.39,156.53,164.96,139509400.0,,42.71,16.24
2020-02-04,173.11,173.84,,,,82.69,176.29,155.74,166.01,175942700.0,,51.65,13.61
2020-02-05,175.48,175.86,,,,81.39,178.31,155.95,167.13,136756400.0,,53.01,11.73
2020-02-06,177.65,178.45,6.97,,,86.03,181.11,155.5,168.3,164507800.0,,48.15,10.65
2020-02-07,180.38,180.26,7.31,,,86.33,183.54,155.25,169.39,198036900.0,,48.83,9.87
2020-02-10,183.25,183.08,7.88,,,90.83,186.71,154.82,170.76,233881200.0,50.73,49.89,8.65
2020-02-11,184.11,183.53,7.9,,,66.55,188.43,155.21,171.82,180721300.0,53.05,46.38,7.39
2020-02-12,185.07,183.92,7.84,,,67.24,189.84,156.06,172.95,227784200.0,53.94,42.65,10.11
2020-02-13,185.09,183.85,7.63,,,61.35,190.86,157.09,173.98,192488400.0,54.77,40.53,9.42
2020-02-14,185.38,184.35,7.51,,,67.24,192.12,157.75,174.93,215637900.0,55.35,38.24,9.34
2020-02-18,185.09,185.31,7.48,,,73.11,193.52,158.36,175.94,243430100.0,56.21,41.16,8.88
2020-02-19,185.66,185.97,7.37,7.54,-0.17,73.26,194.66,159.3,176.98,273427600.0,57.05,40.67,8.55
