Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,6910000.0,,,
2020-01-02,,,,,,,,,,-974800.0,,,
2020-01-03,,,,,,,,,,6122400.0,,,
2020-01-06,,,,,,,,,,11641200.0,,,
2020-01-07,60.2,60.2,,,,,,,,4988000.0,,,
2020-01-08,60.15,60.23,,,,48.67,,,,-948000.0,,,
2020-01-09,60.37,60.41,,,,69.84,,,,6010000.0,,,
2020-01-10,60.53,60.57,,,,73.2,,,,11135600.0,,,
2020-01-13,60.78,60.91,,,,85.62,,,,17015200.0,,,
2020-01-14,61.1,61.25,,,,88.68,,,,25268000.0,,,
2020-01-15,61.62,61.8,,,,93.6,,,,31665200.0,,,
2020-01-16,62.08,62.22,,,,94.17,,,,39579600.0,,,
2020-01-17,62.57,62.6,,,,95.07,,,,48933600.0,,,
2020-01-21,63.09,63.14,,,,96.91,,,,60420000.0,,,
2020-01-22,63.7,63.75,,,,97.79,,,,67485600.0,,54.72,3.11
2020-01-23,64.13,64.17,,,,97.84,,,,77698000.0,,55.11,2.75
2020-01-24,64.7,64.76,,,,98.59,,,,88008400.0,,42.74,11.18
2020-01-27,65.37,65.4,,,,98.96,,,,96687200.0,,46.26,9.58
2020-01-28,65.81,65.75,,,,89.82,,,,88424400.0,,43.3,8.34
2020-01-29,66.11,65.98,,,,89.27,67.55,58.0,62.78,82416000.0,,40.42,7.78
2020-01-30,66.6,66.48,,,,93.47,68.2,58.05,63.12,88744800.0,,43.51,6.83
2020-01-31,66.82,66.67,,,,77.7,68.58,58.4,63.49,81208000.0,,40.54,6.22
2020-02-03,66.83,66.68,,,,66.44,68.84,58.8,63.82,70166800.0,,37.52,6.94
2020-02-04,66.76,66.5,,,,51.27,68.97,59.26,64.11,59684000.0,,34.64,11.6
2020-02-05,66.81,66.56,,,,61.72,69.08,59.78,64.43,68350800.0,,30.57,13.92
2020-02-06,66.73,66.73,2.26,,,68.1,69.14,60.39,64.77,76225200.0,,33.67,12.75
2020-02-07,66.8,66.95,2.2,,,72.39,69.21,60.99,65.1,82635200.0,,34.1,11.85
2020-02-10,67.04,67.28,2.18,,,78.86,69.25,61.65,65.45,90302000.0,59.54,32.61,11.21
2020-02-11,67.42,67.53,2.14,,,79.96,69.3,62.25,65.77,98152800.0,58.97,35.82,10.65
2020-02-12,67.6,67.54,2.05,,,61.59,69.18,62.93,66.05,92316400.0,57.11,34.07,14.29
2020-02-13,67.96,67.98,2.06,,,78.56,69.36,63.35,66.35,99816800.0,56.4,37.7,12.56
2020-02-14,68.41,68.53,2.11,,,83.8,69.61,63.75,66.68,107171600.0,56.41,41.65,11.59
2020-02-18,68.92,69.19,2.19,,,88.02,70.0,64.08,67.04,116961200.0,57.05,46.18,10.4
2020-02-19,69.05,69.02,2.08,2.14,-0.06,52.33,70.0,64.52,67.26,95826400.0,55.66,39.59,16.2
2020-02-20,69.39,69.1,2.02,2.12,-0.1,58.99,70.14,64.81,67.48,106558000.0,53.85,36.71,17.38
2020-02-21,69.49,69.2,1.96,2.09,-0.13,60.62,70.23,65.16,67.69,117588800.0,52.57,37.93,16.47
2020-02-24,69.26,68.96,1.82,2.03,-0.21,45.78,70.24,65.4,67.82,108497200.0,50.5,34.55,19.08
2020-02-25,68.68,68.5,1.61,1.95,-0.33,35.15,70.24,65.5,67.87,98211600.0,47.13,30.71,24.49
2020-02-26,68.42,68.12,1.42,1.84,-0.42,32.87,70.21,65.62,67.91,88660000.0,43.53,27.81,25.38
2020-02-27,67.36,66.74,0.98,1.67,-0.69,14.41,70.6,64.98,67.79,74056000.0,42.2,21.5,37.97
2020-02-28,66.12,65.55,0.56,1.45,-0.89,12.43,71.03,64.12,67.57,46587600.0,42.51,17.86,48.15
2020-03-02,65.84,66.07,0.54,1.27,-0.73,53.08,71.03,64.13,67.58,65893200.0,39.87,31.75,38.94
2020-03-03,65.58,66.14,0.45,1.1,-0.65,47.43,71.03,64.08,67.56,50257200.0,36.69,33.68,34.1
2020-03-04,66.22,67.61,0.72,1.02,-0.31,69.25,71.42,64.13,67.78,64970400.0,34.71,36.02,28.32
2020-03-05,67.23,68.09,0.79,0.98,-0.18,58.48,71.54,64.25,67.89,52558400.0,32.91,32.67,25.69
2020-03-06,68.19,68.04,0.76,0.94,-0.17,51.33,71.57,64.31,67.94,38002000.0,30.77,28.46,31.95
2020-03-09,67.83,67.14,0.52,0.85,-0.33,37.44,71.63,64.04,67.84,22437600.0,29.58,24.39,33.35
2020-03-10,67.36,66.07,0.21,0.72,-0.51,31.78,71.8,63.47,67.63,-1306000.0,29.52,19.96,36.11
2020-03-11,65.31,64.15,-0.32,0.51,-0.84,21.29,72.48,62.01,67.25,-20937200.0,29.73,17.6,34.42
2020-03-12,61.95,60.17,-1.38,0.13,-1.52,11.07,74.86,58.1,66.48,-52605600.0,31.58,13.96,46.42
2020-03-13,59.44,58.58,-1.94,-0.28,-1.66,27.98,75.39,56.22,65.81,-21019200.0,33.6,12.01,45.22
2020-03-16,56.44,55.83,-2.77,-0.78,-1.99,20.29,76.38,53.31,64.84,-41259600.0,35.45,10.48,39.47
2020-03-17,54.74,55.7,-2.97,-1.22,-1.75,40.82,76.01,52.17,64.09,-19721600.0,36.33,12.44,34.5
2020-03-18,53.21,54.69,-3.32,-1.64,-1.68,34.72,75.99,50.59,63.29,-41919600.0,37.31,10.85,32.01
2020-03-19,53.12,53.72,-3.62,-2.03,-1.59,32.78,75.75,49.08,62.42,-59360800.0,38.21,9.84,29.02
2020-03-20,51.63,51.79,-4.13,-2.45,-1.67,25.13,75.67,47.01,61.34,-81843200.0,39.59,8.87,32.02
2020-03-23,50.65,49.67,-4.68,-2.9,-1.78,21.09,75.7,44.68,60.19,-105504800.0,41.25,8.22,34.87
2020-03-24,49.88,50.32,-4.56,-3.23,-1.33,47.23,74.94,43.85,59.39,-87604000.0,40.66,15.5,31.02
2020-03-25,49.87,51.07,-4.34,-3.45,-0.89,50.32,74.02,43.29,58.65,-69809600.0,39.13,18.63,27.92
2020-03-26,51.07,53.3,-3.7,-3.5,-0.2,64.72,73.51,43.17,58.34,-55154400.0,36.7,22.31,25.32
2020-03-27,53.08,54.87,-3.14,-3.43,0.29,65.24,73.09,43.07,58.08,-38970000.0,34.06,23.24,23.65
2020-03-30,56.29,57.08,-2.39,-3.22,0.83,73.28,72.33,43.27,57.8,-22596400.0,31.99,24.86,22.13
2020-03-31,58.0,58.1,-1.88,-2.95,1.07,65.97,71.55,43.45,57.5,-41495600.0,30.07,23.97,21.34
2020-04-01,58.4,56.92,-1.9,-2.74,0.84,43.44,69.44,43.95,56.7,-55186800.0,29.01,21.38,29.29
2020-04-02,58.16,56.82,-1.74,-2.54,0.8,51.1,67.5,44.65,56.07,-45952400.0,28.03,20.07,27.5
