Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,23100400.0,,,
2020-01-02,,,,,,,,,,46854000.0,,,
2020-01-03,,,,,,,,,,26315600.0,,,
2020-01-06,,,,,,,,,,52579200.0,,,
2020-01-07,59.41,59.41,,,,,,,,84064800.0,,,
2020-01-08,59.67,59.64,,,,72.82,,,,111775600.0,,,
2020-01-09,59.82,60.01,,,,81.34,,,,137286800.0,,,
2020-01-10,60.24,60.37,,,,84.35,,,,168916400.0,,,
2020-01-13,60.98,61.24,,,,92.86,,,,200900400.0,,,
2020-01-14,61.35,61.44,,,,65.54,,,,164991600.0,,,
2020-01-15,61.61,61.42,,,,57.8,,,,138681200.0,,,
2020-01-16,61.9,61.69,,,,67.29,,,,167100400.0,,,
2020-01-17,62.15,61.9,,,,68.22,,,,192479600.0,,,
2020-01-21,61.95,61.93,,,,60.05,,,,170688000.0,,,
2020-01-22,62.09,62.13,,,,67.84,,,,194612000.0,,36.61,10.9
2020-01-23,62.46,62.49,,,,75.43,,,,219063600.0,,32.52,11.57
2020-01-24,62.53,62.53,,,,60.09,,,,181712400.0,,37.51,9.13
2020-01-27,62.08,61.71,,,,28.63,,,,134658800.0,,27.4,30.41
2020-01-28,62.08,61.8,,,,52.25,,,,165756400.0,,33.7,26.58
2020-01-29,61.85,61.66,,,,46.26,63.82,58.53,61.18,139871600.0,,31.4,24.76
2020-01-30,61.5,61.59,,,,47.11,63.72,58.89,61.31,168922000.0,,28.43,28.6
2020-01-31,60.8,60.76,,,,28.04,63.8,58.73,61.26,131880000.0,,24.47,30.47
2020-02-03,60.8,60.54,,,,40.55,63.7,58.93,61.32,157436400.0,,22.72,28.3
2020-02-04,60.76,60.95,,,,56.88,63.64,59.25,61.44,184590800.0,,28.96,25.66
2020-02-05,61.02,61.53,,,,63.56,63.73,59.42,61.58,205412800.0,,32.65,23.98
2020-02-06,61.44,62.21,0.45,,,69.28,63.96,59.55,61.75,227241200.0,,32.77,22.38
2020-02-07,62.2,62.44,0.51,,,60.27,64.07,59.65,61.86,208266000.0,,31.23,21.33
2020-02-10,63.33,63.54,0.78,,,76.57,64.84,59.34,62.09,261226800.0,20.18,38.26,18.43
2020-02-11,64.37,64.68,1.09,,,80.82,65.76,58.83,62.29,325082400.0,22.97,44.94,16.43
2020-02-12,65.46,65.83,1.4,,,84.21,66.9,58.32,62.61,362546800.0,25.42,42.73,15.49
2020-02-13,66.29,66.45,1.6,,,77.72,67.71,58.14,62.92,309745200.0,27.63,41.32,14.69
2020-02-14,68.2,68.45,2.11,,,89.08,69.75,57.12,63.43,413937600.0,31.23,52.52,11.23
2020-02-18,69.88,70.35,2.63,,,91.1,71.85,56.2,64.02,475954000.0,34.53,48.63,9.93
2020-02-19,72.22,73.12,3.36,1.55,1.81,94.51,74.88,54.83,64.86,545387200.0,38.18,56.15,8.36
2020-02-20,74.03,74.47,3.78,2.0,1.79,81.6,76.89,54.3,65.59,464382000.0,40.37,47.54,11.02
