Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,3229400.0,,,
2020-01-02,,,,,,,,,,-554700.0,,,
2020-01-03,,,,,,,,,,-4554800.0,,,
2020-01-06,,,,,,,,,,-469700.0,,,
2020-01-07,135.66,135.66,,,,,,,,-6187800.0,,,
2020-01-08,135.26,135.34,,,,32.16,,,,-2506400.0,,,
2020-01-09,135.06,135.15,,,,34.48,,,,1448300.0,,,
2020-01-10,134.84,134.95,,,,30.69,,,,-1651200.0,,,
2020-01-13,134.91,135.47,,,,66.29,,,,3476000.0,,,
2020-01-14,135.48,135.93,,,,69.43,,,,7635700.0,,,
2020-01-15,136.38,137.02,,,,83.52,,,,12638300.0,,,
2020-01-16,137.34,137.88,,,,85.03,,,,17616200.0,,,
2020-01-17,138.69,139.01,,,,89.74,,,,24524900.0,,,
2020-01-21,139.76,139.96,,,,91.03,,,,28964900.0,,,
2020-01-22,141.06,141.1,,,,93.57,,,,34331000.0,,44.21,6.81
2020-01-23,141.95,141.95,,,,93.95,,,,38246700.0,,41.78,6.15
2020-01-24,142.61,142.27,,,,78.27,,,,35455200.0,,39.22,5.5
2020-01-27,142.79,142.23,,,,64.0,,,,31559900.0,,33.95,12.91
2020-01-28,142.91,142.3,,,,66.9,,,,34468200.0,,31.65,12.03
2020-01-29,142.58,142.11,,,,54.02,145.39,132.0,138.69,31205000.0,,29.29,14.57
2020-01-30,142.61,142.68,,,,73.14,146.03,132.07,139.05,35263500.0,,33.62,12.64
2020-01-31,142.43,142.46,,,,50.51,146.29,132.43,139.36,30510400.0,,31.9,10.71
2020-02-03,142.51,142.48,,,,55.2,146.54,132.87,139.71,34488200.0,,29.94,10.05
2020-02-04,142.66,142.73,,,,61.76,146.86,133.26,140.06,37982500.0,,31.91,9.08
2020-02-05,143.18,143.25,,,,70.1,147.01,134.14,140.57,41487400.0,,32.36,8.47
2020-02-06,143.28,143.61,2.74,,,70.32,147.09,135.02,141.05,45058800.0,,33.91,7.96
2020-02-07,143.95,144.2,2.77,,,77.61,147.17,136.0,141.58,48197300.0,,32.84,7.23
2020-02-10,144.58,144.68,2.78,,,79.37,146.97,137.31,142.14,51972900.0,57.1,34.19,6.77
2020-02-11,145.15,145.15,2.79,,,81.95,147.0,138.24,142.62,55843400.0,57.57,31.7,7.55
2020-02-12,145.5,145.46,2.76,,,81.95,146.83,139.33,143.08,55843400.0,58.17,31.4,7.03
2020-02-13,145.93,145.8,2.75,,,84.72,147.03,139.86,143.44,60884800.0,55.42,26.37,14.03
2020-02-14,146.26,146.19,2.74,,,87.83,147.26,140.37,143.81,64440400.0,53.02,25.02,13.26
2020-02-18,146.24,146.0,2.59,,,52.27,147.35,140.71,144.03,59501700.0,50.12,23.01,14.61
2020-02-19,146.13,145.84,2.45,2.71,-0.26,50.97,147.44,140.99,144.21,56522900.0,47.55,21.96,13.94
2020-02-20,145.95,145.61,2.27,2.62,-0.35,43.78,147.53,141.07,144.3,53717000.0,43.33,20.12,19.76
2020-02-21,145.83,145.69,2.16,2.53,-0.36,57.69,147.69,141.13,144.41,57988800.0,39.69,19.64,18.74
2020-02-24,144.96,144.68,1.8,2.38,-0.58,23.65,147.71,141.09,144.4,52961100.0,38.04,15.98,24.38
2020-02-25,144.06,143.48,1.37,2.18,-0.81,17.47,147.82,140.87,144.35,45375300.0,37.77,13.7,28.36
2020-02-26,143.35,142.98,1.09,1.96,-0.87,30.45,147.85,140.79,144.32,51532500.0,37.52,12.38,25.62
2020-02-27,141.59,140.78,0.41,1.65,-1.24,13.51,148.9,139.21,144.05,42927500.0,39.12,9.76,35.22
2020-02-28,138.82,137.86,-0.48,1.23,-1.7,8.79,150.61,136.32,143.46,28763500.0,41.89,7.7,48.73
2020-03-02,137.81,137.77,-0.72,0.84,-1.56,41.5,150.81,135.67,143.24,37268000.0,42.04,16.3,41.6
2020-03-03,136.71,137.04,-1.06,0.46,-1.52,35.73,151.17,134.62,142.9,28539700.0,41.26,18.83,36.86
2020-03-04,136.79,138.82,-0.78,0.21,-0.99,59.62,151.13,134.58,142.85,36175400.0,39.28,22.41,31.31
2020-03-05,137.14,138.58,-0.89,-0.01,-0.88,46.12,151.04,134.05,142.54,29596300.0,37.48,19.83,27.71
2020-03-06,138.18,138.14,-1.03,-0.21,-0.81,43.7,150.95,133.44,142.19,22841400.0,37.09,17.31,34.06
2020-03-09,136.7,135.48,-1.69,-0.51,-1.18,28.1,151.49,131.37,141.43,14125100.0,37.35,14.61,34.37
2020-03-10,136.41,135.03,-1.88,-0.78,-1.1,42.49,151.2,130.51,140.85,22383700.0,37.8,12.78,32.21
2020-03-11,133.88,133.27,-2.35,-1.1,-1.26,33.3,151.15,128.92,140.04,14918600.0,38.22,11.48,28.93
2020-03-12,129.33,127.3,-3.85,-1.65,-2.2,17.65,153.63,123.38,138.5,2110300.0,40.21,9.02,41.34
2020-03-13,127.37,127.35,-4.01,-2.12,-1.89,44.87,152.94,122.16,137.55,14118000.0,41.18,10.79,35.07
2020-03-16,123.95,122.59,-5.23,-2.74,-2.49,30.11,153.94,117.77,135.86,3384700.0,42.36,8.98,32.52
2020-03-17,122.67,124.3,-4.97,-3.19,-1.78,50.74,152.8,117.12,134.96,17627000.0,42.24,11.69,27.73
2020-03-18,120.9,123.18,-5.24,-3.6,-1.65,43.31,151.88,115.58,133.73,2376200.0,42.42,10.16,26.57
2020-03-19,121.3,121.23,-5.69,-4.02,-1.67,39.51,151.03,113.65,132.34,-7017300.0,42.59,9.58,25.05
