Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,15175703.0,,,
2020-01-02,,,,,,,,,,-1338369.0,,,
2020-01-03,,,,,,,,,,-16261217.0,,,
2020-01-06,,,,,,,,,,-32033168.0,,,
2020-01-07,36.98,36.98,,,,,,,,-52141275.0,,,
2020-01-08,36.96,37.01,,,,54.4,,,,-35737768.0,,,
2020-01-09,36.91,36.97,,,,39.62,,,,-57709663.0,,,
2020-01-10,37.02,37.14,,,,72.53,,,,-36152306.0,,,
2020-01-13,37.12,37.22,,,,66.49,,,,-51544711.0,,,
2020-01-14,37.37,37.49,,,,81.97,,,,-30625551.0,,,
2020-01-15,37.67,37.85,,,,88.18,,,,-6699751.0,,,
2020-01-16,38.0,38.08,,,,84.54,,,,-22916173.0,,,
2020-01-17,38.19,38.2,,,,77.85,,,,-46000143.0,,,
2020-01-21,38.37,38.22,,,,66.64,,,,-69115839.0,,,
2020-01-22,38.39,38.19,,,,57.51,,,,-87213651.0,,27.25,10.84
2020-01-23,38.4,38.34,,,,73.34,,,,-60065141.0,,31.69,9.37
2020-01-24,38.25,38.15,,,,40.81,,,,-94208839.0,,24.8,15.34
2020-01-27,38.18,38.13,,,,51.16,,,,-62244813.0,,20.54,18.39
2020-01-28,37.76,37.49,,,,22.26,,,,-132447221.0,,15.25,28.8
2020-01-29,37.27,36.87,,,,18.62,39.13,35.87,37.5,-166612947.0,,13.81,30.63
2020-01-30,36.58,36.31,,,,15.69,39.32,35.48,37.4,-198929536.0,,12.45,37.12
2020-01-31,36.09,35.98,,,,20.87,39.43,35.19,37.31,-165035531.0,,14.81,34.84
2020-02-03,35.59,35.85,,,,29.47,39.49,35.0,37.24,-144159796.0,,19.98,31.78
2020-02-04,35.5,35.82,,,,35.33,39.52,34.86,37.19,-113008931.0,,20.57,29.26
2020-02-05,35.61,35.95,,,,49.35,39.52,34.8,37.16,-83565441.0,,22.15,26.53
2020-02-06,35.84,36.07,-0.7,,,51.8,39.52,34.73,37.12,-62517693.0,,21.02,25.18
2020-02-07,35.99,36.08,-0.67,,,45.4,39.52,34.65,37.08,-84421289.0,,19.93,24.97
2020-02-10,36.05,36.01,-0.66,,,38.58,39.48,34.52,37.0,-104419674.0,23.68,18.81,25.93
2020-02-11,36.13,36.05,-0.62,,,49.61,39.44,34.44,36.94,-88392339.0,22.86,18.0,24.82
2020-02-12,36.04,35.97,-0.61,,,38.74,39.33,34.33,36.83,-111336654.0,21.94,17.71,23.44
2020-02-13,35.79,35.66,-0.66,,,23.71,39.13,34.18,36.65,-133436399.0,22.89,15.98,30.68
2020-02-14,35.5,35.32,-0.72,,,18.95,38.92,33.99,36.46,-154443146.0,24.46,14.85,33.89
2020-02-18,35.22,35.03,-0.77,,,17.01,38.7,33.82,36.26,-172431659.0,26.05,14.15,34.06
2020-02-19,34.86,34.81,-0.81,-0.69,-0.12,16.05,38.45,33.68,36.06,-190182600.0,27.55,13.64,33.58
