Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,4798900.0,,,
2020-01-02,,,,,,,,,,-3331900.0,,,
2020-01-03,,,,,,,,,,-11302400.0,,,
2020-01-06,,,,,,,,,,-4628000.0,,,
2020-01-07,123.13,123.13,,,,,,,,-12211400.0,,,
2020-01-08,122.65,122.92,,,,27.68,,,,-6826300.0,,,
2020-01-09,122.74,123.23,,,,58.37,,,,-882300.0,,,
2020-01-10,123.01,123.48,,,,60.26,,,,3044800.0,,,
2020-01-13,123.44,123.94,,,,72.2,,,,11454000.0,,,
2020-01-14,123.98,124.19,,,,66.95,,,,3624300.0,,,
2020-01-15,124.67,124.78,,,,79.45,,,,8468000.0,,,
2020-01-16,125.11,125.21,,,,80.25,,,,14701700.0,,,
2020-01-17,125.6,125.61,,,,82.86,,,,26016900.0,,,
2020-01-21,125.84,125.77,,,,71.73,,,,17463800.0,,,
2020-01-22,126.17,125.95,,,,74.65,,,,24860500.0,,23.76,18.17
2020-01-23,125.97,125.63,,,,42.03,,,,13764000.0,,18.58,30.59
2020-01-24,125.79,125.47,,,,45.42,,,,23272600.0,,17.64,26.29
2020-01-27,125.64,125.54,,,,56.95,,,,32611000.0,,15.71,23.55
2020-01-28,125.63,125.7,,,,62.99,,,,38811200.0,,18.26,21.55
2020-01-29,125.38,125.49,,,,41.98,127.4,121.93,124.66,33540200.0,,17.01,24.62
2020-01-30,125.57,125.64,,,,58.04,127.51,121.92,124.72,39434600.0,,15.23,25.94
2020-01-31,125.47,125.3,,,,38.26,127.51,122.05,124.78,32821700.0,,18.22,22.16
2020-02-03,125.35,125.24,,,,46.63,127.44,122.37,124.9,38874000.0,,16.69,20.29
2020-02-04,125.28,125.38,,,,55.17,127.4,122.69,125.05,45386200.0,,22.28,17.81
2020-02-05,125.63,125.86,,,,68.38,127.31,123.27,125.29,51511600.0,,20.3,16.23
2020-02-06,125.87,126.28,0.8,,,71.4,127.25,123.79,125.52,60614300.0,,24.17,14.94
2020-02-07,126.16,126.22,0.77,,,51.6,127.19,124.07,125.63,54699200.0,,22.59,16.91
2020-02-10,126.37,126.2,0.74,,,52.98,127.12,124.37,125.74,59915300.0,15.13,21.28,17.5
2020-02-11,126.07,125.52,0.55,,,29.46,127.2,124.21,125.71,53809600.0,14.9,18.82,24.41
2020-02-12,125.4,124.83,0.34,,,24.63,127.39,123.9,125.64,47777900.0,15.88,17.54,28.87
2020-02-13,124.96,124.87,0.29,,,47.5,127.36,123.83,125.59,54936900.0,15.04,22.55,26.19
2020-02-14,124.98,125.3,0.34,,,59.51,127.36,123.83,125.6,60826000.0,13.78,25.41,24.38
2020-02-18,124.72,125.15,0.28,,,45.51,127.27,123.77,125.52,54058400.0,12.7,23.82,22.71
2020-02-19,124.97,125.25,0.27,0.49,-0.22,51.86,127.22,123.76,125.49,58792400.0,12.05,23.1,20.65
2020-02-20,125.6,125.69,0.35,0.46,-0.11,62.73,127.26,123.74,125.5,64887000.0,11.76,22.67,18.99
2020-02-21,125.95,126.03,0.42,0.45,-0.03,63.8,127.41,123.77,125.59,73610900.0,12.66,26.67,17.09
2020-02-24,125.38,125.12,0.2,0.4,-0.2,31.56,127.56,123.43,125.5,66077000.0,12.31,22.54,26.8
2020-02-25,124.69,123.89,-0.13,0.3,-0.42,23.42,128.0,122.56,125.28,57173800.0,13.38,19.69,32.68
2020-02-26,123.63,122.65,-0.48,0.14,-0.62,19.22,128.48,121.5,124.99,50279600.0,14.86,17.71,33.48
2020-02-27,121.02,119.6,-1.28,-0.14,-1.14,8.83,130.52,118.31,124.41,36980700.0,18.21,13.75,47.31
2020-02-28,118.32,117.47,-1.92,-0.5,-1.42,8.59,131.53,116.02,123.78,14196400.0,22.3,11.06,57.44
2020-03-02,117.58,118.17,-1.89,-0.78,-1.11,48.69,131.48,115.56,123.52,26596200.0,22.88,25.61,46.93
2020-03-03,116.92,118.17,-1.96,-1.01,-0.95,43.46,131.43,114.93,123.18,14085300.0,22.66,27.66,41.61
2020-03-04,117.79,120.28,-1.49,-1.11,-0.38,64.92,131.31,114.92,123.12,23544600.0,21.53,29.98,35.58
2020-03-05,119.42,120.73,-1.33,-1.15,-0.17,53.43,130.9,114.82,122.86,14181100.0,20.49,27.23,32.32
2020-03-06,121.1,121.04,-1.18,-1.16,-0.02,53.53,130.39,114.78,122.58,23998500.0,20.25,24.35,34.61
2020-03-09,120.4,119.38,-1.5,-1.23,-0.28,34.8,130.21,113.96,122.08,10882000.0,20.58,21.22,34.93
2020-03-10,120.88,119.77,-1.38,-1.26,-0.12,51.73,129.73,113.88,121.8,22301100.0,20.6,20.17,30.78
2020-03-11,118.3,117.04,-1.98,-1.4,-0.58,31.39,130.17,112.17,121.17,5845100.0,21.4,16.83,31.99
2020-03-12,114.34,111.98,-3.21,-1.76,-1.45,20.46,132.34,107.84,120.09,-15142900.0,23.54,14.13,41.52
2020-03-13,112.82,112.67,-3.16,-2.04,-1.12,48.56,131.85,107.25,119.55,2235800.0,24.56,15.81,34.35
2020-03-16,111.31,111.28,-3.53,-2.34,-1.19,40.43,131.47,105.86,118.67,-15131600.0,26.05,12.99,33.49
2020-03-17,110.85,113.6,-3.0,-2.47,-0.53,56.39,130.82,105.85,118.34,4319800.0,26.39,15.57,29.27
2020-03-18,112.02,114.88,-2.61,-2.5,-0.11,54.9,129.99,105.88,117.94,-18819400.0,26.25,15.93,26.28
