Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,2254400.0,,,
2020-01-02,,,,,,,,,,8200.0,,,
2020-01-03,,,,,,,,,,2196200.0,,,
2020-01-06,,,,,,,,,,401700.0,,,
2020-01-07,88.89,88.89,,,,,,,,-1652800.0,,,
2020-01-08,88.85,88.91,,,,50.1,,,,360900.0,,,
2020-01-09,88.96,88.93,,,,50.41,,,,2049200.0,,,
2020-01-10,88.97,89.1,,,,64.02,,,,4253500.0,,,
2020-01-13,89.52,90.0,,,,86.61,,,,7087300.0,,,
2020-01-14,89.96,90.21,,,,62.35,,,,3962800.0,,,
2020-01-15,90.61,90.88,,,,74.44,,,,7272300.0,,,
2020-01-16,91.49,91.7,,,,80.18,,,,9899800.0,,,
2020-01-17,92.45,92.56,,,,83.84,,,,14192300.0,,,
2020-01-21,93.21,93.56,,,,87.81,,,,17527800.0,,,
2020-01-22,93.87,93.69,,,,63.38,,,,14093100.0,,39.9,5.56
2020-01-23,94.57,94.36,,,,73.38,,,,17294000.0,,33.36,8.39
2020-01-24,95.13,94.96,,,,75.51,,,,20495800.0,,37.25,7.76
2020-01-27,95.27,94.97,,,,60.0,,,,17725000.0,,34.25,11.62
2020-01-28,95.27,95.16,,,,64.48,,,,19970200.0,,32.06,10.88
2020-01-29,95.78,95.61,,,,71.15,97.99,86.25,92.12,22700300.0,,33.05,9.97
2020-01-30,95.88,95.81,,,,66.35,98.43,86.52,92.48,19245100.0,,32.4,9.15
2020-01-31,95.23,94.83,,,,33.7,98.36,87.04,92.7,14017500.0,,26.11,23.64
2020-02-03,94.6,93.85,,,,28.4,98.29,87.36,92.82,-9187400.0,,23.51,26.22
2020-02-04,94.18,93.7,,,,44.99,98.23,87.86,93.04,-4209400.0,,23.59,22.94
2020-02-05,93.42,93.38,,,,39.92,98.01,88.51,93.26,-9945900.0,,21.81,21.21
2020-02-06,92.8,93.29,1.11,,,44.2,97.79,89.14,93.46,-6010700.0,,20.85,20.27
2020-02-07,92.86,93.24,1.0,,,44.6,97.48,89.87,93.67,-2366900.0,,20.44,19.29
2020-02-10,93.41,93.71,1.02,,,61.89,97.22,90.65,93.93,2786400.0,25.01,25.66,17.52
2020-02-11,93.97,94.55,1.15,,,72.74,97.43,90.88,94.16,6526800.0,25.95,31.78,15.7
2020-02-12,94.78,95.29,1.28,,,75.94,97.51,91.42,94.46,9050100.0,27.11,32.34,14.78
2020-02-13,95.45,95.69,1.35,,,70.25,97.65,91.7,94.68,5397400.0,28.06,30.76,14.26
2020-02-14,96.34,96.31,1.47,,,77.4,98.05,91.73,94.89,8693400.0,29.27,31.71,13.42
2020-02-18,97.07,96.99,1.61,,,81.51,98.58,91.61,95.09,12436200.0,30.8,33.65,12.64
2020-02-19,97.39,97.25,1.66,1.29,0.36,69.97,98.87,91.53,95.2,7711900.0,32.39,33.82,11.85
2020-02-20,97.82,97.82,1.77,1.39,0.38,77.92,99.42,91.49,95.45,11704800.0,32.76,30.26,14.11
2020-02-21,98.37,98.29,1.86,1.48,0.38,79.53,99.92,91.33,95.63,18087100.0,33.55,32.73,13.49
2020-02-24,98.06,97.52,1.65,1.52,0.13,38.68,99.91,91.33,95.62,14398900.0,30.93,27.59,25.66
2020-02-25,96.73,95.58,1.13,1.44,-0.31,20.96,100.07,90.84,95.45,9093000.0,30.47,22.11,37.29
2020-02-26,95.42,94.14,0.67,1.28,-0.62,19.79,100.2,90.28,95.24,4430800.0,30.33,20.09,36.38
