Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,764900.0,,,
2020-01-02,,,,,,,,,,-97300.0,,,
2020-01-03,,,,,,,,,,676100.0,,,
2020-01-06,,,,,,,,,,1810400.0,,,
2020-01-07,213.23,213.23,,,,,,,,646100.0,,,
2020-01-08,213.44,213.49,,,,60.93,,,,1908200.0,,,
2020-01-09,213.97,213.69,,,,62.19,,,,2971700.0,,,
2020-01-10,214.4,214.4,,,,78.76,,,,3984900.0,,,
2020-01-13,214.86,215.19,,,,83.71,,,,4797400.0,,,
2020-01-14,215.4,215.56,,,,73.26,,,,3662500.0,,,
2020-01-15,216.25,216.46,,,,83.73,,,,4490200.0,,,
2020-01-16,217.44,217.65,,,,88.76,,,,5181900.0,,,
2020-01-17,218.42,218.68,,,,90.3,,,,6178000.0,,,
2020-01-21,219.6,220.0,,,,93.3,,,,7012600.0,,,
2020-01-22,220.53,220.33,,,,69.77,,,,5813200.0,,37.99,7.21
2020-01-23,221.52,221.29,,,,78.7,,,,6708200.0,,33.73,6.4
2020-01-24,222.41,222.35,,,,82.43,,,,7352800.0,,36.91,5.9
2020-01-27,223.11,222.99,,,,79.55,,,,6716000.0,,37.99,5.4
2020-01-28,223.34,223.25,,,,72.33,,,,5942000.0,,34.42,9.23
2020-01-29,223.56,222.86,,,,51.6,226.66,209.7,218.18,5156400.0,,29.61,17.03
2020-01-30,223.74,223.27,,,,66.05,227.23,210.24,218.74,5765900.0,,26.74,14.91
2020-01-31,223.6,223.44,,,,62.15,227.41,211.29,219.35,4464400.0,,26.39,13.78
2020-02-03,223.58,223.68,,,,65.31,227.76,212.0,219.88,5303300.0,,27.25,12.96
2020-02-04,223.45,223.51,,,,51.98,227.9,212.72,220.31,4034900.0,,24.21,17.44
2020-02-05,223.47,223.05,,,,41.58,227.71,213.77,220.74,3074200.0,,21.83,21.65
2020-02-06,223.45,223.38,3.12,,,60.21,227.62,214.86,221.24,3557100.0,,25.41,19.75
2020-02-07,223.75,223.99,3.1,,,68.24,227.49,216.11,221.8,3983200.0,,27.25,18.41
2020-02-10,224.19,224.8,3.15,,,74.6,227.66,217.0,222.33,4461500.0,32.27,27.77,17.54
2020-02-11,224.84,225.32,3.15,,,73.67,227.76,217.85,222.81,3716700.0,32.24,31.08,16.01
2020-02-12,225.86,225.96,3.18,,,78.61,227.7,219.01,223.35,4600400.0,32.72,30.42,14.01
2020-02-13,226.76,226.83,3.27,,,84.1,228.12,219.62,223.87,5121900.0,33.27,28.81,12.89
2020-02-14,228.28,228.83,3.65,,,92.22,229.94,219.08,224.51,5729500.0,35.02,35.01,11.24
2020-02-18,229.35,229.8,3.81,,,79.58,231.05,219.06,225.06,5086400.0,36.68,33.35,10.37
2020-02-19,227.84,226.14,2.87,3.26,-0.39,25.72,231.38,218.35,224.87,3061100.0,34.94,23.67,33.97
2020-02-20,226.86,224.88,2.38,3.08,-0.7,39.79,231.31,218.56,224.94,4171600.0,33.44,21.5,31.14
2020-02-21,226.31,225.18,2.24,2.91,-0.67,50.82,231.4,218.73,225.06,5550800.0,30.65,28.78,27.59
2020-02-24,225.04,225.61,2.16,2.76,-0.6,53.04,231.52,218.81,225.16,7186800.0,28.27,27.31,25.56
2020-02-25,222.86,224.03,1.63,2.54,-0.91,36.56,231.62,218.38,225.0,5542200.0,27.01,23.32,30.65
2020-02-26,224.75,225.43,1.78,2.39,-0.6,58.0,231.96,218.48,225.22,7371900.0,24.96,23.7,25.12
2020-02-27,222.53,220.72,0.53,2.01,-1.48,29.4,233.68,215.68,224.68,5607000.0,24.91,18.01,29.6
2020-02-28,219.2,216.86,-0.63,1.49,-2.12,27.23,235.2,212.66,223.93,3146700.0,25.94,16.07,35.21
2020-03-02,217.76,217.65,-0.73,1.04,-1.77,49.01,235.16,212.25,223.71,4695000.0,25.05,22.61,30.65
2020-03-03,217.13,217.68,-0.91,0.65,-1.57,46.39,235.13,211.64,223.38,2930700.0,23.95,22.26,28.02
2020-03-04,216.7,220.48,-0.38,0.44,-0.83,60.73,235.33,211.73,223.53,3898700.0,22.16,26.05,25.23
2020-03-05,220.25,223.34,0.27,0.41,-0.14,64.92,235.9,211.85,223.88,4863000.0,21.11,27.4,22.95
2020-03-06,224.21,225.21,0.78,0.48,0.29,64.57,236.35,211.89,224.12,3779000.0,20.22,25.59,21.0
2020-03-09,225.07,224.66,0.73,0.53,0.2,49.71,236.25,211.82,224.04,2081900.0,18.9,23.1,21.6
2020-03-10,227.51,226.4,1.19,0.66,0.53,62.43,236.65,211.77,224.21,3593400.0,18.1,22.62,19.05
2020-03-11,226.38,224.41,0.79,0.69,0.1,42.41,236.42,211.41,223.91,2017900.0,17.36,20.39,17.17
2020-03-12,220.87,216.78,-1.05,0.34,-1.39,23.53,238.37,206.88,222.63,-316500.0,18.3,16.88,31.09
2020-03-13,217.35,214.97,-1.69,-0.07,-1.63,40.68,238.0,205.54,221.77,2103000.0,19.17,15.14,27.88
2020-03-16,210.03,205.63,-4.12,-0.88,-3.24,24.0,240.92,198.02,219.47,99100.0,21.33,12.32,34.8
2020-03-17,203.72,203.21,-5.07,-1.71,-3.35,38.69,240.34,195.27,217.8,1843300.0,23.33,10.68,30.17
2020-03-18,197.63,198.79,-6.42,-2.66,-3.77,32.84,241.95,190.78,216.36,-242500.0,25.4,9.5,29.15
2020-03-19,194.85,195.06,-7.6,-3.65,-3.95,31.18,242.92,186.33,214.62,-2181500.0,27.5,8.89,29.3
2020-03-20,186.82,187.11,-9.74,-4.86,-4.88,21.69,245.4,178.39,211.9,-4578100.0,30.22,7.71,34.91
2020-03-23,181.55,178.28,-12.15,-6.32,-5.83,17.4,248.14,169.07,208.6,-6721100.0,33.21,6.87,39.53
