Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,784500.0,,,
2020-01-02,,,,,,,,,,2598800.0,,,
2020-01-03,,,,,,,,,,1037100.0,,,
2020-01-06,,,,,,,,,,-455500.0,,,
2020-01-07,58.99,58.99,,,,,,,,-2083100.0,,,
2020-01-08,58.89,58.96,,,,46.54,,,,-662700.0,,,
2020-01-09,58.57,58.73,,,,31.28,,,,-2441500.0,,,
2020-01-10,58.5,58.64,,,,37.95,,,,-1336700.0,,,
2020-01-13,58.63,58.8,,,,59.06,,,,33500.0,,,
2020-01-14,58.8,58.95,,,,61.47,,,,1181800.0,,,
2020-01-15,58.82,58.96,,,,52.25,,,,-315300.0,,,
2020-01-16,58.99,59.02,,,,57.56,,,,688000.0,,,
2020-01-17,59.43,59.57,,,,81.71,,,,2450100.0,,,
2020-01-21,59.6,59.7,,,,61.12,,,,342700.0,,,
2020-01-22,59.85,59.97,,,,68.66,,,,2381600.0,,42.07,23.48
2020-01-23,59.84,59.61,,,,40.37,,,,-307600.0,,30.89,41.92
2020-01-24,59.56,59.0,,,,29.41,,,,-2044000.0,,26.66,39.88
2020-01-27,58.44,57.7,,,,16.48,,,,-4401400.0,,20.88,50.35
2020-01-28,57.56,56.97,,,,23.0,,,,-2922000.0,,21.33,47.78
2020-01-29,56.51,56.4,,,,21.66,61.61,55.46,58.54,-3989500.0,,20.1,46.0
2020-01-30,55.77,56.0,,,,21.48,61.69,54.96,58.33,-5357100.0,,18.61,48.72
2020-01-31,54.9,55.15,,,,13.24,61.91,54.1,58.01,-8380800.0,,15.85,49.8
2020-02-03,54.51,54.48,,,,12.29,62.14,53.31,57.72,-9705900.0,,15.18,49.27
2020-02-04,54.4,54.64,,,,44.08,62.11,52.99,57.55,-7896200.0,,23.52,42.65
2020-02-05,54.49,54.99,,,,52.44,62.02,52.8,57.41,-6293800.0,,28.02,39.9
2020-02-06,54.52,55.12,-1.81,,,48.6,61.87,52.6,57.24,-7523100.0,,26.84,38.22
2020-02-07,54.58,54.66,-1.84,,,32.33,61.86,52.16,57.01,-8829000.0,,23.66,44.42
2020-02-10,54.64,54.25,-1.87,,,30.05,61.8,51.71,56.76,-10019600.0,32.85,22.55,46.74
2020-02-11,54.41,54.11,-1.84,,,37.75,61.56,51.42,56.49,-8491500.0,31.97,26.41,43.62
2020-02-12,54.33,54.5,-1.68,,,57.61,61.23,51.36,56.29,-6870800.0,29.74,31.39,38.62
