Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1866337.0,,,
2020-01-02,,,,,,,,,,4951583.0,,,
2020-01-03,,,,,,,,,,8665098.0,,,
2020-01-06,,,,,,,,,,11915834.0,,,
2020-01-07,60.06,60.06,,,,,,,,9232635.0,,,
2020-01-08,60.2,59.94,,,,47.12,,,,6266460.0,,,
2020-01-09,60.19,59.85,,,,46.85,,,,3430996.0,,,
2020-01-10,59.95,59.57,,,,31.76,,,,808399.0,,,
2020-01-13,59.55,59.37,,,,30.83,,,,-2172733.0,,,
2020-01-14,59.25,59.22,,,,29.96,,,,-4434026.0,,,
2020-01-15,59.08,59.09,,,,27.52,,,,-7934406.0,,,
2020-01-16,58.9,58.98,,,,26.19,,,,-10670841.0,,,
2020-01-17,58.8,58.83,,,,20.49,,,,-13149542.0,,,
2020-01-21,58.5,58.38,,,,8.99,,,,-16094219.0,,,
2020-01-22,58.21,58.06,,,,8.88,,,,-19395471.0,,19.13,39.53
2020-01-23,57.92,57.84,,,,8.6,,,,-22168546.0,,17.07,44.64
2020-01-24,57.6,57.62,,,,7.03,,,,-25185383.0,,15.65,40.91
2020-01-27,57.11,57.11,,,,3.4,,,,-28494090.0,,12.81,47.52
2020-01-28,56.8,56.71,,,,3.08,,,,-31801996.0,,12.16,47.28
2020-01-29,56.46,56.39,,,,2.73,61.44,55.55,58.49,-35834596.0,,11.33,48.26
2020-01-30,55.75,55.54,,,,1.13,61.8,54.68,58.24,-49778690.0,,7.88,60.98
2020-01-31,54.75,54.41,,,,0.68,62.22,53.49,57.86,-58433906.0,,6.38,59.79
2020-02-03,53.78,53.35,,,,0.54,62.5,52.32,57.41,-68170285.0,,5.73,60.93
2020-02-04,52.92,52.78,,,,11.08,62.34,51.54,56.94,-62431969.0,,10.02,55.61
2020-02-05,52.37,52.84,,,,37.38,61.99,51.15,56.57,-57121468.0,,16.31,48.78
2020-02-06,52.03,52.61,-2.92,,,30.38,61.75,50.64,56.19,-61335220.0,,15.02,50.95
