Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,867300.0,,,
2020-01-02,,,,,,,,,,-1078500.0,,,
2020-01-03,,,,,,,,,,-2714100.0,,,
2020-01-06,,,,,,,,,,-4640700.0,,,
2020-01-07,189.57,189.57,,,,,,,,-6444300.0,,,
2020-01-08,188.62,189.64,,,,43.3,,,,-4557900.0,,,
2020-01-09,188.21,189.27,,,,35.45,,,,-6803100.0,,,
2020-01-10,188.38,189.19,,,,40.81,,,,-5801100.0,,,
2020-01-13,189.15,190.0,,,,61.89,,,,-4494600.0,,,
2020-01-14,190.09,190.5,,,,60.53,,,,-6304800.0,,,
2020-01-15,191.11,191.95,,,,76.88,,,,-4844400.0,,,
2020-01-16,192.4,192.96,,,,77.36,,,,-3349500.0,,,
2020-01-17,194.22,194.69,,,,85.81,,,,-1206000.0,,,
2020-01-21,195.44,195.69,,,,80.25,,,,-2802000.0,,,
2020-01-22,196.67,196.34,,,,79.65,,,,-3895800.0,,31.27,9.1
2020-01-23,197.47,197.18,,,,83.82,,,,-2598600.0,,28.47,10.08
2020-01-24,198.12,197.54,,,,74.8,,,,-3999000.0,,29.73,9.1
2020-01-27,197.44,196.62,,,,40.74,,,,-5232300.0,,25.61,18.41
2020-01-28,197.31,196.75,,,,56.59,,,,-4042800.0,,26.47,16.65
2020-01-29,197.13,196.75,,,,54.47,201.34,185.39,193.36,-5949300.0,,29.71,15.26
2020-01-30,195.29,194.38,,,,24.03,201.23,185.01,193.12,-9172200.0,,21.14,39.7
2020-01-31,192.76,191.47,,,,17.29,201.56,184.19,192.87,-11875800.0,,18.25,37.6
2020-02-03,192.14,191.53,,,,45.84,201.48,184.61,193.05,-9357900.0,,25.49,31.99
2020-02-04,191.87,192.9,,,,58.03,201.59,185.29,193.44,-7435500.0,,31.0,28.7
2020-02-05,191.35,193.32,,,,52.49,201.37,186.25,193.81,-9875400.0,,27.63,29.17
2020-02-06,192.21,193.53,0.56,,,51.75,201.34,186.69,194.02,-11860800.0,,26.46,27.93
2020-02-07,193.25,192.64,0.3,,,39.69,201.18,187.09,194.13,-13565400.0,,24.62,31.18
2020-02-10,193.08,192.01,0.09,,,39.36,201.05,187.39,194.22,-15084000.0,20.2,23.6,31.83
2020-02-11,192.41,192.12,0.05,,,48.77,201.04,187.47,194.26,-13860300.0,18.66,26.64,29.84
2020-02-12,192.26,192.54,0.1,,,54.52,201.03,187.67,194.35,-12750900.0,17.2,26.02,28.47
2020-02-13,192.12,192.78,0.13,,,53.6,200.96,187.58,194.27,-13589400.0,15.85,25.2,27.1
2020-02-14,192.98,193.57,0.3,,,64.76,200.97,187.59,194.28,-12673200.0,14.38,26.19,25.8
2020-02-18,193.61,193.69,0.33,,,54.24,200.52,187.62,194.07,-13912500.0,13.38,24.34,26.25
2020-02-19,194.41,194.58,0.55,0.27,0.28,67.36,200.33,187.67,194.0,-12433500.0,12.96,28.82,24.14
2020-02-20,194.67,194.61,0.58,0.33,0.25,54.11,199.97,187.74,193.85,-13455300.0,11.89,26.4,25.79
2020-02-21,194.25,193.45,0.31,0.33,-0.02,35.33,199.24,187.69,193.47,-14604900.0,11.67,24.13,29.17
2020-02-24,193.02,191.98,-0.07,0.25,-0.32,28.21,198.64,187.37,193.0,-16302300.0,12.95,21.37,36.6
2020-02-25,190.97,189.2,-0.8,0.04,-0.83,17.09,199.33,185.56,192.45,-18832800.0,14.6,18.5,36.1
2020-02-26,188.41,187.31,-1.36,-0.24,-1.12,16.91,199.34,184.21,191.78,-21005100.0,16.2,16.6,33.28
2020-02-27,184.49,183.25,-2.47,-0.69,-1.78,8.66,200.85,180.54,190.69,-23350200.0,19.01,14.13,42.18
2020-02-28,180.72,179.58,-3.53,-1.26,-2.27,7.16,202.78,176.87,189.82,-27425100.0,22.51,12.06,50.44
2020-03-02,178.8,179.54,-3.75,-1.75,-2.0,39.69,203.14,175.89,189.51,-24904200.0,23.52,21.31,44.07
2020-03-03,178.11,179.75,-3.82,-2.17,-1.65,42.34,203.11,174.77,188.94,-22691400.0,23.3,25.86,39.44
