Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,3767500.0,,,
2020-01-02,,,,,,,,,,-908400.0,,,
2020-01-03,,,,,,,,,,-4440200.0,,,
2020-01-06,,,,,,,,,,-932600.0,,,
2020-01-07,62.86,62.86,,,,,,,,-4124300.0,,,
2020-01-08,62.64,62.77,,,,19.87,,,,-7537900.0,,,
2020-01-09,62.77,62.94,,,,60.43,,,,-4423200.0,,,
2020-01-10,62.99,63.18,,,,71.39,,,,4600.0,,,
2020-01-13,63.34,63.63,,,,83.77,,,,5266700.0,,,
2020-01-14,63.8,64.06,,,,86.84,,,,10420000.0,,,
2020-01-15,64.39,64.57,,,,90.67,,,,14192400.0,,,
2020-01-16,64.97,65.09,,,,92.9,,,,17338300.0,,,
2020-01-17,65.69,65.82,,,,95.51,,,,23410900.0,,,
2020-01-21,66.41,66.58,,,,96.69,,,,27957500.0,,,
2020-01-22,67.08,67.16,,,,96.91,,,,31327300.0,,66.79,6.2
2020-01-23,67.76,67.76,,,,97.61,,,,34808500.0,,62.47,5.29
2020-01-24,68.42,68.32,,,,98.02,,,,39857400.0,,64.04,4.82
2020-01-27,68.91,68.79,,,,98.25,,,,44269700.0,,65.11,4.36
2020-01-28,69.3,69.21,,,,98.49,,,,48984300.0,,62.27,3.86
2020-01-29,69.66,69.51,,,,98.52,71.45,60.25,65.85,52236400.0,,57.08,3.54
2020-01-30,70.04,69.96,,,,99.01,72.12,60.3,66.21,55991800.0,,55.96,3.07
2020-01-31,70.23,70.1,,,,79.47,72.54,60.66,66.6,50522800.0,,52.08,2.73
2020-02-03,70.42,70.3,,,,82.37,72.9,61.11,67.0,53667400.0,,48.68,2.56
2020-02-04,70.32,70.05,,,,48.96,73.0,61.68,67.34,48163000.0,,41.95,10.2
2020-02-05,70.1,69.71,,,,40.03,72.93,62.39,67.66,41721400.0,,37.97,17.32
2020-02-06,69.7,69.42,2.23,,,36.9,72.72,63.23,67.97,36095700.0,,34.72,16.23
2020-02-07,69.3,69.07,2.02,,,29.84,72.45,64.0,68.23,32363300.0,,31.91,17.36
2020-02-10,68.85,68.86,1.83,,,31.96,72.14,64.8,68.47,36023100.0,63.17,30.29,18.66
2020-02-11,68.66,68.77,1.67,,,37.84,71.87,65.47,68.67,39365000.0,59.29,30.55,17.7
2020-02-12,68.57,68.72,1.53,,,39.16,71.55,66.16,68.85,42910000.0,56.13,29.51,16.39
2020-02-13,68.71,68.99,1.48,,,66.4,71.3,66.8,69.05,47423500.0,54.48,33.75,14.59
2020-02-14,68.84,69.0,1.38,,,50.44,71.01,67.38,69.2,42391500.0,53.04,31.2,13.49
2020-02-18,69.03,69.14,1.32,,,59.36,70.89,67.72,69.3,47559000.0,52.17,32.73,12.78
2020-02-19,69.04,68.96,1.19,1.63,-0.44,40.44,70.85,67.8,69.33,42665000.0,49.89,30.07,17.12
2020-02-20,69.28,69.24,1.17,1.54,-0.36,62.9,70.86,67.94,69.4,47711500.0,45.63,24.03,22.68
2020-02-21,69.17,69.16,1.08,1.45,-0.37,47.58,70.86,67.95,69.4,42325100.0,42.53,24.92,20.11
2020-02-24,68.92,68.71,0.9,1.34,-0.44,33.0,70.94,67.71,69.32,36680800.0,39.77,21.61,26.89
2020-02-25,68.41,68.09,0.67,1.2,-0.53,25.33,71.1,67.25,69.18,31434200.0,38.48,19.22,31.89
2020-02-26,67.93,67.46,0.44,1.05,-0.62,20.99,71.27,66.71,68.99,26407800.0,37.72,17.34,31.84
2020-02-27,66.54,65.93,-0.02,0.84,-0.86,10.19,72.07,65.18,68.62,17878700.0,39.0,13.81,44.97
2020-02-28,64.82,64.07,-0.58,0.55,-1.13,6.84,72.94,63.26,68.1,2311100.0,41.3,11.08,55.77
2020-03-02,64.04,64.03,-0.72,0.3,-1.02,41.11,72.82,62.73,67.78,10055700.0,41.2,19.61,45.85
2020-03-03,63.45,63.98,-0.83,0.07,-0.9,40.95,72.56,62.31,67.44,399200.0,39.72,25.7,41.02
2020-03-04,63.77,65.26,-0.6,-0.06,-0.53,63.67,72.39,62.31,67.35,6916400.0,37.24,29.01,34.55
2020-03-05,64.71,66.03,-0.42,-0.13,-0.29,61.92,72.26,62.29,67.28,-950600.0,34.57,29.28,31.49
2020-03-06,66.01,66.31,-0.34,-0.18,-0.16,56.04,72.11,62.25,67.18,-10741400.0,33.38,24.98,37.01
2020-03-09,65.66,64.93,-0.64,-0.27,-0.38,31.15,72.22,61.51,66.87,-19261400.0,32.92,20.8,36.64
2020-03-10,65.28,63.96,-0.89,-0.39,-0.49,30.65,72.24,60.85,66.55,-29578000.0,33.31,18.02,40.01
2020-03-11,63.36,62.03,-1.37,-0.59,-0.79,19.69,72.7,59.35,66.03,-37304600.0,34.12,15.53,39.75
2020-03-12,60.28,58.75,-2.22,-0.91,-1.3,11.6,74.08,56.33,65.2,-48095000.0,36.06,12.46,49.01
2020-03-13,57.7,57.16,-2.71,-1.27,-1.44,23.3,74.32,54.53,64.43,-38232600.0,37.85,11.24,44.18
2020-03-16,54.8,53.98,-3.57,-1.73,-1.84,14.65,75.42,51.29,63.36,-48683700.0,39.93,9.62,45.78
2020-03-17,53.7,54.84,-3.5,-2.09,-1.41,48.38,74.79,50.64,62.71,-38385600.0,40.06,15.58,37.85
2020-03-18,53.25,55.2,-3.45,-2.36,-1.09,46.72,74.18,49.98,62.08,-46527300.0,40.19,13.85,33.64
2020-03-19,52.99,53.77,-3.77,-2.64,-1.13,35.0,73.62,48.65,61.13,-53382700.0,40.3,12.48,30.37
2020-03-20,51.47,51.3,-4.34,-2.98,-1.36,27.27,73.5,46.51,60.0,-65221900.0,41.13,11.37,35.33
