Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,89700.0,,,
2020-01-02,,,,,,,,,,207800.0,,,
2020-01-03,,,,,,,,,,32900.0,,,
2020-01-06,,,,,,,,,,183100.0,,,
2020-01-07,141.16,141.16,,,,,,,,306600.0,,,
2020-01-08,141.29,141.16,,,,53.9,,,,188900.0,,,
2020-01-09,140.94,140.94,,,,40.33,,,,72700.0,,,
2020-01-10,140.74,140.54,,,,29.27,,,,-99300.0,,,
2020-01-13,140.69,140.55,,,,48.17,,,,14800.0,,,
2020-01-14,140.47,140.49,,,,44.75,,,,-94600.0,,,
2020-01-15,140.11,140.11,,,,30.4,,,,-232800.0,,,
2020-01-16,140.02,140.11,,,,46.2,,,,-128800.0,,,
2020-01-17,140.09,140.09,,,,45.16,,,,-219900.0,,,
2020-01-21,140.45,140.85,,,,73.84,,,,-53700.0,,,
2020-01-22,140.69,141.09,,,,60.08,,,,-224500.0,,40.2,23.03
2020-01-23,141.43,141.74,,,,72.01,,,,-55100.0,,42.25,20.13
2020-01-24,141.96,142.08,,,,67.0,,,,-260000.0,,42.39,17.75
2020-01-27,142.16,141.74,,,,44.9,,,,-446800.0,,36.11,26.24
2020-01-28,142.2,142.02,,,,59.74,,,,-212300.0,,39.52,23.48
2020-01-29,142.2,141.86,,,,48.64,143.18,139.08,141.13,-329200.0,,36.73,22.64
2020-01-30,141.81,141.6,,,,43.98,143.19,139.12,141.16,-440600.0,,32.37,31.83
2020-01-31,141.02,140.68,,,,28.0,143.19,138.78,140.99,-722200.0,,27.42,34.22
2020-02-03,140.59,140.09,,,,29.15,143.28,138.51,140.89,-561600.0,,25.26,31.53
2020-02-04,140.27,140.38,,,,52.96,143.28,138.52,140.9,-353500.0,,31.04,26.9
2020-02-05,140.3,140.83,,,,59.43,143.31,138.52,140.91,-249400.0,,32.03,25.07
2020-02-06,140.86,141.83,0.31,,,72.5,143.76,138.34,141.05,-44800.0,,38.8,21.67
2020-02-07,141.56,142.0,0.36,,,56.4,143.9,138.38,141.14,-142800.0,,35.7,23.96
2020-02-10,142.03,141.76,0.32,,,47.2,143.9,138.54,141.22,-278600.0,17.11,32.81,29.72
2020-02-11,142.26,141.88,0.34,,,54.47,143.99,138.61,141.3,-127400.0,16.18,33.27,28.13
2020-02-12,142.4,142.06,0.38,,,57.3,144.1,138.7,141.4,-28300.0,15.64,33.71,27.08
2020-02-13,141.85,141.74,0.31,,,43.3,144.02,138.95,141.49,-164200.0,14.09,30.84,30.82
2020-02-14,141.41,141.21,0.17,,,35.55,144.02,138.96,141.49,-303400.0,13.54,28.69,33.97
2020-02-18,141.03,140.6,-0.01,,,30.09,144.08,138.83,141.45,-579200.0,13.88,26.38,37.29
2020-02-19,140.18,139.68,-0.27,0.21,-0.48,21.74,144.25,138.21,141.23,-894400.0,14.82,23.92,39.12
2020-02-20,139.52,139.49,-0.36,0.1,-0.46,39.15,144.26,137.95,141.11,-653400.0,15.0,25.69,36.07
2020-02-21,139.1,139.34,-0.44,-0.01,-0.43,38.56,144.04,137.77,140.9,-804000.0,14.81,26.19,33.94
2020-02-24,137.97,137.72,-0.86,-0.18,-0.68,17.32,144.58,136.4,140.49,-1202800.0,16.89,20.57,46.41
2020-02-25,136.9,136.49,-1.22,-0.39,-0.83,16.19,145.09,135.19,140.14,-1520500.0,18.03,21.95,40.85
2020-02-26,136.36,136.04,-1.39,-0.59,-0.8,29.84,145.04,134.5,139.77,-1203700.0,19.03,20.07,37.21
2020-02-27,134.82,134.49,-1.81,-0.83,-0.98,17.65,145.59,132.93,139.26,-1508400.0,21.13,17.2,44.31
2020-02-28,133.16,133.24,-2.17,-1.1,-1.07,16.21,146.01,131.47,138.74,-1876300.0,23.81,15.17,50.3
2020-03-02,132.8,133.07,-2.28,-1.34,-0.94,35.94,146.17,130.71,138.44,-1612100.0,24.86,21.09,45.46
2020-03-03,132.19,132.36,-2.47,-1.56,-0.91,28.43,146.42,129.65,138.04,-1901100.0,25.23,21.64,39.72
2020-03-04,131.53,132.19,-2.52,-1.75,-0.77,36.86,146.27,128.9,137.58,-1656500.0,25.88,19.63,39.2
2020-03-05,131.09,131.19,-2.74,-1.95,-0.79,25.71,146.15,127.77,136.96,-2058400.0,26.52,17.81,36.17
2020-03-06,130.36,129.83,-3.05,-2.17,-0.88,19.8,145.69,126.55,136.12,-2350600.0,27.82,16.22,40.69
2020-03-09,128.38,127.49,-3.61,-2.46,-1.15,12.43,145.89,124.39,135.14,-2785800.0,29.82,14.02,46.18
2020-03-10,127.59,127.32,-3.66,-2.7,-0.96,39.72,145.35,123.51,134.43,-2323700.0,30.93,15.93,41.02
2020-03-11,125.78,125.81,-4.0,-2.96,-1.04,28.58,144.9,122.02,133.46,-2889200.0,32.07,14.16,38.05
2020-03-12,122.38,121.27,-5.07,-3.38,-1.68,15.17,145.95,117.95,131.95,-3425500.0,34.66,10.81,52.32
2020-03-13,120.2,119.59,-5.52,-3.81,-1.71,30.65,145.62,115.79,130.71,-2976800.0,37.03,9.59,46.39
2020-03-16,117.34,115.89,-6.43,-4.33,-2.1,21.32,146.25,112.0,129.12,-3386200.0,39.52,8.15,45.96
2020-03-17,115.72,116.89,-6.24,-4.72,-1.53,47.94,145.1,111.1,128.1,-2642900.0,39.16,18.28,37.66
2020-03-18,114.38,116.62,-6.25,-5.02,-1.23,43.0,144.16,109.86,127.01,-3222700.0,39.06,16.24,36.01
2020-03-19,115.58,117.16,-6.01,-5.22,-0.79,48.12,142.58,109.35,125.97,-2741700.0,38.61,16.9,33.59
2020-03-20,115.63,116.92,-5.89,-5.35,-0.54,44.07,140.8,108.88,124.84,-3058700.0,37.74,17.71,30.82
2020-03-23,116.15,114.98,-6.16,-5.52,-0.65,33.42,140.05,107.28,123.67,-3546600.0,38.09,15.68,38.75
2020-03-24,115.64,115.44,-5.89,-5.59,-0.3,48.62,138.74,106.83,122.79,-3139200.0,37.68,18.04,35.47
2020-03-25,116.69,117.39,-5.21,-5.51,0.31,59.5,137.01,107.17,122.09,-2652300.0,35.8,25.03,32.07
2020-03-26,118.31,120.37,-4.21,-5.25,1.04,68.12,136.29,107.39,121.84,-2275000.0,33.39,27.89,29.71
2020-03-27,120.46,122.66,-3.32,-4.87,1.55,69.56,135.75,107.58,121.66,-1945300.0,31.2,30.02,27.93
2020-03-30,123.29,123.51,-2.74,-4.44,1.7,61.72,134.56,108.02,121.29,-2219700.0,29.02,28.2,29.11
2020-03-31,124.01,122.33,-2.67,-4.09,1.42,45.13,133.25,108.23,120.74,-2576300.0,27.62,25.93,31.66
2020-04-01,123.09,120.45,-2.85,-3.84,0.99,37.41,131.51,108.46,119.98,-2974400.0,26.82,24.63,34.5
2020-04-02,121.39,119.58,-2.86,-3.64,0.78,41.68,130.16,108.67,119.41,-2681800.0,26.2,23.74,34.43
2020-04-03,118.94,118.05,-3.07,-3.53,0.46,34.25,129.11,108.51,118.81,-3018900.0,25.9,22.35,35.06
2020-04-06,118.38,119.5,-2.61,-3.34,0.74,58.53,129.06,108.52,118.79,-2690700.0,24.12,30.18,31.08
2020-04-07,118.77,120.3,-2.25,-3.13,0.87,56.73,128.22,108.85,118.53,-2930300.0,22.77,32.73,29.34
2020-04-08,120.13,121.38,-1.82,-2.86,1.05,61.49,128.32,108.82,118.57,-2691400.0,21.48,31.64,28.59
2020-04-09,121.25,122.06,-1.47,-2.59,1.12,60.83,128.64,109.63,119.13,-2907700.0,20.46,32.23,27.78
2020-04-13,122.5,121.79,-1.35,-2.34,0.99,49.73,128.84,109.93,119.38,-3062000.0,19.04,30.51,31.09
2020-04-14,122.95,122.74,-0.97,-2.07,1.09,63.0,128.47,111.91,120.19,-2764200.0,18.25,34.21,29.04
2020-04-15,123.17,122.82,-0.8,-1.81,1.02,54.26,128.74,112.05,120.4,-3066400.0,17.3,33.03,29.88
2020-04-16,122.83,122.49,-0.74,-1.6,0.86,48.36,128.81,112.56,120.68,-3261800.0,16.13,31.57,32.32
2020-04-17,123.07,123.2,-0.47,-1.37,0.9,61.04,129.22,112.79,121.0,-3080900.0,15.46,34.94,30.5
