Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,51428500.0,,,
2020-01-02,,,,,,,,,,99089000.0,,,
2020-01-03,,,,,,,,,,187981500.0,,,
2020-01-06,,,,,,,,,,238646500.0,,,
2020-01-07,88.49,88.49,,,,,,,,328057000.0,,,
2020-01-08,91.44,91.8,,,,100.0,,,,483778500.0,,,
2020-01-09,93.48,93.29,,,,79.99,,,,341576500.0,,,
2020-01-10,94.89,94.07,,,,74.49,,,,276779000.0,,,
2020-01-13,97.82,97.7,,,,88.71,,,,409367000.0,,,
2020-01-14,100.58,101.0,,,,90.55,,,,554348000.0,,,
2020-01-15,101.63,101.9,,,,69.49,,,,467504000.0,,,
2020-01-16,102.92,102.16,,,,64.64,,,,358820500.0,,,
2020-01-17,104.21,102.14,,,,61.44,,,,290675000.0,,,
2020-01-21,105.1,104.58,,,,78.08,,,,379692500.0,,,
2020-01-22,106.37,107.69,,,,83.5,,,,536537500.0,,64.2,10.64
2020-01-23,108.52,109.94,,,,84.08,,,,634792500.0,,57.45,10.91
2020-01-24,110.57,110.95,,,,74.87,,,,563024500.0,,52.99,10.6
2020-01-27,112.47,111.17,,,,66.48,,,,494984000.0,,47.79,15.31
2020-01-28,113.26,111.9,,,,71.66,,,,553926500.0,,49.09,14.21
2020-01-29,113.72,113.34,,,,78.31,122.27,82.3,102.29,642934000.0,,49.75,12.98
2020-01-30,116.46,118.28,,,,90.34,125.59,83.44,104.51,787962500.0,,58.09,10.11
2020-01-31,119.89,122.22,,,,91.32,128.8,84.63,106.72,866559000.0,,54.97,9.45
2020-02-03,128.77,133.48,,,,96.77,139.45,80.72,110.09,1101884000.0,,68.7,6.45
2020-02-04,141.58,148.13,,,,98.04,154.63,74.26,114.44,1406578000.0,,77.76,4.36
2020-02-05,147.73,147.73,,,,57.67,158.48,75.71,117.1,1164459000.0,,58.18,21.13
2020-02-06,152.05,148.42,21.99,,,59.62,162.45,76.88,119.67,1363863000.0,,50.09,20.38
2020-02-07,155.95,148.82,21.54,,,59.4,165.6,79.07,122.33,1278545500.0,,47.5,19.32
2020-02-10,155.6,150.63,21.31,,,63.64,168.84,81.69,125.26,1401991500.0,59.9,49.55,17.55
2020-02-11,151.1,152.05,20.94,,,64.26,172.11,83.41,127.76,1460479000.0,58.6,47.87,16.96
2020-02-12,152.4,152.52,20.29,,,61.26,174.74,85.37,130.05,1400366500.0,57.55,46.99,16.34
2020-02-13,154.6,155.28,20.15,,,70.25,177.79,88.03,132.91,1531813000.0,55.71,41.84,18.3
