Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,2950200.0,,,
2020-01-02,,,,,,,,,,11382800.0,,,
2020-01-03,,,,,,,,,,836400.0,,,
2020-01-06,,,,,,,,,,-8060800.0,,,
2020-01-07,58.38,58.38,,,,,,,,-616500.0,,,
2020-01-08,58.51,58.5,,,,57.71,,,,4765000.0,,,
2020-01-09,58.35,58.75,,,,64.04,,,,9877700.0,,,
2020-01-10,58.51,58.78,,,,55.97,,,,5070000.0,,,
2020-01-13,59.04,59.21,,,,70.85,,,,11683700.0,,,
2020-01-14,59.44,59.58,,,,73.3,,,,18398900.0,,,
2020-01-15,59.37,59.18,,,,41.22,,,,8323800.0,,,
2020-01-16,59.28,59.04,,,,46.66,,,,19539500.0,,,
2020-01-17,59.22,58.89,,,,44.24,,,,11413800.0,,,
2020-01-21,58.86,58.67,,,,39.17,,,,1540100.0,,,
2020-01-22,58.46,58.56,,,,41.87,,,,9664600.0,,21.62,27.09
2020-01-23,58.28,58.2,,,,29.11,,,,-334600.0,,18.53,37.25
2020-01-24,58.08,58.04,,,,36.1,,,,10067600.0,,18.06,35.13
2020-01-27,57.41,57.12,,,,16.27,,,,392100.0,,14.56,45.77
2020-01-28,57.18,57.11,,,,44.5,,,,8516500.0,,20.43,39.95
2020-01-29,56.95,57.14,,,,45.75,60.58,56.04,58.31,16209900.0,,22.28,38.07
2020-01-30,56.61,56.69,,,,32.89,60.71,55.68,58.19,5914200.0,,19.19,44.44
2020-01-31,55.86,55.77,,,,22.37,60.87,54.9,57.89,-7553000.0,,16.62,47.37
2020-02-03,55.76,55.44,,,,34.12,61.0,54.45,57.72,2041300.0,,15.6,44.46
2020-02-04,55.84,56.13,,,,59.51,61.01,54.46,57.73,14787900.0,,28.12,37.37
2020-02-05,55.99,56.73,,,,62.16,60.98,54.45,57.71,21382300.0,,29.44,35.3
2020-02-06,56.43,57.16,-0.8,,,62.92,60.91,54.44,57.67,25618600.0,,28.5,33.28
2020-02-07,56.89,56.84,-0.81,,,43.21,60.74,54.31,57.52,18810200.0,,25.42,36.41
2020-02-10,57.34,56.9,-0.74,,,51.73,60.59,54.27,57.43,23091400.0,25.91,24.2,34.66
2020-02-11,57.56,57.49,-0.55,,,64.89,60.34,54.38,57.36,29614600.0,23.28,31.82,31.1
2020-02-12,57.91,58.2,-0.31,,,70.78,60.18,54.47,57.33,35577500.0,21.75,34.6,29.22
2020-02-13,58.17,58.58,-0.15,,,66.47,60.33,54.42,57.37,29117400.0,20.26,32.73,28.55
2020-02-14,58.57,58.45,-0.11,,,51.55,60.26,54.43,57.35,22185000.0,18.46,30.07,31.07
2020-02-18,58.4,57.69,-0.24,,,34.49,60.12,54.33,57.23,11196000.0,18.54,26.07,38.58
2020-02-19,58.19,57.67,-0.22,-0.44,0.21,49.63,60.06,54.33,57.2,19062300.0,17.44,30.76,35.12
2020-02-20,57.56,57.28,-0.3,-0.41,0.11,40.37,59.93,54.27,57.1,11869400.0,17.22,27.95,37.85
2020-02-21,56.82,56.71,-0.42,-0.41,-0.01,34.24,59.91,54.11,57.01,5052800.0,17.2,26.35,37.15
2020-02-24,56.0,55.85,-0.64,-0.46,-0.18,26.07,59.96,53.69,56.83,-4916000.0,18.4,23.29,44.12
2020-02-25,55.54,55.19,-0.82,-0.53,-0.29,24.76,60.09,53.43,56.76,-17586700.0,18.84,25.2,40.66
2020-02-26,55.02,55.13,-0.85,-0.59,-0.26,41.31,60.06,53.25,56.65,-6617400.0,19.23,23.33,37.65
2020-02-27,54.38,54.52,-1.01,-0.68,-0.34,29.32,60.16,52.76,56.46,-18496300.0,20.13,21.4,39.76
2020-02-28,54.03,54.29,-1.08,-0.76,-0.32,36.59,60.22,52.5,56.36,-4891800.0,21.86,18.53,44.4
2020-03-02,54.4,54.86,-0.95,-0.8,-0.16,57.73,60.17,52.76,56.46,8905900.0,21.96,25.2,40.25
2020-03-03,54.6,54.86,-0.93,-0.82,-0.11,47.55,60.17,52.77,56.47,-5755900.0,21.79,24.26,36.34
2020-03-04,55.01,55.6,-0.72,-0.8,0.08,63.6,60.12,52.77,56.45,4122300.0,21.16,25.01,33.06
2020-03-05,55.5,55.64,-0.66,-0.78,0.11,51.51,59.96,52.71,56.34,-5881900.0,20.73,23.14,31.82
2020-03-06,55.75,55.45,-0.66,-0.75,0.09,46.15,59.77,52.61,56.19,-18853100.0,20.96,21.49,34.75
2020-03-09,54.92,54.25,-0.91,-0.78,-0.12,28.16,60.02,51.92,55.97,-32634200.0,22.27,18.27,40.4
2020-03-10,54.84,54.33,-0.88,-0.8,-0.08,48.8,59.92,51.78,55.85,-20935500.0,23.13,18.17,36.33
2020-03-11,53.88,53.64,-1.03,-0.85,-0.18,37.42,59.67,51.38,55.53,-35433500.0,24.06,16.6,34.63
2020-03-12,52.47,51.99,-1.41,-0.96,-0.45,25.7,59.66,50.29,54.98,-51375700.0,25.96,14.53,42.29
2020-03-13,51.9,52.07,-1.42,-1.05,-0.37,46.56,59.0,50.25,54.62,-36427000.0,26.74,17.46,37.23
2020-03-16,50.51,49.68,-1.99,-1.24,-0.75,26.97,59.77,48.15,53.96,-53055200.0,28.5,13.96,41.77
2020-03-17,49.32,49.3,-2.13,-1.42,-0.71,42.09,59.75,47.41,53.58,-39639500.0,29.99,13.16,37.71
2020-03-18,47.75,47.66,-2.54,-1.64,-0.9,32.46,59.98,45.85,52.91,-54658000.0,31.72,11.43,37.16
2020-03-19,46.79,46.4,-2.88,-1.89,-0.99,31.43,60.16,44.4,52.28,-65840600.0,33.42,10.72,36.25
2020-03-20,45.25,45.78,-3.05,-2.12,-0.93,34.89,60.14,43.32,51.73,-51682900.0,33.24,17.08,32.4
2020-03-23,45.32,45.6,-3.1,-2.32,-0.78,39.25,60.07,42.5,51.29,-41174300.0,33.32,16.19,33.1
2020-03-24,45.38,46.69,-2.81,-2.42,-0.4,57.06,59.8,42.28,51.04,-28958100.0,31.88,22.78,30.17
2020-03-25,46.31,47.46,-2.55,-2.44,-0.1,57.62,59.34,42.13,50.74,-19161500.0,30.11,24.45,28.67
2020-03-26,47.51,48.26,-2.24,-2.4,0.16,61.78,59.1,42.04,50.57,-8584000.0,28.31,24.54,27.54
2020-03-27,47.98,47.81,-2.21,-2.36,0.16,43.58,58.75,41.69,50.22,-20742500.0,27.43,22.45,31.29
2020-03-30,48.49,47.82,-2.09,-2.31,0.22,49.32,57.98,41.65,49.81,-12314200.0,26.6,21.82,30.15
2020-03-31,48.28,47.81,-1.97,-2.24,0.27,49.11,57.32,41.59,49.46,-21909900.0,25.44,23.37,29.03
