Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,565800.0,,,
2020-01-02,,,,,,,,,,-600700.0,,,
2020-01-03,,,,,,,,,,918300.0,,,
2020-01-06,,,,,,,,,,4435200.0,,,
2020-01-07,55.75,55.75,,,,,,,,1972200.0,,,
2020-01-08,55.86,55.78,,,,55.8,,,,-859200.0,,,
2020-01-09,55.98,55.81,,,,56.97,,,,1434300.0,,,
2020-01-10,55.98,55.7,,,,38.91,,,,-2187400.0,,,
2020-01-13,55.76,55.6,,,,36.83,,,,-5457800.0,,,
2020-01-14,55.46,55.3,,,,20.55,,,,-7322600.0,,,
2020-01-15,55.11,54.9,,,,14.23,,,,-8959100.0,,,
2020-01-16,54.79,54.7,,,,23.51,,,,-7867700.0,,,
2020-01-17,54.5,54.47,,,,19.3,,,,-9367700.0,,,
2020-01-21,54.05,54.03,,,,11.61,,,,-11391600.0,,,
2020-01-22,53.7,53.65,,,,10.14,,,,-13101500.0,,13.4,44.66
2020-01-23,53.4,53.32,,,,8.75,,,,-14650000.0,,11.77,49.41
2020-01-24,52.99,52.97,,,,6.91,,,,-16416700.0,,10.8,45.33
2020-01-27,52.35,52.25,,,,3.5,,,,-18427900.0,,8.59,54.53
2020-01-28,51.94,51.85,,,,13.12,,,,-16513700.0,,7.96,51.33
2020-01-29,51.44,51.37,,,,9.93,57.73,50.44,54.08,-18148500.0,,7.27,50.06
2020-01-30,50.89,50.88,,,,8.06,57.84,49.78,53.81,-19972700.0,,6.31,56.53
2020-01-31,50.15,50.11,,,,5.04,58.04,48.92,53.48,-22361600.0,,5.35,56.64
2020-02-03,49.69,49.58,,,,4.89,58.08,48.18,53.13,-24326200.0,,5.1,55.94
2020-02-04,49.26,49.35,,,,19.31,57.77,47.73,52.75,-22012300.0,,12.57,49.94
2020-02-05,49.19,49.58,,,,47.0,57.34,47.55,52.44,-19618700.0,,19.28,42.8
2020-02-06,49.24,49.78,-2.35,,,49.49,56.89,47.43,52.16,-17172000.0,,22.55,39.48
2020-02-07,49.41,49.66,-2.28,,,36.83,56.38,47.29,51.84,-20311900.0,,20.69,44.18
2020-02-10,49.48,49.39,-2.23,,,30.02,55.91,47.11,51.51,-22082400.0,57.5,19.02,47.9
2020-02-11,49.56,49.37,-2.14,,,41.12,55.32,47.09,51.2,-19293200.0,55.2,21.57,45.75
2020-02-12,49.51,49.51,-2.0,,,51.94,54.78,47.13,50.96,-17401900.0,51.9,26.67,42.71
2020-02-13,49.32,49.41,-1.92,,,40.42,54.32,47.1,50.71,-19861300.0,49.51,24.42,43.38
2020-02-14,49.28,49.34,-1.83,,,40.95,53.72,47.2,50.46,-18446400.0,47.5,23.09,41.72
2020-02-18,49.24,49.11,-1.79,,,31.39,53.1,47.28,50.19,-20421500.0,46.37,20.93,44.02
2020-02-19,49.14,49.02,-1.72,-2.03,0.31,37.07,52.6,47.35,49.97,-18837800.0,45.05,21.84,42.49
