Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,2224200.0,,,
2020-01-02,,,,,,,,,,-319200.0,,,
2020-01-03,,,,,,,,,,-3030600.0,,,
2020-01-06,,,,,,,,,,48500.0,,,
2020-01-07,291.47,291.47,,,,,,,,-2444400.0,,,
2020-01-08,291.86,292.95,,,,67.69,,,,934800.0,,,
2020-01-09,292.2,293.37,,,,56.78,,,,-1903400.0,,,
2020-01-10,293.32,293.96,,,,61.03,,,,574500.0,,,
2020-01-13,292.18,291.26,,,,27.07,,,,-6420400.0,,,
2020-01-14,291.87,290.25,,,,38.15,,,,-364100.0,,,
2020-01-15,291.97,292.3,,,,62.5,,,,5717200.0,,,
2020-01-16,293.27,295.12,,,,70.25,,,,9427500.0,,,
2020-01-17,293.94,296.23,,,,61.87,,,,4795300.0,,,
2020-01-21,296.88,297.67,,,,66.42,,,,9758100.0,,,
2020-01-22,299.35,298.64,,,,66.56,,,,12875700.0,,27.41,15.29
2020-01-23,299.96,298.91,,,,60.41,,,,9706100.0,,25.42,15.47
2020-01-24,298.37,296.88,,,,35.97,,,,6027600.0,,21.81,21.91
2020-01-27,295.5,292.62,,,,21.63,,,,1628200.0,,17.69,34.81
2020-01-28,292.56,290.37,,,,28.87,,,,5969200.0,,16.8,32.2
2020-01-29,289.03,287.88,,,,24.2,303.91,281.94,292.93,2005400.0,,15.49,33.24
2020-01-30,285.33,285.58,,,,21.41,304.42,280.14,292.28,-2206400.0,,13.95,37.01
2020-01-31,281.26,281.2,,,,13.05,306.17,276.38,291.28,-7739000.0,,12.13,38.49
2020-02-03,279.24,278.81,,,,20.22,307.19,273.81,290.5,-2092200.0,,11.16,35.9
2020-02-04,278.24,279.49,,,,44.89,307.16,272.77,289.96,2198000.0,,18.17,31.63
2020-02-05,280.8,284.9,,,,70.12,307.64,272.88,290.26,7959000.0,,29.88,25.97
2020-02-06,283.1,287.42,-3.51,,,62.29,307.31,272.87,290.09,4915000.0,,27.79,23.9
2020-02-07,286.45,288.02,-3.08,,,54.72,306.96,272.72,289.84,1489100.0,,26.39,23.92
2020-02-10,289.06,287.69,-2.88,,,49.63,306.42,272.45,289.43,-1658300.0,23.15,25.22,26.86
2020-02-11,291.05,288.72,-2.39,,,58.02,306.59,272.77,289.68,1333900.0,20.92,26.21,25.09
2020-02-12,292.6,293.64,-0.97,,,75.34,308.37,272.52,290.44,8035800.0,21.47,36.52,21.3
2020-02-13,294.54,296.49,0.05,,,71.61,309.21,272.25,290.73,4470300.0,22.09,35.23,19.98
2020-02-14,296.46,297.26,0.58,,,61.46,308.92,272.35,290.64,1984700.0,21.93,32.71,21.59
2020-02-18,299.48,298.88,1.26,,,67.18,309.48,272.15,290.82,5226400.0,21.79,31.07,20.51
2020-02-19,302.38,301.03,2.03,-0.99,3.01,72.06,310.33,271.79,291.06,8247500.0,22.2,33.25,19.45
2020-02-20,302.11,301.39,2.35,-0.32,2.67,60.73,310.57,271.7,291.13,5362000.0,21.42,30.51,23.22
2020-02-21,301.96,301.41,2.52,0.25,2.27,58.21,310.85,271.61,291.23,2374900.0,20.72,29.15,22.19
2020-02-24,297.76,293.53,0.74,0.35,0.4,21.16,310.93,270.03,290.48,-6415700.0,21.04,22.56,37.11
2020-02-25,290.01,283.49,-1.81,-0.09,-1.73,14.25,312.96,265.94,289.45,-14586900.0,22.7,18.73,44.1
2020-02-26,281.55,276.66,-3.82,-0.83,-2.99,14.1,314.47,262.14,288.3,-21393500.0,24.43,17.0,42.76
2020-02-27,271.91,269.08,-6.08,-1.88,-4.19,10.69,316.97,256.74,286.85,-28997800.0,26.42,15.48,44.37
2020-02-28,262.61,264.37,-7.69,-3.04,-4.65,13.68,318.67,252.44,285.55,-19036800.0,28.61,14.03,45.59
2020-03-02,261.68,267.28,-7.42,-3.92,-3.5,50.06,318.65,252.52,285.59,-10170500.0,28.25,23.28,38.11
2020-03-03,261.28,265.32,-8.06,-4.75,-3.31,37.36,319.34,250.58,284.96,-19358600.0,27.09,24.74,32.77
2020-03-04,266.56,273.36,-6.23,-5.04,-1.19,64.39,319.76,251.01,285.38,-4825600.0,25.28,28.73,26.3
2020-03-05,272.37,276.56,-5.24,-5.08,-0.16,57.27,318.81,250.69,284.75,-10734000.0,23.42,27.14,26.17
2020-03-06,278.15,278.99,-4.34,-4.93,0.6,58.08,318.19,250.44,284.32,-5372100.0,22.12,25.09,28.85
2020-03-09,278.22,277.14,-4.41,-4.83,0.42,45.6,317.64,249.41,283.53,-13442800.0,21.87,21.74,31.86
2020-03-10,281.94,278.1,-3.89,-4.64,0.75,53.46,317.29,249.07,283.18,-6076800.0,21.39,21.73,29.87
2020-03-11,279.61,277.99,-3.62,-4.44,0.82,50.38,316.53,248.53,282.53,-13821400.0,20.83,21.03,27.9
2020-03-12,273.1,268.8,-5.55,-4.66,-0.89,26.69,315.17,244.57,279.87,-24318000.0,21.76,18.06,35.79
2020-03-13,270.73,269.88,-5.27,-4.78,-0.49,49.94,312.27,244.46,278.36,-15009600.0,22.98,15.44,34.23
2020-03-16,261.05,254.93,-8.75,-5.58,-3.17,26.83,314.43,234.92,274.68,-25313100.0,24.85,12.43,34.98
2020-03-17,253.9,251.36,-9.84,-6.43,-3.41,40.8,311.55,232.01,271.78,-15670900.0,26.26,12.48,31.69
2020-03-18,241.75,239.93,-12.74,-7.69,-5.05,30.49,310.7,224.03,267.37,-28588400.0,28.47,10.51,36.77
2020-03-19,235.63,233.22,-14.66,-9.08,-5.58,32.64,308.21,218.3,263.25,-20523200.0,30.5,9.85,34.48
2020-03-20,222.54,224.34,-17.05,-10.68,-6.37,27.52,306.28,210.74,258.51,-29887300.0,31.74,11.13,30.95
2020-03-23,216.51,214.51,-19.66,-12.47,-7.19,23.44,308.67,200.06,254.36,-40541800.0,33.37,10.39,34.44
2020-03-24,211.62,216.28,-19.49,-13.88,-5.61,45.08,308.33,196.04,252.18,-31647400.0,33.63,14.5,31.41
2020-03-25,215.11,222.35,-17.97,-14.69,-3.27,54.55,307.18,194.34,250.76,-21633400.0,32.03,22.07,28.11
2020-03-26,222.23,233.36,-14.9,-14.74,-0.16,65.21,307.28,194.39,250.83,-14115800.0,29.98,23.64,25.74
2020-03-27,229.4,236.39,-13.36,-14.46,1.1,55.19,306.73,193.68,250.21,-18995300.0,28.08,22.29,24.26
2020-03-30,240.68,241.35,-11.3,-13.83,2.53,60.38,304.66,193.57,249.12,-13666300.0,26.19,22.25,23.29
2020-03-31,246.6,244.03,-9.7,-13.0,3.3,58.56,303.78,193.25,248.51,-19116300.0,24.4,21.49,22.33
2020-04-01,247.16,241.79,-9.3,-12.26,2.96,47.23,298.04,193.78,245.91,-23665100.0,23.2,20.4,23.95
2020-04-02,244.17,241.34,-8.64,-11.54,2.9,50.34,293.08,194.48,243.78,-19028300.0,22.61,19.2,26.02
2020-04-03,241.58,237.39,-8.89,-11.01,2.12,40.01,287.11,195.02,241.06,-23678600.0,22.06,18.24,24.72
2020-04-06,240.99,241.04,-7.49,-10.3,2.82,58.38,283.57,196.05,239.81,-17312700.0,20.83,20.63,22.88
2020-04-07,240.73,243.37,-6.32,-9.51,3.19,58.03,278.15,198.27,238.21,-22296800.0,20.01,25.6,21.15
2020-04-08,246.83,251.53,-3.76,-8.36,4.6,72.01,275.88,199.55,237.71,-15906600.0,19.38,24.34,19.36
2020-04-09,251.57,255.73,-2.0,-7.09,5.08,66.81,277.92,198.88,238.4,-20829900.0,18.87,23.99,18.7
2020-04-13,258.37,258.32,-0.66,-5.8,5.15,65.81,276.2,199.75,237.97,-23794800.0,18.14,23.34,19.57
2020-04-14,262.8,262.38,0.97,-4.45,5.41,71.75,280.48,200.01,240.25,-19015900.0,17.97,25.79,18.79
2020-04-15,269.53,268.81,3.12,-2.93,6.05,79.03,286.22,198.02,242.12,-11174100.0,18.36,28.63,17.79
2020-04-16,275.65,278.69,6.1,-1.13,7.23,85.85,295.05,197.33,246.19,-3435200.0,19.51,33.36,16.3
2020-04-17,280.94,282.64,7.75,0.65,7.1,72.08,300.63,198.82,249.73,-9292700.0,20.75,32.68,15.15
2020-04-20,284.66,282.48,8.27,2.17,6.1,59.34,302.21,204.79,253.5,-13365300.0,21.38,31.36,17.06
2020-04-21,285.4,279.71,7.96,3.33,4.63,49.1,298.79,216.15,257.47,-17342800.0,21.3,30.11,19.98
2020-04-22,284.47,278.82,7.84,4.23,3.61,52.73,298.64,222.03,260.33,-13679500.0,21.43,30.53,19.09
2020-04-23,281.85,280.99,8.33,5.05,3.28,62.54,300.73,225.02,262.87,-9259000.0,21.79,31.07,18.06
2020-04-24,281.99,284.42,9.09,5.86,3.23,68.41,304.29,225.04,264.67,-5994000.0,22.31,31.55,17.37
2020-04-27,284.36,287.61,9.8,6.65,3.15,70.98,307.45,227.03,267.24,-2287800.0,23.05,33.07,16.82
2020-04-28,287.2,287.86,9.79,7.28,2.52,58.55,309.61,228.58,269.1,-6150700.0,23.24,30.94,18.3
2020-04-29,289.32,287.79,9.62,7.74,1.87,56.98,311.23,230.79,271.01,-10409100.0,23.41,29.84,17.65
2020-04-30,290.75,289.35,9.76,8.15,1.61,64.97,311.88,235.66,273.77,-2777400.0,23.71,29.53,16.74
2020-05-01,289.39,287.74,9.12,8.34,0.78,46.96,311.1,240.85,275.97,-6303500.0,23.36,27.46,18.79
2020-05-04,288.11,287.67,8.76,8.43,0.33,53.14,307.07,250.68,278.87,-3409300.0,23.03,26.56,18.17
2020-05-05,289.04,289.46,8.82,8.5,0.31,62.94,306.18,256.04,281.11,-908000.0,23.3,29.88,17.25
2020-05-06,289.27,289.23,8.42,8.49,-0.07,52.32,303.27,263.02,283.15,-3487200.0,23.66,29.25,16.31
2020-05-07,287.77,287.82,7.71,8.33,-0.62,44.11,302.87,265.14,284.01,-6649500.0,23.53,27.87,17.92
2020-05-08,288.27,287.55,7.23,8.11,-0.88,49.38,301.68,268.62,285.15,-3449500.0,23.4,26.99,17.35
2020-05-11,288.5,287.93,6.9,7.87,-0.97,53.96,299.67,273.15,286.41,41200.0,23.23,26.13,17.06
2020-05-12,287.43,287.85,6.49,7.59,-1.1,50.61,298.34,276.19,287.27,-4173100.0,23.34,27.24,16.43
2020-05-13,285.28,284.57,5.32,7.14,-1.82,28.72,298.63,275.53,287.08,-9647200.0,21.92,25.01,23.27
2020-05-14,286.4,286.58,5.34,6.78,-1.43,58.14,297.16,276.23,286.69,-3942600.0,21.19,26.21,20.74
2020-05-15,287.19,288.04,5.33,6.49,-1.16,58.73,297.21,276.22,286.71,8240200.0,21.14,29.54,19.46
2020-05-18,288.13,289.81,5.46,6.28,-0.83,63.18,297.93,276.62,287.27,12255300.0,21.1,27.82,18.33
2020-05-19,288.4,289.56,5.14,6.06,-0.91,50.86,296.84,279.2,288.02,9195900.0,20.66,26.72,19.76
2020-05-20,290.39,289.04,4.76,5.8,-1.04,47.98,295.8,281.33,288.56,5995300.0,19.98,25.55,20.44
2020-05-21,289.65,288.33,4.32,5.5,-1.18,44.76,295.77,281.52,288.64,2390400.0,19.12,24.58,20.96
2020-05-22,289.45,288.87,4.16,5.23,-1.07,55.29,295.63,281.52,288.58,5313200.0,18.3,23.56,20.2
2020-05-26,289.76,290.87,4.39,5.06,-0.68,67.83,295.82,281.42,288.62,9881000.0,18.28,27.51,19.1
2020-05-27,292.7,295.17,5.22,5.09,0.13,80.24,299.16,279.63,289.39,15499900.0,18.89,29.9,17.24
2020-05-28,295.9,298.1,5.83,5.24,0.59,80.46,301.81,278.61,290.21,19887600.0,19.94,32.93,16.4
2020-05-29,299.48,300.35,6.32,5.46,0.86,81.55,304.05,277.6,290.83,26139100.0,20.54,31.0,17.34
2020-06-01,302.68,302.21,6.71,5.71,1.0,83.0,306.32,277.48,291.9,29033100.0,21.04,29.66,16.82
2020-06-02,304.97,303.58,6.97,5.96,1.01,83.57,308.4,277.28,292.84,31789900.0,21.71,29.85,15.94
2020-06-03,305.28,304.17,7.02,6.17,0.85,75.57,309.94,276.96,293.45,27429900.0,22.52,29.7,14.97
2020-06-04,304.1,302.14,6.4,6.22,0.18,39.64,310.38,277.46,293.92,23055600.0,21.89,27.03,20.47
2020-06-05,305.5,305.38,6.93,6.36,0.57,71.6,312.93,277.59,295.26,28609900.0,22.26,31.19,17.94
2020-06-08,306.21,306.74,7.09,6.51,0.58,64.28,314.66,278.11,296.38,23974400.0,22.73,30.49,16.84
2020-06-09,306.79,307.57,7.11,6.63,0.48,63.36,316.14,278.68,297.41,20912900.0,23.07,29.19,16.6
2020-06-10,306.87,306.96,6.76,6.65,0.11,51.51,316.82,279.8,298.31,17616800.0,22.68,27.44,19.21
2020-06-11,304.0,299.22,4.66,6.25,-1.59,20.71,315.98,281.21,298.6,10977900.0,22.25,22.55,31.54
2020-06-12,298.66,294.53,3.07,5.62,-2.54,24.36,316.36,280.29,298.33,16394700.0,22.02,20.16,29.65
2020-06-15,294.02,291.78,1.89,4.87,-2.99,27.66,316.62,279.56,298.09,20889300.0,22.2,18.35,30.36
2020-06-16,290.78,292.19,1.47,4.19,-2.72,45.41,316.62,279.53,298.07,25134700.0,21.17,24.06,28.06
2020-06-17,288.15,292.32,1.1,3.57,-2.48,44.6,316.52,279.99,298.25,22596700.0,20.2,23.4,27.29
2020-06-18,289.7,292.04,0.7,3.0,-2.3,41.97,316.36,280.49,298.43,19670100.0,19.73,22.39,29.46
2020-06-19,290.92,291.78,0.36,2.47,-2.11,41.31,316.11,281.17,298.64,14497300.0,18.76,24.99,28.23
2020-06-22,292.2,292.07,0.21,2.02,-1.81,47.41,316.02,281.54,298.78,16671400.0,18.29,23.7,30.32
2020-06-23,293.12,293.92,0.48,1.71,-1.23,63.68,316.07,281.76,298.92,20694800.0,17.16,27.04,28.41
2020-06-24,292.43,292.34,0.01,1.37,-1.36,38.35,315.69,280.68,298.19,17294900.0,16.64,24.59,29.98
2020-06-25,293.38,293.63,0.21,1.14,-0.93,56.45,315.12,280.48,297.8,20407400.0,16.16,22.62,27.58
2020-06-26,292.51,291.38,-0.38,0.83,-1.22,37.97,314.52,279.28,296.9,15364200.0,15.73,20.82,25.56
2020-06-29,291.93,290.84,-0.61,0.54,-1.16,44.92,313.46,278.72,296.09,17720900.0,15.34,19.92,24.45
2020-06-30,291.4,292.21,-0.37,0.36,-0.73,56.02,312.25,278.79,295.52,20653800.0,14.41,21.77,22.81
2020-07-01,293.11,294.05,0.04,0.3,-0.26,61.25,311.3,278.99,295.14,22957600.0,13.71,23.95,21.82
2020-07-02,293.52,295.45,0.41,0.32,0.09,62.32,311.31,278.99,295.15,24929300.0,13.39,24.98,20.78
2020-07-06,296.7,297.91,1.05,0.47,0.59,70.92,309.41,279.99,294.7,27324300.0,13.14,24.23,19.87
2020-07-07,298.08,297.49,1.05,0.58,0.47,51.16,307.16,280.95,294.06,25248600.0,12.4,22.68,21.45
2020-07-08,298.76,297.78,1.18,0.7,0.48,55.46,304.85,282.18,293.52,27236000.0,11.67,21.66,20.72
2020-07-09,297.45,295.57,0.69,0.7,-0.01,37.89,302.66,282.92,292.79,24174300.0,11.79,19.64,25.69
2020-07-10,296.04,294.12,0.31,0.62,-0.32,38.12,302.16,284.16,293.16,26565900.0,11.95,18.44,24.47
2020-07-13,295.42,295.99,0.68,0.63,0.04,60.86,302.52,285.25,293.89,30829200.0,11.57,24.86,21.8
2020-07-14,297.8,300.16,1.66,0.84,0.82,73.51,305.04,284.96,295.0,35064100.0,11.81,26.43,19.55
2020-07-15,298.94,301.47,2.06,1.08,0.98,61.05,306.29,284.82,295.55,29947200.0,12.14,24.7,17.73
2020-07-16,302.14,303.36,2.6,1.39,1.21,66.03,308.04,284.52,296.28,33791700.0,12.46,23.34,16.67
2020-07-17,305.2,304.42,2.94,1.7,1.24,63.97,309.38,284.69,297.03,30775200.0,12.78,22.55,16.03
2020-07-20,305.95,304.1,2.92,1.94,0.98,53.63,309.99,285.3,297.65,28399700.0,12.4,21.39,18.41
2020-07-21,305.26,304.44,3.01,2.16,0.86,58.17,310.8,285.73,298.27,30739900.0,12.05,20.67,17.79
2020-07-22,305.79,305.19,3.17,2.36,0.82,62.61,311.78,285.67,298.72,32675700.0,11.49,19.74,18.14
2020-07-23,304.96,304.45,2.97,2.48,0.49,47.79,311.82,287.0,299.41,30308000.0,11.23,19.88,16.97
2020-07-24,303.81,303.23,2.6,2.5,0.09,40.76,311.97,287.31,299.64,27892300.0,10.61,18.96,18.05
2020-07-27,302.84,301.69,2.1,2.42,-0.32,34.4,311.11,289.35,300.23,25831800.0,10.02,18.11,19.0
2020-07-28,301.8,301.1,1.8,2.3,-0.5,41.35,310.51,290.96,300.73,28089200.0,9.51,17.37,18.38
2020-07-29,301.79,302.96,2.08,2.25,-0.18,64.91,311.04,291.6,301.32,30761900.0,10.07,23.69,16.66
2020-07-30,302.25,303.72,2.16,2.24,-0.08,58.59,311.41,291.98,301.7,28556600.0,10.37,21.94,16.48
2020-07-31,302.64,303.4,2.0,2.19,-0.19,48.6,311.52,292.33,301.92,24643100.0,10.46,20.44,16.16
2020-08-03,303.65,303.47,1.92,2.13,-0.22,52.06,311.58,292.35,301.96,27271600.0,10.75,20.44,15.26
2020-08-04,304.56,303.82,1.9,2.09,-0.18,56.03,311.71,293.0,302.35,30866500.0,11.65,22.5,13.98
2020-08-05,305.72,306.7,2.51,2.17,0.34,77.18,313.2,292.92,303.06,33848700.0,13.05,24.58,12.86
2020-08-06,307.48,309.15,3.08,2.35,0.73,79.63,313.87,294.54,304.21,37154000.0,14.76,26.35,12.14
2020-08-07,310.33,311.78,3.73,2.63,1.1,83.7,314.77,296.23,305.5,39754800.0,16.65,27.59,11.47
2020-08-10,313.43,314.22,4.36,2.97,1.38,86.12,317.07,295.86,306.46,42318400.0,18.57,27.71,10.91
2020-08-11,315.64,314.66,4.52,3.28,1.24,65.33,318.12,295.52,306.82,39300200.0,20.77,29.03,9.85
2020-08-12,317.6,317.2,5.13,3.65,1.48,77.94,320.79,294.66,307.73,42216000.0,22.81,26.85,9.11
2020-08-13,319.09,318.64,5.49,4.02,1.47,74.17,322.82,294.07,308.44,40056500.0,24.7,25.66,8.71
2020-08-14,320.43,320.33,5.89,4.39,1.49,78.03,325.1,293.51,309.3,41843700.0,26.68,26.4,8.25
2020-08-17,320.71,320.39,5.87,4.69,1.18,61.3,326.43,293.88,310.16,39071200.0,28.52,25.17,7.86
2020-08-18,320.96,319.19,5.5,4.85,0.65,46.76,327.09,294.4,310.74,36551200.0,29.02,23.34,11.09
2020-08-19,319.59,317.93,5.03,4.89,0.15,42.02,327.53,294.82,311.18,34484500.0,29.32,22.26,11.15
2020-08-20,317.95,316.4,4.45,4.8,-0.35,35.42,327.63,295.76,311.69,32238900.0,28.66,21.42,14.26
2020-08-21,316.04,315.64,4.0,4.64,-0.64,40.03,327.51,297.21,312.36,34727400.0,27.53,20.17,15.59
2020-08-24,313.7,313.38,3.18,4.35,-1.17,25.28,326.77,298.98,312.87,31805200.0,25.6,17.9,17.72
2020-08-25,312.79,312.99,2.77,4.03,-1.26,42.24,326.06,300.91,313.49,33684500.0,23.81,17.0,16.83
2020-08-26,311.47,311.6,2.15,3.66,-1.51,32.86,325.97,301.22,313.59,30505600.0,22.99,15.43,19.78
2020-08-27,311.14,311.62,1.87,3.3,-1.43,45.53,325.73,302.1,313.92,32826600.0,21.42,17.5,17.86
2020-08-28,311.18,312.54,1.84,3.01,-1.17,55.48,325.15,303.85,314.5,35710100.0,20.06,17.34,16.58
2020-08-31,311.93,312.54,1.65,2.73,-1.09,48.08,324.41,305.47,314.94,31368500.0,19.56,19.98,15.36
2020-09-01,312.05,312.64,1.5,2.49,-0.98,49.38,323.61,307.11,315.36,33855600.0,18.49,18.97,17.3
2020-09-02,314.33,315.17,1.96,2.38,-0.42,72.3,324.15,307.35,315.75,36702100.0,18.67,24.1,15.72
2020-09-03,315.24,315.52,1.98,2.3,-0.32,55.35,324.22,307.49,315.86,32829600.0,19.22,24.21,14.12
2020-09-04,314.77,314.35,1.64,2.17,-0.53,42.28,324.12,307.09,315.6,29928600.0,18.21,21.58,19.48
2020-09-08,313.71,311.98,0.97,1.93,-0.96,31.75,324.1,305.93,315.01,27334100.0,17.04,19.88,20.64
2020-09-09,313.55,312.0,0.82,1.71,-0.89,48.0,324.01,305.66,314.84,29529700.0,16.35,22.04,19.05
2020-09-10,310.42,309.53,0.09,1.38,-1.29,32.81,323.49,304.42,313.95,27108500.0,15.47,19.85,21.51
2020-09-11,307.47,306.85,-0.72,0.96,-1.69,28.13,323.27,302.63,312.95,24022600.0,15.57,18.18,25.59
2020-09-14,306.78,307.42,-0.79,0.61,-1.4,48.85,321.41,302.97,312.19,25818100.0,14.88,20.8,23.37
2020-09-15,306.78,307.36,-0.94,0.3,-1.24,45.74,320.15,302.91,311.53,24349800.0,14.17,20.08,22.21
2020-09-16,305.68,307.08,-1.1,0.02,-1.12,43.88,319.54,302.49,311.02,20911600.0,13.39,19.68,20.95
2020-09-17,305.76,306.38,-1.34,-0.25,-1.09,39.54,319.16,301.83,310.49,18517500.0,13.29,18.69,23.81
2020-09-18,307.06,306.93,-1.26,-0.45,-0.81,51.41,318.86,301.6,310.23,22312900.0,12.66,20.4,22.29
2020-09-21,305.19,304.35,-1.9,-0.74,-1.16,30.01,319.15,299.81,309.48,18188200.0,13.62,17.43,29.81
