Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,1588800.0,,,
2020-01-02,,,,,,,,,,4033600.0,,,
2020-01-03,,,,,,,,,,1689400.0,,,
2020-01-06,,,,,,,,,,-1453100.0,,,
2020-01-07,180.31,180.31,,,,,,,,-5549500.0,,,
2020-01-08,180.15,180.21,,,,48.26,,,,-2732000.0,,,
2020-01-09,179.52,179.84,,,,39.65,,,,-6043100.0,,,
2020-01-10,178.91,179.21,,,,30.95,,,,-8987400.0,,,
2020-01-13,179.01,179.44,,,,52.82,,,,-6952200.0,,,
2020-01-14,179.55,179.89,,,,60.08,,,,-4146300.0,,,
2020-01-15,179.71,180.19,,,,60.08,,,,-4146300.0,,,
2020-01-16,180.67,181.43,,,,78.16,,,,-918900.0,,,
2020-01-17,182.14,182.73,,,,82.66,,,,3089700.0,,,
2020-01-21,182.66,182.64,,,,54.43,,,,-351200.0,,,
2020-01-22,182.68,182.07,,,,44.32,,,,-3345100.0,,22.27,15.45
2020-01-23,183.96,183.78,,,,71.45,,,,1605400.0,,31.28,12.06
2020-01-24,184.32,184.41,,,,62.3,,,,-1128600.0,,30.96,10.44
2020-01-27,182.95,182.43,,,,35.3,,,,-5312500.0,,24.94,24.81
2020-01-28,182.38,181.5,,,,40.53,,,,-2048000.0,,22.86,22.74
2020-01-29,182.55,181.59,,,,49.8,186.27,176.28,181.27,222800.0,,26.66,20.13
2020-01-30,181.73,182.09,,,,55.08,186.44,176.34,181.39,3217200.0,,23.8,21.39
2020-01-31,180.48,181.2,,,,40.15,186.35,176.14,181.25,-436500.0,,21.31,20.31
2020-02-03,180.84,180.89,,,,44.62,186.33,176.09,181.21,2056600.0,,20.0,19.06
2020-02-04,181.56,181.68,,,,57.94,186.52,176.28,181.4,3914500.0,,24.52,17.05
2020-02-05,182.22,182.81,,,,64.62,186.88,176.63,181.75,6048000.0,,24.95,16.04
2020-02-06,182.83,183.91,1.13,,,68.1,187.45,176.66,182.06,8980400.0,,27.49,15.0
2020-02-07,183.71,183.89,1.13,,,53.4,187.56,177.03,182.29,6759000.0,,25.67,17.71
2020-02-10,184.59,184.15,1.18,,,57.61,187.59,177.67,182.63,8541800.0,15.79,23.77,20.17
2020-02-11,184.6,183.86,1.1,,,48.64,187.61,177.99,182.8,7020100.0,15.43,24.34,18.96
2020-02-12,184.55,184.2,1.15,,,57.96,187.8,178.21,183.0,9632300.0,15.27,23.48,17.78
2020-02-13,184.26,184.34,1.16,,,56.16,187.93,178.46,183.19,7770800.0,14.86,22.23,17.74
2020-02-14,184.29,184.23,1.1,,,50.48,187.94,178.46,183.2,5636000.0,14.07,20.7,18.1
2020-02-18,183.78,183.52,0.89,,,36.69,187.69,178.38,183.04,2471600.0,12.75,19.29,19.24
2020-02-19,183.82,183.51,0.83,1.08,-0.24,49.41,187.74,178.44,183.09,5278800.0,12.17,20.13,17.69
2020-02-20,183.53,183.48,0.76,1.01,-0.25,48.54,187.76,178.67,183.21,3087900.0,11.11,18.76,18.91
2020-02-21,182.94,182.89,0.57,0.92,-0.36,35.43,187.14,178.74,182.94,197200.0,10.66,17.58,19.84
2020-02-24,181.5,180.86,0.02,0.74,-0.73,17.81,187.28,177.71,182.5,-6587900.0,12.77,14.77,30.57
2020-02-25,179.26,177.54,-0.89,0.42,-1.3,10.2,188.9,175.33,182.12,-14219600.0,15.7,12.41,34.34
2020-02-26,175.71,173.61,-1.99,-0.06,-1.93,6.96,191.24,171.6,181.42,-19141000.0,19.1,10.75,37.96
2020-02-27,170.96,168.95,-3.33,-0.72,-2.61,4.73,193.97,166.66,180.32,-27055700.0,23.18,9.06,47.37
2020-02-28,166.57,165.9,-4.32,-1.44,-2.88,5.9,195.39,162.91,179.15,-20009900.0,27.14,8.02,47.57
2020-03-02,163.28,164.05,-5.01,-2.15,-2.85,9.76,196.39,160.01,178.2,-12945100.0,29.93,10.26,42.7
2020-03-03,160.57,161.81,-5.73,-2.87,-2.86,7.56,197.34,156.76,177.05,-18599100.0,30.5,16.54,35.98
2020-03-04,159.86,161.93,-5.84,-3.46,-2.38,36.39,197.07,154.93,176.0,-14184100.0,31.03,15.24,33.17
2020-03-05,158.92,159.61,-6.44,-4.06,-2.38,23.01,197.0,151.98,174.49,-19086000.0,32.11,13.54,35.42
2020-03-06,158.18,158.43,-6.74,-4.59,-2.15,28.18,196.2,149.78,172.99,-14442700.0,33.64,12.14,37.97
2020-03-09,153.28,150.9,-8.52,-5.38,-3.14,11.25,198.3,142.88,170.59,-23842900.0,36.18,9.23,45.3
2020-03-10,151.18,149.54,-8.94,-6.09,-2.85,36.93,197.46,139.94,168.7,-15752600.0,38.14,9.62,40.24
2020-03-11,147.05,146.88,-9.58,-6.79,-2.8,31.48,196.85,136.37,166.61,-22827400.0,39.96,8.86,37.33
2020-03-12,142.47,141.94,-10.74,-7.58,-3.16,23.6,196.51,131.43,163.97,-31632600.0,42.34,7.48,44.11
2020-03-13,140.02,142.58,-10.58,-8.18,-2.4,44.96,194.14,129.72,161.93,-23746200.0,44.13,8.17,39.56
2020-03-16,137.88,136.75,-11.83,-8.91,-2.92,28.91,193.29,124.68,158.99,-30848900.0,46.29,6.79,42.68
2020-03-17,134.24,134.04,-12.4,-9.61,-2.79,34.42,191.32,121.3,156.31,-22827200.0,48.34,6.16,40.13
2020-03-18,128.94,127.72,-13.78,-10.44,-3.34,25.09,189.92,115.87,152.89,-33697100.0,50.65,5.16,44.16
2020-03-19,126.86,125.7,-14.18,-11.19,-2.99,35.66,186.43,113.17,149.8,-25182800.0,52.71,4.99,40.55
2020-03-20,121.66,123.08,-14.64,-11.88,-2.76,32.35,182.69,110.53,146.61,-31850900.0,54.18,5.97,37.2
2020-03-23,119.45,120.07,-15.13,-12.53,-2.6,29.0,179.42,107.53,143.47,-37861900.0,55.66,5.57,37.35
2020-03-24,119.5,123.0,-14.16,-12.86,-1.31,52.85,175.53,107.21,141.37,-30843000.0,55.02,12.02,33.44
2020-03-25,123.06,126.3,-12.92,-12.87,-0.05,57.69,172.15,107.3,139.73,-23919800.0,52.86,17.95,30.42
2020-03-26,127.23,131.7,-11.04,-12.5,1.47,67.56,170.03,107.71,138.87,-17851200.0,50.56,18.22,28.38
2020-03-27,131.47,134.15,-9.71,-11.94,2.24,61.16,167.48,108.19,137.83,-22813600.0,48.41,17.25,26.63
2020-03-30,136.7,136.17,-8.46,-11.25,2.78,62.64,164.66,109.0,136.83,-19504400.0,46.42,16.45,25.39
2020-03-31,139.14,137.79,-7.33,-10.46,3.14,63.89,162.31,109.72,136.01,-15257300.0,44.38,16.6,24.15
2020-04-01,139.85,137.36,-6.72,-9.71,3.0,52.05,158.14,111.32,134.73,-20382900.0,42.98,15.62,26.2
2020-04-02,139.72,138.84,-5.74,-8.92,3.18,62.26,155.85,112.29,134.07,-14373900.0,41.02,17.89,24.8
2020-04-03,139.62,138.75,-5.16,-8.17,3.01,53.58,152.65,113.74,133.19,-18461900.0,39.19,17.24,23.73
2020-04-06,141.15,141.78,-3.91,-7.32,3.4,69.06,154.25,113.34,133.79,-13596000.0,36.52,20.77,21.89
2020-04-07,142.09,143.11,-3.06,-6.46,3.41,63.13,154.07,113.41,133.74,-18325000.0,34.21,22.6,20.57
2020-04-08,144.72,145.28,-2.04,-5.58,3.54,69.23,155.37,112.91,134.14,-14699400.0,32.06,21.69,19.74
