Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,2875100.0,,,
2020-01-02,,,,,,,,,,-1283000.0,,,
2020-01-03,,,,,,,,,,-3760800.0,,,
2020-01-06,,,,,,,,,,-7142400.0,,,
2020-01-07,116.55,116.55,,,,,,,,-9094700.0,,,
2020-01-08,116.47,116.59,,,,50.8,,,,-7078700.0,,,
2020-01-09,116.5,116.7,,,,60.94,,,,-4927200.0,,,
2020-01-10,116.33,116.43,,,,30.29,,,,-7472200.0,,,
2020-01-13,116.44,116.53,,,,54.2,,,,-5646000.0,,,
2020-01-14,116.7,116.78,,,,63.46,,,,-3047400.0,,,
2020-01-15,116.95,117.16,,,,72.33,,,,121000.0,,,
2020-01-16,117.29,117.65,,,,78.92,,,,2547800.0,,,
2020-01-17,117.83,117.96,,,,78.58,,,,-855600.0,,,
2020-01-21,117.96,117.77,,,,47.35,,,,-3816300.0,,,
2020-01-22,117.96,117.6,,,,44.95,,,,-6241600.0,,23.08,14.41
2020-01-23,117.76,117.38,,,,38.73,,,,-8735300.0,,20.55,23.75
2020-01-24,117.37,117.14,,,,33.92,,,,-10750700.0,,19.0,21.95
2020-01-27,116.63,116.4,,,,16.97,,,,-13654500.0,,15.47,32.35
2020-01-28,116.23,116.06,,,,28.52,,,,-11614900.0,,18.79,28.99
2020-01-29,115.93,115.96,,,,37.88,118.64,114.93,116.78,-8769500.0,,20.48,26.43
2020-01-30,114.14,113.3,,,,8.9,120.58,112.08,116.33,-18242500.0,,13.82,48.69
2020-01-31,111.51,110.04,,,,5.73,122.67,108.66,115.67,-25476800.0,,11.48,55.11
2020-02-03,108.94,107.37,,,,4.99,124.09,105.77,114.93,-31103900.0,,10.39,54.7
2020-02-04,106.54,106.04,,,,17.09,124.71,103.87,114.29,-26245200.0,,9.74,51.29
2020-02-05,104.59,106.04,,,,36.89,124.78,102.81,113.79,-21805300.0,,17.66,45.9
2020-02-06,104.3,106.2,-4.86,,,40.05,124.63,101.95,113.29,-17943500.0,,20.26,42.47
2020-02-07,104.22,105.17,-4.98,,,27.59,124.63,100.57,112.6,-23697900.0,,18.03,45.63
2020-02-10,104.42,104.47,-5.03,,,27.43,124.57,99.34,111.96,-28367300.0,41.61,16.83,46.89
2020-02-11,104.72,104.6,-4.86,,,42.25,124.13,98.59,111.36,-25561000.0,40.9,20.9,43.39
2020-02-12,104.62,104.92,-4.62,,,47.26,123.48,98.07,110.78,-23067700.0,39.4,23.83,40.78
2020-02-13,104.37,105.02,-4.41,,,45.07,122.62,97.66,110.14,-25836000.0,38.49,22.48,42.08
2020-02-14,104.93,105.33,-4.13,,,51.69,121.48,97.53,109.51,-23141400.0,37.66,21.56,39.98
2020-02-18,105.6,105.7,-3.83,,,56.07,120.18,97.62,108.9,-19769800.0,36.44,23.15,38.32
2020-02-19,105.98,106.05,-3.52,-4.47,0.95,59.4,118.98,97.75,108.37,-17106600.0,35.31,22.52,36.93
2020-02-20,106.17,106.19,-3.26,-4.23,0.96,55.1,117.65,98.01,107.83,-20277800.0,33.87,23.43,34.73
2020-02-21,105.71,105.11,-3.31,-4.04,0.74,25.71,116.22,98.04,107.13,-26312400.0,33.84,20.49,41.15
2020-02-24,104.22,102.9,-3.66,-3.97,0.31,13.98,114.94,97.5,106.22,-33612800.0,35.16,17.17,50.09
2020-02-25,101.71,99.9,-4.26,-4.03,-0.23,8.81,114.49,95.85,105.17,-41221900.0,37.12,14.35,53.91
2020-02-26,99.11,97.84,-4.69,-4.16,-0.53,8.66,113.44,94.73,104.09,-48633600.0,38.89,13.48,50.72
2020-02-27,95.86,95.31,-5.26,-4.38,-0.88,6.04,112.41,93.21,102.81,-57777400.0,40.95,12.09,54.31
2020-02-28,93.37,93.7,-5.62,-4.63,-0.99,8.52,112.62,91.26,101.94,-46279400.0,43.09,10.93,54.89
2020-03-02,92.22,93.39,-5.66,-4.83,-0.83,29.49,112.77,90.03,101.4,-37540600.0,44.06,14.44,49.69
2020-03-03,91.7,92.69,-5.74,-5.02,-0.73,24.91,113.04,88.68,100.86,-46804000.0,43.58,19.38,43.27
2020-03-04,92.12,93.73,-5.38,-5.09,-0.29,53.22,112.8,88.17,100.48,-40159200.0,43.14,17.35,38.72
2020-03-05,92.67,93.49,-5.26,-5.12,-0.14,41.09,112.28,87.38,99.83,-45436400.0,42.74,15.83,35.33
