Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,5273000.0,,,
2020-01-02,,,,,,,,,,14006000.0,,,
2020-01-03,,,,,,,,,,9106300.0,,,
2020-01-06,,,,,,,,,,-1003200.0,,,
2020-01-07,189.3,189.3,,,,,,,,-5395500.0,,,
2020-01-08,190.1,190.17,,,,75.95,,,,316500.0,,,
2020-01-09,190.53,191.2,,,,81.17,,,,7064500.0,,,
2020-01-10,191.36,192.06,,,,82.98,,,,13650900.0,,,
2020-01-13,192.59,193.15,,,,87.49,,,,24941400.0,,,
2020-01-14,194.06,194.11,,,,89.14,,,,31177900.0,,,
2020-01-15,195.64,196.01,,,,94.17,,,,42009000.0,,,
2020-01-16,197.18,197.66,,,,95.05,,,,51992700.0,,,
2020-01-17,199.37,200.0,,,,96.93,,,,64511600.0,,,
2020-01-21,201.76,202.43,,,,97.69,,,,79373300.0,,,
2020-01-22,204.13,204.26,,,,97.85,,,,87438300.0,,64.54,2.53
2020-01-23,205.47,205.01,,,,82.09,,,,78917500.0,,57.28,9.46
2020-01-24,206.28,205.01,,,,67.2,,,,71104600.0,,49.91,11.96
2020-01-27,205.68,203.9,,,,44.98,,,,63905700.0,,41.03,25.23
2020-01-28,204.79,203.55,,,,51.94,,,,71121400.0,,39.9,23.59
2020-01-29,204.18,203.99,,,,62.28,211.48,184.36,197.92,78163100.0,,42.02,21.22
2020-01-30,204.52,205.39,,,,73.95,212.38,185.49,198.93,86735000.0,,43.12,18.23
2020-01-31,203.32,203.25,,,,35.78,212.29,186.36,199.33,70035400.0,,33.38,25.59
2020-02-03,203.14,202.44,,,,43.09,212.06,187.71,199.89,80921300.0,,30.9,23.69
2020-02-04,203.28,202.81,,,,53.07,211.83,189.38,200.61,91127200.0,,33.98,21.54
2020-02-05,202.87,202.81,,,,50.08,211.14,191.48,201.31,82454800.0,,29.94,23.77
2020-02-06,201.84,202.89,3.3,,,51.13,210.72,193.02,201.87,89456000.0,,28.56,22.67
2020-02-07,202.59,202.84,3.09,,,49.43,210.26,194.42,202.34,83764900.0,,26.85,24.35
2020-02-10,203.63,203.89,3.14,,,65.17,209.97,195.94,202.95,90004400.0,25.51,29.31,22.12
2020-02-11,203.7,203.91,2.99,,,52.33,209.47,197.3,203.38,79772500.0,24.88,30.07,20.25
2020-02-12,204.63,205.08,3.11,,,66.44,209.27,198.64,203.95,87128300.0,24.5,28.44,18.48
2020-02-13,205.5,205.86,3.17,,,66.16,209.49,199.18,204.33,77633000.0,24.29,27.66,17.53
