Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,8207600.0,,,
2020-01-02,,,,,,,,,,27618000.0,,,
2020-01-03,,,,,,,,,,9848000.0,,,
2020-01-06,,,,,,,,,,-9365300.0,,,
2020-01-07,13.26,13.26,,,,,,,,9494300.0,,,
2020-01-08,13.27,13.25,,,,48.13,,,,-15422100.0,,,
2020-01-09,13.17,13.16,,,,26.84,,,,-33359100.0,,,
2020-01-10,13.11,13.1,,,,25.61,,,,-47414200.0,,,
2020-01-13,13.15,13.17,,,,62.87,,,,-21333800.0,,,
2020-01-14,13.19,13.26,,,,69.88,,,,-3766600.0,,,
2020-01-15,13.2,13.26,,,,51.96,,,,-19694900.0,,,
2020-01-16,13.23,13.23,,,,44.47,,,,-33396600.0,,,
2020-01-17,13.36,13.36,,,,69.95,,,,-11366300.0,,,
2020-01-21,13.35,13.32,,,,47.79,,,,-35034600.0,,,
2020-01-22,13.34,13.36,,,,55.64,,,,-20790200.0,,28.56,22.0
2020-01-23,13.35,13.34,,,,49.12,,,,-47072400.0,,24.97,29.37
2020-01-24,13.29,13.17,,,,31.45,,,,-77633300.0,,20.76,33.79
2020-01-27,12.96,12.78,,,,17.27,,,,-117987100.0,,15.93,47.12
2020-01-28,12.75,12.58,,,,26.19,,,,-92983300.0,,18.55,43.49
2020-01-29,12.45,12.37,,,,22.34,13.99,12.14,13.06,-114930900.0,,17.26,44.84
2020-01-30,12.2,12.25,,,,25.89,14.03,11.97,13.0,-88802600.0,,15.66,46.71
2020-01-31,11.97,12.08,,,,20.44,14.06,11.77,12.92,-112016400.0,,14.06,43.88
2020-02-03,11.95,12.02,,,,31.4,14.06,11.63,12.85,-94072500.0,,16.88,41.19
2020-02-04,11.96,12.09,,,,48.58,14.04,11.57,12.8,-72998500.0,,23.83,36.8
2020-02-05,12.06,12.21,,,,57.12,13.99,11.53,12.76,-55181900.0,,27.26,33.79
2020-02-06,12.14,12.27,-0.45,,,54.95,13.94,11.5,12.72,-71564900.0,,25.11,33.91
2020-02-07,12.2,12.19,-0.45,,,38.48,13.92,11.43,12.67,-108840300.0,,22.73,37.92
2020-02-10,12.14,12.0,-0.47,,,26.39,13.93,11.28,12.61,-138752500.0,30.61,20.13,43.73
2020-02-11,12.08,11.97,-0.46,,,42.74,13.85,11.22,12.54,-108596700.0,30.2,22.9,39.67
2020-02-12,12.02,12.02,-0.43,,,51.21,13.72,11.21,12.47,-83840400.0,29.05,25.26,37.14
2020-02-13,11.92,11.99,-0.42,,,43.56,13.62,11.18,12.4,-105549700.0,28.71,23.95,40.41
2020-02-14,11.89,11.95,-0.41,,,41.13,13.53,11.15,12.34,-121248100.0,28.68,22.73,40.79
2020-02-18,11.97,11.97,-0.38,,,49.86,13.29,11.22,12.26,-95845500.0,28.01,24.66,38.24
2020-02-19,12.0,12.0,-0.36,-0.43,0.07,51.65,13.13,11.26,12.2,-79617500.0,27.42,23.97,37.16
2020-02-20,11.94,11.95,-0.35,-0.41,0.06,39.8,12.88,11.36,12.12,-99011600.0,27.35,22.23,38.44
2020-02-21,11.84,11.77,-0.37,-0.4,0.03,24.62,12.62,11.43,12.02,-138739600.0,28.49,19.4,45.41
2020-02-24,11.58,11.37,-0.46,-0.41,-0.04,12.6,12.69,11.14,11.91,-189309200.0,30.67,15.9,52.35
2020-02-25,11.24,11.02,-0.54,-0.44,-0.1,10.7,12.87,10.79,11.83,-230378100.0,32.91,14.18,51.35
2020-02-26,10.86,10.74,-0.6,-0.47,-0.13,9.75,12.98,10.48,11.73,-279670000.0,35.07,12.96,49.49
2020-02-27,10.48,10.46,-0.67,-0.51,-0.16,7.97,13.1,10.15,11.63,-331239800.0,37.46,11.75,52.76
2020-02-28,10.16,10.25,-0.72,-0.55,-0.17,7.33,13.17,9.86,11.52,-390208100.0,39.73,10.93,51.4
2020-03-02,10.1,10.26,-0.72,-0.59,-0.13,36.23,13.18,9.71,11.44,-334378100.0,39.61,20.38,45.75
2020-03-03,10.08,10.24,-0.71,-0.61,-0.1,34.73,13.16,9.56,11.36,-399177100.0,38.26,25.17,40.11
2020-03-04,10.16,10.35,-0.67,-0.62,-0.05,51.76,13.06,9.49,11.28,-353023600.0,37.03,23.3,37.12
2020-03-05,10.2,10.27,-0.67,-0.63,-0.03,36.4,12.93,9.39,11.16,-412153400.0,36.59,20.83,40.04
2020-03-06,10.14,10.03,-0.7,-0.65,-0.06,24.31,12.83,9.21,11.02,-454315300.0,36.8,18.64,42.74
2020-03-09,9.68,9.34,-0.85,-0.69,-0.16,11.59,12.99,8.63,10.81,-514100800.0,38.39,14.66,53.57
2020-03-10,9.52,9.36,-0.84,-0.72,-0.12,44.73,12.93,8.47,10.7,-442610200.0,37.93,22.04,43.31
2020-03-11,9.1,9.07,-0.89,-0.75,-0.14,34.54,12.88,8.18,10.53,-516527400.0,37.98,19.08,43.07
2020-03-12,8.51,8.44,-1.03,-0.81,-0.22,24.26,12.94,7.63,10.28,-594329300.0,39.06,15.77,49.93
2020-03-13,8.35,8.52,-1.0,-0.85,-0.16,46.95,12.75,7.49,10.12,-537735500.0,37.83,25.94,41.37
2020-03-16,8.33,8.32,-1.04,-0.88,-0.15,39.3,12.59,7.25,9.92,-570842800.0,37.14,22.73,41.13
2020-03-17,8.09,8.27,-1.03,-0.91,-0.12,43.2,12.32,7.14,9.73,-540202000.0,36.14,23.49,38.17
2020-03-18,7.87,7.98,-1.07,-0.95,-0.13,35.15,12.05,6.95,9.5,-590491600.0,35.76,21.27,40.53
2020-03-19,7.87,7.71,-1.11,-0.98,-0.13,32.96,11.77,6.76,9.26,-621594000.0,35.47,20.07,38.84
2020-03-20,7.53,7.47,-1.15,-1.01,-0.13,30.77,11.53,6.56,9.04,-657674700.0,34.8,20.81,35.86
2020-03-23,7.26,7.17,-1.19,-1.05,-0.14,26.4,11.45,6.24,8.84,-690149000.0,34.47,20.01,37.47
2020-03-24,7.13,7.28,-1.14,-1.07,-0.07,47.74,11.28,6.13,8.7,-657448700.0,33.34,23.32,34.45
2020-03-25,7.26,7.53,-1.04,-1.06,0.02,56.91,11.09,6.1,8.6,-624519000.0,31.56,26.94,32.43
2020-03-26,7.48,7.8,-0.93,-1.04,0.1,61.31,10.94,6.09,8.52,-598649300.0,29.67,27.64,31.11
2020-03-27,7.66,7.81,-0.88,-1.0,0.13,50.31,10.78,6.05,8.42,-619670300.0,28.19,26.16,31.78
2020-03-30,7.95,7.89,-0.8,-0.96,0.16,54.55,10.51,6.1,8.31,-601590400.0,26.83,25.45,30.92
2020-03-31,8.11,8.02,-0.72,-0.92,0.2,59.91,10.23,6.18,8.21,-567301400.0,25.04,28.07,29.43
2020-04-01,8.13,8.06,-0.66,-0.86,0.21,55.34,9.8,6.37,8.09,-594610900.0,23.64,26.88,30.3
2020-04-02,8.09,8.09,-0.6,-0.81,0.21,55.34,9.43,6.55,7.99,-594610900.0,22.26,26.17,28.76
2020-04-03,8.04,7.92,-0.59,-0.77,0.17,37.27,9.16,6.63,7.89,-623323800.0,21.55,24.43,31.4
2020-04-06,8.06,7.98,-0.54,-0.72,0.18,54.53,9.17,6.63,7.9,-595902200.0,20.61,24.64,29.33
2020-04-07,8.07,8.12,-0.47,-0.67,0.2,61.31,8.94,6.76,7.85,-573239000.0,19.15,27.39,27.66
2020-04-08,8.13,8.22,-0.4,-0.62,0.21,62.85,8.93,6.76,7.85,-553915700.0,17.82,26.78,27.24
2020-04-09,8.2,8.32,-0.34,-0.56,0.22,64.61,8.99,6.84,7.91,-531543300.0,16.8,28.27,26.18
2020-04-13,8.4,8.4,-0.29,-0.51,0.22,66.89,8.96,6.85,7.91,-513078200.0,15.77,27.46,26.09
2020-04-14,8.5,8.46,-0.24,-0.45,0.22,67.64,9.04,6.84,7.94,-492891200.0,15.23,29.62,25.1
2020-04-15,8.47,8.4,-0.22,-0.41,0.18,46.17,9.05,6.84,7.94,-511236800.0,14.28,27.87,29.07
2020-04-16,8.41,8.31,-0.22,-0.37,0.15,39.93,9.06,6.91,7.98,-532285200.0,13.56,26.9,29.38
2020-04-17,8.38,8.32,-0.19,-0.33,0.14,53.75,9.06,7.02,8.04,-513620200.0,12.63,27.96,28.35
2020-04-20,8.27,8.21,-0.2,-0.31,0.11,36.75,8.99,7.19,8.09,-539509000.0,12.21,26.39,30.2
2020-04-21,8.11,8.07,-0.22,-0.29,0.07,30.27,8.74,7.56,8.15,-561073500.0,12.29,25.05,32.83
2020-04-22,8.05,8.04,-0.22,-0.28,0.05,41.81,8.7,7.65,8.17,-539163800.0,12.11,26.17,31.8
2020-04-23,7.99,7.98,-0.23,-0.27,0.04,37.12,8.7,7.63,8.17,-566912700.0,11.56,27.6,30.17
2020-04-24,7.86,7.88,-0.24,-0.26,0.02,29.88,8.71,7.56,8.13,-612388300.0,11.82,25.68,34.88
2020-04-27,7.83,7.88,-0.24,-0.26,0.02,44.76,8.7,7.57,8.14,-586103800.0,11.84,26.16,33.38
