Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,8466700.0,,,
2020-01-02,,,,,,,,,,-2981200.0,,,
2020-01-03,,,,,,,,,,-16244400.0,,,
2020-01-06,,,,,,,,,,-31338900.0,,,
2020-01-07,60.54,60.54,,,,,,,,-45632000.0,,,
2020-01-08,60.21,60.27,,,,9.13,,,,-29705500.0,,,
2020-01-09,59.77,59.79,,,,4.82,,,,-49840100.0,,,
2020-01-10,59.48,59.53,,,,13.15,,,,-38053400.0,,,
2020-01-13,59.26,59.4,,,,22.81,,,,-23895000.0,,,
2020-01-14,59.15,59.28,,,,20.82,,,,-36592100.0,,,
2020-01-15,59.03,59.22,,,,25.26,,,,-26300800.0,,,
2020-01-16,59.19,59.37,,,,55.15,,,,-15611200.0,,,
2020-01-17,59.42,59.62,,,,68.04,,,,4500.0,,,
2020-01-21,59.65,59.86,,,,72.17,,,,12862100.0,,,
2020-01-22,59.94,60.06,,,,75.5,,,,21709200.0,,28.97,20.41
2020-01-23,60.22,60.21,,,,76.17,,,,32818200.0,,26.11,23.61
2020-01-24,60.34,60.24,,,,60.38,,,,22635400.0,,25.86,21.27
2020-01-27,60.3,60.13,,,,42.61,,,,11153100.0,,22.61,26.92
2020-01-28,60.38,60.32,,,,67.86,,,,26520600.0,,28.44,22.31
2020-01-29,60.19,60.06,,,,37.4,61.36,58.55,59.95,13111700.0,,22.9,23.62
2020-01-30,59.96,59.82,,,,34.58,61.11,58.6,59.85,-3607900.0,,19.6,33.55
2020-01-31,59.79,59.7,,,,37.36,60.91,58.63,59.77,10675700.0,,25.13,29.88
2020-02-03,59.42,59.15,,,,19.44,60.98,58.33,59.65,-4890700.0,,20.79,36.11
2020-02-04,58.93,58.86,,,,26.99,60.97,58.14,59.56,9033900.0,,18.85,36.39
2020-02-05,58.85,58.95,,,,48.24,60.96,58.1,59.53,19305800.0,,23.32,33.14
2020-02-06,58.87,59.11,-0.35,,,54.37,60.95,58.09,59.52,29589500.0,,26.71,31.11
2020-02-07,58.97,59.39,-0.28,,,63.16,60.98,58.17,59.57,39007600.0,,29.62,28.89
2020-02-10,59.41,59.67,-0.2,,,67.81,61.04,58.23,59.64,47277800.0,12.39,29.11,27.5
2020-02-11,59.49,59.35,-0.25,,,37.35,61.06,58.16,59.61,24789600.0,13.27,23.64,35.91
2020-02-12,59.31,58.97,-0.33,,,32.02,61.13,58.02,59.57,3851600.0,14.2,22.06,34.77
2020-02-13,59.15,58.87,-0.36,,,41.55,61.14,57.96,59.55,23311700.0,15.24,20.32,33.55
2020-02-14,58.86,58.75,-0.38,,,39.25,61.15,57.84,59.49,14172800.0,16.14,19.33,31.92
2020-02-18,58.4,58.47,-0.45,,,30.3,61.14,57.62,59.38,1745500.0,17.53,17.67,33.43
2020-02-19,58.3,58.39,-0.47,-0.34,-0.12,39.25,61.05,57.5,59.28,15388300.0,18.82,16.37,31.41
2020-02-20,58.28,58.29,-0.49,-0.37,-0.12,36.77,60.91,57.4,59.16,-1360300.0,19.97,15.72,30.18
2020-02-21,58.19,58.26,-0.49,-0.39,-0.09,40.73,60.73,57.35,59.04,14344000.0,21.17,15.04,30.22
2020-02-24,58.08,58.17,-0.5,-0.41,-0.09,35.44,60.57,57.28,58.93,-4176900.0,21.18,18.26,28.15
2020-02-25,57.92,57.82,-0.57,-0.45,-0.13,21.19,60.55,57.03,58.79,-23561800.0,22.55,15.74,34.29
2020-02-26,57.71,57.59,-0.62,-0.48,-0.14,22.09,60.28,56.94,58.61,-6758200.0,23.78,14.39,31.36
2020-02-27,57.1,56.75,-0.82,-0.55,-0.27,8.89,60.61,56.16,58.39,-32665400.0,26.36,11.77,40.16
2020-02-28,56.29,55.89,-1.04,-0.65,-0.39,6.72,60.96,55.29,58.12,-78493700.0,29.88,9.48,51.57
2020-03-02,56.16,56.36,-0.95,-0.71,-0.24,54.98,60.81,55.23,58.02,-47757500.0,29.13,27.2,41.41
2020-03-03,55.88,56.14,-0.99,-0.76,-0.23,41.29,60.87,54.94,57.9,-75257700.0,28.02,25.81,35.17
2020-03-04,56.07,56.8,-0.82,-0.78,-0.05,59.92,60.86,54.93,57.89,-57631300.0,26.83,23.52,30.68
2020-03-05,56.49,56.92,-0.76,-0.77,0.02,51.78,60.72,54.87,57.79,-78881200.0,25.75,21.62,28.2
2020-03-06,57.03,56.9,-0.72,-0.76,0.04,49.25,60.51,54.82,57.67,-101392000.0,25.65,19.43,32.01
2020-03-09,56.74,56.55,-0.77,-0.76,-0.0,40.4,60.21,54.71,57.46,-133254200.0,26.14,16.4,31.78
