Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,4912000.0,,,
2020-01-02,,,,,,,,,,11676900.0,,,
2020-01-03,,,,,,,,,,6277700.0,,,
2020-01-06,,,,,,,,,,-167800.0,,,
2020-01-07,117.98,117.98,,,,,,,,-7014700.0,,,
2020-01-08,117.44,117.37,,,,2.04,,,,-12890500.0,,,
2020-01-09,117.12,117.37,,,,43.98,,,,-7326800.0,,,
2020-01-10,116.82,117.04,,,,30.6,,,,-13381600.0,,,
2020-01-13,116.47,116.65,,,,25.63,,,,-19494200.0,,,
2020-01-14,116.39,116.49,,,,33.71,,,,-12908400.0,,,
2020-01-15,116.22,116.09,,,,23.95,,,,-20362600.0,,,
2020-01-16,115.92,116.03,,,,39.12,,,,-14993200.0,,,
2020-01-17,115.64,115.67,,,,28.39,,,,-25038200.0,,,
2020-01-21,115.58,115.64,,,,41.77,,,,-17684500.0,,,
2020-01-22,115.57,115.8,,,,51.03,,,,-12758400.0,,11.11,26.92
2020-01-23,115.67,115.8,,,,45.85,,,,-17063500.0,,9.93,25.23
2020-01-24,115.37,115.32,,,,28.12,,,,-21446900.0,,8.49,28.43
2020-01-27,115.55,115.5,,,,52.08,,,,-14428500.0,,6.56,31.39
2020-01-28,115.75,115.87,,,,60.3,,,,-9158300.0,,10.44,29.28
2020-01-29,115.71,115.88,,,,50.01,118.73,114.09,116.41,-12933800.0,,11.02,26.98
2020-01-30,115.86,116.11,,,,58.59,118.33,114.26,116.3,-8352300.0,,10.06,28.14
2020-01-31,115.88,115.57,,,,35.51,117.87,114.28,116.07,-16128100.0,,8.51,32.02
2020-02-03,115.57,115.14,,,,33.76,117.65,114.14,115.89,-20475200.0,,7.89,29.66
2020-02-04,115.3,115.18,,,,48.25,117.35,114.2,115.77,-15243000.0,,11.7,26.45
2020-02-05,115.48,115.72,,,,63.58,117.39,114.19,115.79,-9560100.0,,14.14,23.53
2020-02-06,115.43,115.92,-0.38,,,56.76,117.4,114.18,115.79,-14913000.0,,14.75,22.06
2020-02-07,115.82,116.1,-0.3,,,58.33,117.23,114.27,115.75,-11223400.0,,13.95,22.49
2020-02-10,116.02,115.81,-0.33,,,42.02,117.15,114.23,115.69,-17368300.0,39.89,12.54,23.94
2020-02-11,116.04,115.68,-0.34,,,44.45,117.13,114.2,115.67,-11571500.0,39.6,11.83,25.84
2020-02-12,115.85,115.73,-0.31,,,51.98,117.1,114.2,115.65,-6835900.0,37.62,16.16,24.41
2020-02-13,116.08,116.3,-0.16,,,69.97,117.39,114.13,115.76,-1502700.0,34.23,20.37,21.9
2020-02-14,116.37,116.83,0.0,,,73.49,117.74,113.98,115.86,6627900.0,31.77,24.25,20.29
2020-02-18,117.24,117.76,0.27,,,83.07,118.54,113.65,116.09,18141100.0,30.89,27.94,17.71
2020-02-19,117.7,117.74,0.31,-0.14,0.45,55.15,118.73,113.67,116.2,10953300.0,30.1,24.96,15.82
2020-02-20,118.07,117.72,0.35,-0.04,0.39,55.25,118.89,113.67,116.28,15976200.0,28.38,23.46,18.8
2020-02-21,118.29,118.01,0.44,0.06,0.39,63.88,119.2,113.63,116.42,22218300.0,27.41,24.91,17.5
2020-02-24,117.98,117.44,0.33,0.11,0.22,39.62,119.14,113.89,116.51,15602300.0,25.08,21.93,21.59
2020-02-25,116.93,116.43,0.09,0.11,-0.02,28.19,119.21,113.67,116.44,7838000.0,24.39,19.11,26.91
2020-02-26,116.15,115.54,-0.15,0.05,-0.21,25.3,119.3,113.3,116.3,1164700.0,24.03,17.86,26.87
2020-02-27,114.69,113.83,-0.61,-0.08,-0.53,14.81,119.98,112.07,116.02,-8327600.0,25.4,15.24,35.95
2020-02-28,112.51,111.78,-1.18,-0.3,-0.88,10.45,120.94,110.22,115.58,-25784000.0,28.27,12.13,48.84
2020-03-02,112.43,113.15,-0.96,-0.43,-0.53,57.55,120.98,110.31,115.65,-8709800.0,26.69,30.66,36.67
2020-03-03,112.13,113.07,-1.01,-0.55,-0.46,46.48,121.02,110.14,115.58,-19823400.0,24.84,29.48,31.81
2020-03-04,112.73,114.3,-0.73,-0.58,-0.15,59.22,121.12,110.2,115.66,-11615000.0,23.16,26.6,28.71
2020-03-05,113.83,114.84,-0.57,-0.58,0.01,55.58,121.05,110.18,115.61,-20161100.0,21.46,25.43,26.35
2020-03-06,115.74,115.64,-0.34,-0.53,0.2,60.28,121.13,110.18,115.66,-10357400.0,20.25,22.51,25.44
2020-03-09,116.0,116.14,-0.15,-0.46,0.3,59.86,121.2,110.19,115.69,-30105200.0,19.23,24.49,21.21
2020-03-10,117.37,117.36,0.2,-0.32,0.53,69.82,121.7,110.14,115.92,-17506100.0,18.31,21.77,18.77
2020-03-11,116.91,116.38,0.05,-0.25,0.3,42.78,121.68,110.06,115.87,-28046100.0,17.16,18.92,20.28
2020-03-12,114.53,112.27,-0.9,-0.38,-0.52,22.08,123.05,107.51,115.28,-46820500.0,18.6,15.37,32.57
2020-03-13,113.91,112.88,-0.83,-0.47,-0.36,50.86,122.83,107.4,115.11,-32499800.0,18.86,17.53,27.39
2020-03-16,111.83,110.84,-1.35,-0.65,-0.7,38.03,122.97,106.15,114.56,-44751100.0,19.47,14.68,25.47
2020-03-17,111.72,113.65,-0.75,-0.67,-0.08,59.68,122.91,106.17,114.54,-27149100.0,18.09,22.14,21.58
