Date,SMA_5,EMA_5,MACD,MACD_SIGNAL,MACD_HIST,RSI,BB_UPPER,BB_LOWER,BB_MIDDLE,OBV,ADX,DMP,DMN
2019-12-31,,,,,,,,,,13151800.0,,,
2020-01-02,,,,,,,,,,25608200.0,,,
2020-01-03,,,,,,,,,,8221300.0,,,
2020-01-06,,,,,,,,,,28303200.0,,,
2020-01-07,70.43,70.43,,,,,,,,10915500.0,,,
2020-01-08,70.32,70.03,,,,30.7,,,,-4222200.0,,,
2020-01-09,70.1,69.94,,,,44.68,,,,10589600.0,,,
2020-01-10,69.86,69.67,,,,34.5,,,,-1406000.0,,,
2020-01-13,69.64,69.72,,,,49.74,,,,8547900.0,,,
2020-01-14,69.43,69.54,,,,39.34,,,,-7713100.0,,,
2020-01-15,69.4,69.39,,,,37.54,,,,-19103400.0,,,
2020-01-16,69.21,69.2,,,,32.92,,,,-32443700.0,,,
2020-01-17,69.09,68.99,,,,28.68,,,,-50587800.0,,,
2020-01-21,68.65,68.52,,,,17.84,,,,-68570400.0,,,
2020-01-22,68.25,68.08,,,,15.01,,,,-85603500.0,,7.67,31.96
2020-01-23,67.78,67.64,,,,12.38,,,,-105209400.0,,6.7,38.44
2020-01-24,67.28,67.2,,,,10.02,,,,-123448000.0,,6.16,35.47
2020-01-27,66.52,66.38,,,,5.46,,,,-144679000.0,,5.17,43.05
2020-01-28,65.93,65.8,,,,5.29,,,,-164343700.0,,4.88,41.29
2020-01-29,65.32,65.24,,,,4.28,72.43,64.29,68.36,-178546500.0,,4.3,43.41
2020-01-30,64.92,65.09,,,,26.37,72.4,63.81,68.11,-160001800.0,,3.75,41.98
2020-01-31,64.08,64.1,,,,12.36,72.49,62.84,67.67,-194284700.0,,2.92,44.54
2020-02-03,63.28,62.98,,,,9.19,72.72,61.66,67.19,-221674000.0,,2.56,49.58
2020-02-04,62.34,61.97,,,,7.82,72.73,60.55,66.64,-253596100.0,,5.46,42.95
2020-02-05,62.07,62.23,,,,45.06,72.34,60.19,66.26,-221496900.0,,10.51,35.47
2020-02-06,61.49,62.11,-3.22,,,38.99,72.1,59.69,65.9,-237552300.0,,10.22,32.91
2020-02-07,61.36,61.9,-3.16,,,36.07,71.71,59.26,65.48,-252664800.0,,9.72,35.61
2020-02-10,61.2,61.25,-3.19,,,26.81,71.45,58.6,65.02,-273599300.0,70.67,8.68,40.14
2020-02-11,61.31,61.01,-3.14,,,34.72,70.88,58.24,64.56,-258690600.0,69.22,10.38,37.94
2020-02-12,61.02,61.1,-3.0,,,44.46,70.26,58.07,64.16,-240828500.0,66.71,13.58,35.67
2020-02-13,60.83,61.04,-2.89,,,40.95,69.56,57.95,63.76,-257777900.0,64.53,12.87,33.81
2020-02-14,60.67,60.91,-2.79,,,37.87,68.81,57.88,63.35,-268633200.0,62.83,12.17,33.7
2020-02-18,60.65,60.57,-2.74,,,30.1,68.02,57.81,62.91,-287581700.0,61.87,11.26,36.33
2020-02-19,60.61,60.49,-2.63,-2.97,0.34,39.39,67.3,57.8,62.55,-274776800.0,60.58,12.16,34.51
2020-02-20,60.33,60.28,-2.56,-2.89,0.33,33.57,66.56,57.81,62.19,-289594000.0,59.5,11.51,33.4
2020-02-21,59.97,59.9,-2.53,-2.82,0.29,26.21,65.83,57.78,61.8,-309909700.0,59.12,10.72,37.1
2020-02-24,59.11,58.72,-2.7,-2.79,0.1,12.85,65.44,57.17,61.31,-342006300.0,59.8,8.98,45.29
2020-02-25,57.98,57.21,-2.97,-2.83,-0.14,8.58,65.65,55.91,60.78,-378420800.0,61.03,7.65,51.34
2020-02-26,56.51,55.81,-3.25,-2.91,-0.33,6.98,65.8,54.59,60.2,-408221800.0,62.33,6.9,51.7
2020-02-27,54.5,53.81,-3.68,-3.07,-0.61,4.3,66.4,52.56,59.48,-456363100.0,63.97,5.85,58.68
2020-02-28,52.97,53.02,-3.85,-3.22,-0.63,23.06,66.12,51.51,58.81,-393916400.0,65.63,4.97,57.71
